vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0.0770289,-0.275405,0.095524,0,0,0,0,0,0,0,0,0,-0.0770289,0.275405,-0.095524,1655493278
1.17227,0.0187743,-1.28358,0.0804364,-0.277819,0.0879538,-1.09151,-0.318888,1.38452,0.0274879,-0.0103256,-0.0105247,-1.09183,-0.296593,1.37153,1655493278
0.0929354,-0.322904,0.113741,0.0803185,-0.277609,0.087652,-1.09158,-0.318713,1.38434,0.0275543,-0.0124702,-0.00937476,-0.0126169,0.0452951,-0.026089,1655493279
0.0949954,-0.324302,0.121425,0.080456,-0.277763,0.0879833,-1.09176,-0.318529,1.38464,0.0288828,-0.0099198,-0.00845996,-0.0145394,0.0465394,-0.0334416,1655493280
0.0942945,-0.326355,0.116038,0.0804513,-0.277749,0.0879769,-1.09157,-0.318862,1.38459,0.02774,-0.0104515,-0.0102695,-0.0138432,0.048606,-0.0280612,1655493280
0.0952943,-0.323953,0.117677,0.0804506,-0.277637,0.0876798,-1.09142,-0.318969,1.38445,0.0265331,-0.010105,-0.010576,-0.0148437,0.0463157,-0.0299977,1655493280
0.0962463,-0.321201,0.114363,0.0803315,-0.277796,0.0877391,-1.09179,-0.31838,1.38442,0.0287197,-0.0118991,-0.00751151,-0.0159147,0.0434044,-0.0266242,1655493281
0.0951949,-0.328533,0.116302,0.0804186,-0.27762,0.087645,-1.09158,-0.318877,1.38455,0.027587,-0.0100901,-0.0103309,-0.0147763,0.0509126,-0.0286573,1655493281
0.0933279,-0.324839,0.114827,0.0803147,-0.277911,0.0881295,-1.09156,-0.318907,1.38456,0.0278871,-0.0103948,-0.0101269,-0.0130132,0.0469279,-0.0266971,1655493282
0.0935518,-0.321549,0.113717,0.080387,-0.277637,0.0876416,-1.09157,-0.318897,1.38454,0.0276962,-0.010257,-0.0101452,-0.0131648,0.0439125,-0.0260758,1655493282
0.093049,-0.323247,0.112722,0.0803912,-0.277633,0.0876547,-1.09167,-0.318649,1.38455,0.0283162,-0.00942669,-0.00827356,-0.0126578,0.0456142,-0.0250672,1655493282
0.0931869,-0.327964,0.112207,0.0804198,-0.277788,0.0880036,-1.09155,-0.318877,1.38455,0.0272976,-0.0102239,-0.0105784,-0.0127671,0.0501763,-0.0242034,1655493283
0.0928187,-0.323247,0.116191,0.0803951,-0.277786,0.08803,-1.09156,-0.318899,1.38453,0.0274338,-0.00994057,-0.0102958,-0.0124236,0.0454614,-0.0281609,1655493283
