vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0.593355,0.27412,0.403688,0.631041,0.347106,0.342327,-0.205237,0.214326,1.11419,-0.0154997,0.00919942,-0.00548083,0.0376862,0.0729861,-0.0613615,-0.836278,-0.13278,0.771868,1656085769
0.594959,0.283226,0.402012,0.631082,0.347111,0.342326,-0.197633,0.330986,1.09059,0.0043615,0.00343415,0.00800717,0.0361228,0.0638847,-0.0596868,-0.828714,-0.0161245,0.748262,1656085770
0.587248,0.307104,0.393337,0.631346,0.347086,0.342226,-0.187803,0.374426,1.08008,-0.00912439,0.009401,-0.00488663,0.0440978,0.0399822,-0.0511106,-0.81915,0.0273398,0.737856,1656085770
0.592215,0.306295,0.397701,0.631482,0.347079,0.342144,-0.167876,0.383252,1.07201,0.0105498,0.00266144,0.000992092,0.0392674,0.0407846,-0.0555575,-0.799358,0.0361726,0.729864,1656085771
0.597211,0.284125,0.410529,0.631514,0.34708,0.342146,-0.165578,0.366928,1.07391,0.0275864,-0.00338423,0.0101454,0.0343025,0.0629545,-0.0683827,-0.797092,0.0198479,0.73176,1656085771
0.595799,0.306197,0.397113,0.631502,0.347087,0.342175,-0.174685,0.347437,1.07817,0.0178265,0.0040861,-0.00184206,0.0357034,0.04089,-0.0549381,-0.806187,0.000350177,0.735991,1656085772
0.59156,0.30091,0.398792,0.631338,0.347089,0.342154,-0.185372,0.347111,1.0785,0.0202527,0.00841802,0.00273138,0.0397779,0.0461792,-0.0566377,-0.81671,2.10106e-05,0.736349,1656085773
0.592651,0.302042,0.397232,0.631164,0.347064,0.342133,-0.195309,0.353782,1.07848,0.0157386,0.0104695,0.00402898,0.0385131,0.0450212,-0.055099,-0.826473,0.00671801,0.736351,1656085773
0.595781,0.30824,0.400641,0.631438,0.34709,0.342208,-0.201863,0.360304,1.07763,0.0107724,0.00350361,0.00126508,0.0356571,0.03885,-0.0584325,-0.833301,0.013214,0.73542,1656085773
0.593228,0.297384,0.400299,0.631154,0.347085,0.3422,-0.206223,0.371243,1.07513,0.0138921,0.00617961,0.0027602,0.0379263,0.0497012,-0.058099,-0.837377,0.0241575,0.732935,1656085774
0.593095,0.300283,0.399609,0.631284,0.347125,0.342143,-0.209807,0.385378,1.0722,0.0089783,0.00511155,0.00381011,0.0381894,0.0468416,-0.057466,-0.841092,0.0382532,0.730053,1656085774
0.592736,0.301967,0.39904,0.631447,0.347018,0.342348,-0.212428,0.394048,1.06984,0.00655025,0.00864319,0.00417345,0.038711,0.0450518,-0.0566914,-0.843875,0.0470293,0.727489,1656085775
0.593435,0.302102,0.399676,0.631298,0.347017,0.342424,-0.212085,0.396446,1.07015,0.00475303,0.00388779,0.00335489,0.0378631,0.0449156,-0.0572519,-0.843383,0.0494288,0.727724,1656085775
0.59312,0.302918,0.399486,0.631123,0.347138,0.342184,-0.208924,0.390921,1.07139,0.0028874,0.00824669,-0.000503899,0.0380035,0.0442199,-0.0573028,-0.840048,0.0437837,0.729209,1656085776
0.592498,0.304987,0.398023,0.631458,0.347128,0.342201,-0.20207,0.3752,1.07501,0.0182599,0.00486869,0.00221996,0.0389604,0.0421406,-0.0558221,-0.833528,0.0280725,0.732805,1656085776
0.592224,0.305083,0.397949,0.631438,0.347043,0.342204,-0.20098,0.368211,1.0784,0.015159,0.000455943,-0.00175805,0.0392137,0.0419594,-0.0557449,-0.832418,0.0211683,0.736195,1656085777
0.592334,0.305407,0.398054,0.631516,0.347066,0.342164,-0.20473,0.369449,1.08218,0.0118453,0.00580766,-0.00183897,0.0391815,0.0416589,-0.0558892,-0.836246,0.0223832,0.74002,1656085777
0.59259,0.305534,0.398227,0.63147,0.347065,0.342235,-0.209292,0.371235,1.08601,0.01198,0.00337494,-0.00209292,0.0388802,0.0415314,-0.0559917,-0.840762,0.02417,0.74377,1656085777
0.592203,0.304927,0.398338,0.628516,0.349483,0.340906,-0.21438,0.374264,1.09064,0.0109751,0.00633885,0.00334752,0.0363128,0.0445565,-0.0574316,-0.842896,0.0247805,0.749737,1656085778
0.592068,0.30534,0.397701,0.628087,0.349567,0.340721,-0.214226,0.367777,1.09152,0.0143964,0.0106636,0.00666723,0.0360194,0.0442275,-0.05698,-0.842313,0.0182098,0.750796,1656085779
0.591982,0.305037,0.397768,0.631252,0.346998,0.342128,-0.20981,0.370149,1.09196,0.0128607,0.00688317,0.0028987,0.0392696,0.0419605,-0.0556408,-0.841062,0.0231511,0.749834,1656085779
0.59183,0.305502,0.397763,0.631767,0.347105,0.342198,-0.202654,0.381727,1.08971,0.0098022,0.00862842,-0.00416676,0.0399368,0.0416028,-0.0555648,-0.834421,0.0346217,0.747507,1656085780
0.591657,0.305045,0.397571,0.631631,0.347117,0.342213,-0.19561,0.380277,1.08796,0.0148254,0.00524178,-0.00499659,0.0399739,0.0420713,-0.0553578,-0.827241,0.0331604,0.745748,1656085781
0.591608,0.304351,0.397933,0.631416,0.347045,0.342189,-0.190963,0.375851,1.08524,0.00897468,0.00870024,-0.00365891,0.0398088,0.0426941,-0.0557444,-0.82238,0.0288067,0.743049,1656085781
0.591503,0.304119,0.397736,0.631328,0.347096,0.342122,-0.185366,0.37369,1.08386,0.0167128,0.00474117,-0.000368893,0.0398254,0.0429774,-0.055614,-0.816695,0.0265938,0.741739,1656085782
0.59145,0.304321,0.39772,0.631687,0.347095,0.34226,-0.185693,0.374375,1.08427,0.0093885,0.0020389,-0.00215612,0.0402364,0.0427742,-0.05546,-0.817379,0.0272805,0.742011,1656085782
0.591644,0.304666,0.398065,0.631409,0.347013,0.342187,-0.19253,0.371058,1.08574,0.0130465,0.000145299,0.000914066,0.0397654,0.0423467,-0.0558781,-0.82394,0.0240451,0.743558,1656085783
0.591408,0.305093,0.398256,0.631444,0.347082,0.342177,-0.200081,0.372422,1.08684,0.0121148,0.00814737,-0.00270844,0.0400352,0.0419886,-0.0560791,-0.831525,0.02534,0.744664,1656085783
0.591484,0.305314,0.398108,0.631364,0.347156,0.342145,-0.20897,0.384287,1.08788,0.0143325,0.0061731,-0.00486255,0.03988,0.0418422,-0.0559632,-0.840334,0.0371309,0.745732,1656085784
0.591795,0.30573,0.398597,0.63161,0.347205,0.342108,-0.217985,0.393532,1.08818,0.00777481,0.00838718,-0.00887171,0.0398143,0.0414745,-0.056489,-0.849594,0.0463275,0.74607,1656085785
0.592141,0.306578,0.398682,0.631324,0.346933,0.342387,-0.22266,0.394597,1.08611,0.00899702,0.00617418,-0.00584671,0.0391834,0.0403548,-0.0562952,-0.853984,0.0476638,0.743723,1656085785
0.592563,0.30698,0.39892,0.631324,0.347084,0.342008,-0.223872,0.392783,1.08709,0.00597118,0.008011,-0.00578876,0.0387608,0.0401035,-0.0569123,-0.855196,0.0456988,0.745078,1656085786
0.592693,0.306896,0.399006,0.631742,0.347102,0.342133,-0.221563,0.385469,1.08884,0.0166063,0.00720324,0.000769654,0.0390496,0.0402057,-0.0568728,-0.853305,0.0383668,0.746705,1656085786
0.592789,0.306774,0.39845,0.631431,0.347067,0.342077,-0.216919,0.378557,1.0907,0.0190493,0.0106015,-0.00099033,0.0386412,0.0402926,-0.0563728,-0.84835,0.03149,0.748624,1656085787
0.593069,0.306816,0.398875,0.631464,0.347107,0.342189,-0.205754,0.386857,1.09303,0.012091,0.00493803,-0.00230912,0.038395,0.0402914,-0.0566857,-0.837218,0.0397497,0.750842,1656085788
0.593032,0.306453,0.399062,0.631379,0.34707,0.342177,-0.204699,0.38867,1.09252,0.0131161,0.00440276,-0.00368549,0.0383474,0.0406169,-0.0568849,-0.836078,0.0416004,0.750346,1656085788
0.592623,0.306107,0.398444,0.631408,0.347014,0.342146,-0.197556,0.365513,1.08702,0.0172344,0.00406509,0.00380205,0.038785,0.0409065,-0.0562983,-0.828964,0.0184991,0.744876,1656085790
0.592719,0.305707,0.398428,0.631347,0.347053,0.34212,-0.208124,0.359425,1.08588,0.0150839,0.00726111,-0.00228179,0.0386283,0.0413465,-0.0563089,-0.839471,0.0123723,0.743763,1656085791
0.59253,0.305676,0.398062,0.631467,0.34704,0.342168,-0.211972,0.364899,1.08443,0.0113535,0.00897471,-0.00814803,0.038937,0.0413636,-0.0558935,-0.843439,0.0178589,0.742258,1656085791
0.592146,0.305074,0.397541,0.631425,0.347049,0.342158,-0.212165,0.367437,1.08488,0.0143733,0.0111282,-0.00689881,0.0392789,0.0419747,-0.055383,-0.84359,0.0203877,0.74272,1656085791
0.591866,0.304272,0.397595,0.631373,0.347041,0.342253,-0.205141,0.370747,1.08602,0.0137129,0.00246524,-0.0108057,0.0395076,0.042769,-0.0553424,-0.836515,0.0237067,0.743772,1656085792
0.591909,0.303876,0.398003,0.63128,0.346993,0.342153,-0.199169,0.358959,1.08548,0.0167447,0.000747804,-0.0073412,0.0393705,0.0431162,-0.0558501,-0.830449,0.0119666,0.743326,1656085793
0.591851,0.304071,0.398288,0.631335,0.347052,0.342115,-0.199524,0.34777,1.08447,0.0162286,0.00386168,-0.00309057,0.039484,0.0429812,-0.0561724,-0.830859,0.000717193,0.74235,1656085794
0.591912,0.30342,0.398073,0.631271,0.347045,0.342093,-0.201718,0.328403,1.08701,0.0214126,0.0128814,0.00791065,0.0393595,0.0436243,-0.0559804,-0.83299,-0.0186417,0.744918,1656085794
0.591627,0.302839,0.397336,0.631072,0.34704,0.342017,-0.190873,0.329663,1.089,0.0225912,0.00470809,0.00715356,0.0394449,0.0442013,-0.0553189,-0.821945,-0.0173776,0.746987,1656085795
0.591457,0.302951,0.397046,0.631472,0.347003,0.342145,-0.191717,0.349979,1.09124,0.00878421,0.00441726,0.00370517,0.0400159,0.0440514,-0.054901,-0.823189,0.00297588,0.749094,1656085796
0.591594,0.303486,0.396853,0.631456,0.346996,0.342152,-0.196307,0.362787,1.09249,0.00872698,0.00842662,-0.00134836,0.0398622,0.0435096,-0.0547007,-0.827763,0.0157911,0.750335,1656085796
0.590996,0.303501,0.396126,0.631347,0.347088,0.342088,-0.200964,0.368081,1.09375,0.0145994,0.0101511,0.000134486,0.040351,0.0435869,-0.0540373,-0.832311,0.0209935,0.751666,1656085796
0.591402,0.302902,0.396292,0.631282,0.34709,0.342149,-0.215719,0.358305,1.08965,0.0165496,0.00245824,0.0143243,0.0398804,0.0441873,-0.0541433,-0.847001,0.0112151,0.747502,1656085798
0.591615,0.302397,0.396485,0.631395,0.347015,0.342124,-0.23094,0.366023,1.09212,0.0170312,0.00826516,0.0102097,0.0397807,0.0446186,-0.0543613,-0.862336,0.0190075,0.749997,1656085799
0.59143,0.302992,0.396278,0.631594,0.347057,0.342072,-0.230838,0.372474,1.09188,0.0159613,0.00841853,0.00566935,0.0401642,0.0440654,-0.0542058,-0.862431,0.0254169,0.749812,1656085799
0.591086,0.302494,0.395736,0.63161,0.347091,0.342137,-0.229588,0.379703,1.0906,0.0141132,0.00529122,0.00682994,0.0405236,0.0445974,-0.0535987,-0.861198,0.0326118,0.748461,1656085800
0.590687,0.302175,0.39497,0.631418,0.347115,0.342106,-0.227915,0.385278,1.0891,0.0149113,0.00781172,0.00806694,0.0407305,0.0449404,-0.0528639,-0.859333,0.0381631,0.746997,1656085800
0.590513,0.302487,0.395148,0.631533,0.347158,0.342144,-0.22821,0.385857,1.08841,0.0136057,0.00767085,0.00825294,0.0410202,0.0446717,-0.053004,-0.859743,0.0386984,0.746263,1656085801
0.590561,0.303308,0.396124,0.631654,0.347093,0.342129,-0.226716,0.383153,1.08837,0.0144884,0.0103222,0.00440097,0.0410927,0.0437855,-0.0539959,-0.85837,0.0360593,0.74624,1656085801
0.590581,0.302762,0.396687,0.631548,0.347097,0.342099,-0.218806,0.378601,1.08947,0.019397,0.00580153,0.00369755,0.0409666,0.0443344,-0.0545882,-0.850353,0.031504,0.74737,1656085802
0.590603,0.302187,0.39712,0.631391,0.347047,0.342181,-0.204899,0.374384,1.08991,0.0112745,0.00455492,0.00524821,0.0407884,0.04486,-0.054939,-0.83629,0.0273375,0.747727,1656085802
0.591031,0.300361,0.397767,0.631235,0.347087,0.34213,-0.195536,0.363032,1.08921,0.0251954,0.00382919,0.0122034,0.0402046,0.0467255,-0.055637,-0.826771,0.0159452,0.747076,1656085802
0.590553,0.30136,0.398178,0.630215,0.346812,0.342154,-0.188406,0.350096,1.08844,0.0102709,0.00800576,-9.28833e-05,0.0396626,0.0454513,-0.0560246,-0.818621,0.00328454,0.746287,1656085803
0.590603,0.301647,0.39834,0.631504,0.347023,0.342179,-0.178537,0.328722,1.08863,0.0198894,0.0105158,0.0060635,0.0409009,0.0453759,-0.0561605,-0.810041,-0.0183007,0.746454,1656085803
0.590331,0.301179,0.39775,0.631428,0.347081,0.342172,-0.162851,0.312443,1.08926,0.0259401,0.0129029,0.00415883,0.0410976,0.0459015,-0.055578,-0.794279,-0.0346378,0.747086,1656085804
0.59034,0.301426,0.397705,0.631579,0.347093,0.34214,-0.145714,0.323049,1.09789,0.0213409,0.00452762,4.18431e-05,0.041238,0.0456668,-0.0555656,-0.777293,-0.0240442,0.755752,1656085805
0.590519,0.300621,0.397798,0.631427,0.347096,0.34213,-0.181738,0.359246,1.09662,0.0121318,0.0158524,0.00380477,0.0409074,0.0464757,-0.0556681,-0.813165,0.01215,0.754488,1656085806
0.591052,0.301069,0.398628,0.631733,0.347048,0.342174,-0.183607,0.362704,1.09469,0.0122521,-0.00104951,-0.0048473,0.0406814,0.0459787,-0.0564536,-0.81534,0.0156561,0.752518,1656085807
0.590921,0.301451,0.398417,0.631662,0.347078,0.342198,-0.183631,0.358983,1.0913,0.00908919,0.00788557,-0.0116308,0.0407408,0.0456269,-0.0562191,-0.815293,0.011905,0.749102,1656085807
0.591108,0.30175,0.397965,0.63151,0.347025,0.342111,-0.180539,0.346962,1.09069,0.0247897,0.00589291,-0.0143824,0.0404022,0.0452751,-0.0558532,-0.81205,-6.28233e-05,0.748582,1656085808
0.591028,0.301688,0.397899,0.631474,0.347022,0.34211,-0.177371,0.348404,1.09013,0.0213445,0.00668564,-0.0140707,0.0404457,0.0453341,-0.0557889,-0.808845,0.00138181,0.748019,1656085808
0.591169,0.303875,0.398129,0.631481,0.34702,0.342148,-0.171715,0.362078,1.09019,0.0106277,-0.00104385,-0.00962284,0.0403112,0.0431448,-0.0559819,-0.803195,0.0150577,0.748042,1656085809
0.591416,0.301679,0.397543,0.631545,0.347077,0.342176,-0.170542,0.379347,1.09213,0.0221649,0.000220247,0.00552716,0.0401291,0.0453981,-0.0553668,-0.802087,0.0322706,0.74995,1656085809
0.591171,0.30193,0.397273,0.631648,0.347114,0.342093,-0.17275,0.390941,1.09182,0.0105765,0.00328859,0.000440419,0.0404769,0.0451846,-0.0551797,-0.804398,0.0438271,0.749726,1656085809
0.59176,0.302676,0.397475,0.631612,0.346954,0.342126,-0.178184,0.397795,1.09211,0.00499467,0.00445412,-0.00425577,0.0398525,0.0442779,-0.055349,-0.809796,0.0508403,0.749989,1656085810
0.59199,0.303719,0.397294,0.631706,0.347063,0.34209,-0.186163,0.39868,1.09119,0.00230155,0.00549699,-0.00543946,0.0397162,0.0433443,-0.0552048,-0.817869,0.0516171,0.749098,1656085810
0.592228,0.304662,0.397686,0.63144,0.34717,0.341962,-0.192613,0.394171,1.08894,0.0142535,0.00572599,0.00203126,0.0392128,0.0425076,-0.0557239,-0.824053,0.0470011,0.746973,1656085811
0.592546,0.304494,0.397866,0.631767,0.347185,0.342046,-0.20007,0.391175,1.08693,0.011192,0.001523,-0.00183897,0.0392209,0.0426913,-0.0558197,-0.831837,0.0439896,0.744881,1656085811
0.592544,0.304289,0.397761,0.631599,0.347121,0.342104,-0.207995,0.389997,1.08759,0.0125076,0.0101943,-0.00611423,0.0390549,0.0428325,-0.0556564,-0.839594,0.0428753,0.745482,1656085812
0.592347,0.303845,0.398136,0.631191,0.346952,0.342179,-0.208111,0.384081,1.08991,0.0143757,0.00771374,-0.00589326,0.0388443,0.0431068,-0.0559577,-0.839302,0.0371285,0.747727,1656085812
0.59228,0.304292,0.397966,0.631364,0.34702,0.342239,-0.202778,0.375918,1.09206,0.0146451,0.00429928,-0.000990613,0.039084,0.0427277,-0.0557265,-0.834142,0.0288987,0.74982,1656085813
0.592024,0.303898,0.397863,0.63139,0.347026,0.342103,-0.198035,0.363974,1.09374,0.0188345,0.00324457,0.00680431,0.039366,0.0431285,-0.0557598,-0.829425,0.0169481,0.751633,1656085813
0.591575,0.305631,0.398036,0.631433,0.347061,0.342149,-0.195717,0.356207,1.09381,0.0171444,0.0113053,0.00722085,0.0398577,0.0414301,-0.0558871,-0.82715,0.00914592,0.751663,1656085814
0.591576,0.305454,0.398042,0.631421,0.346998,0.34214,-0.1924,0.348355,1.09463,0.0148308,0.00933478,0.00526452,0.0398449,0.0415437,-0.0559022,-0.823821,0.00135651,0.752486,1656085814
0.591405,0.304121,0.398718,0.631535,0.347026,0.342104,-0.185644,0.339932,1.09338,0.0176844,0.00954889,0.0077838,0.0401303,0.0429045,-0.0566143,-0.817179,-0.00709337,0.751279,1656085814
0.591261,0.301598,0.399209,0.631544,0.347054,0.342139,-0.174279,0.3308,1.09115,0.0304541,0.00742773,0.00787771,0.040283,0.0454566,-0.05707,-0.805823,-0.016254,0.749013,1656085815
0.591059,0.301449,0.39929,0.631428,0.347046,0.342118,-0.159903,0.32726,1.08889,0.0203501,0.00481787,-0.0029892,0.0403692,0.0455976,-0.0571716,-0.791331,-0.0197866,0.74677,1656085815
0.590558,0.30135,0.398777,0.631613,0.347015,0.34208,-0.166507,0.37472,1.08931,0.0103692,0.00418132,-0.0095583,0.0410549,0.0456647,-0.0566965,-0.79812,0.0277053,0.747228,1656085818
0.59074,0.301525,0.398392,0.631151,0.347028,0.342107,-0.17856,0.387163,1.08771,0.00969353,0.00679302,-0.0148468,0.0404102,0.0455031,-0.056285,-0.80971,0.0401351,0.745605,1656085819
0.591016,0.302089,0.398202,0.631516,0.347122,0.342032,-0.194321,0.395717,1.09057,0.0096118,0.00982136,-0.00947409,0.0405002,0.0450335,-0.0561706,-0.825837,0.0485951,0.748537,1656085819
0.59138,0.301916,0.398457,0.631262,0.346936,0.342232,-0.205177,0.395575,1.09414,0.0112261,0.00505382,-0.000465875,0.0398816,0.0450194,-0.0562253,-0.836438,0.0486394,0.751906,1656085820
0.591735,0.301724,0.398404,0.631419,0.347007,0.34203,-0.211239,0.387889,1.0963,0.0141392,0.00433284,0.000684807,0.0396844,0.0452831,-0.0563734,-0.842658,0.0408815,0.754268,1656085821
0.59221,0.301267,0.398582,0.631884,0.347076,0.342026,-0.212748,0.3816,1.09561,0.00975921,0.00576585,0.00332801,0.0396741,0.0458086,-0.0565557,-0.844633,0.0345246,0.753587,1656085821
0.592318,0.300918,0.398756,0.631598,0.347021,0.342012,-0.212964,0.369198,1.09355,0.0191196,0.0109478,0.00641244,0.0392807,0.046103,-0.0567438,-0.844563,0.0221772,0.751535,1656085822
0.592572,0.300351,0.399337,0.631642,0.347053,0.34209,-0.206598,0.359083,1.09208,0.0191385,0.000698084,0.0140138,0.0390702,0.0467024,-0.0572471,-0.83824,0.01203,0.749986,1656085822
0.592116,0.301591,0.398917,0.6313,0.346985,0.342046,-0.199297,0.350045,1.09174,0.0224852,0.00724253,0.00385968,0.0391838,0.0453938,-0.0568712,-0.830597,0.00306022,0.749691,1656085823
0.592818,0.300695,0.399579,0.631452,0.346991,0.342152,-0.195042,0.344032,1.09099,0.0276259,-0.00437779,0.00933935,0.0386335,0.0462954,-0.0574265,-0.826494,-0.00295866,0.74884,1656085823
0.592826,0.29892,0.399944,0.631406,0.347028,0.342115,-0.197621,0.351006,1.08852,0.0225029,0.00254879,0.012446,0.0385801,0.0481082,-0.0578295,-0.829027,0.00397781,0.746405,1656085824
0.593232,0.29824,0.400808,0.631314,0.346957,0.342081,-0.203647,0.360242,1.08566,0.0127503,-0.00139925,0.00257384,0.0380824,0.0487171,-0.0587274,-0.834961,0.013285,0.743576,1656085824
0.592886,0.297756,0.400718,0.631493,0.347048,0.342068,-0.215302,0.374204,1.08464,0.00864556,0.012688,-0.00330586,0.0386069,0.0492927,-0.0586502,-0.846795,0.0271559,0.742568,1656085825
0.592633,0.297057,0.400061,0.631266,0.347074,0.342139,-0.222588,0.388427,1.08529,0.00899145,0.0121999,-0.0081721,0.0386329,0.0500167,-0.0579221,-0.853854,0.041353,0.743148,1656085825
0.592533,0.297471,0.399747,0.631314,0.34698,0.342122,-0.222013,0.403031,1.08673,0.00758669,0.00689762,-0.0100665,0.0387808,0.049509,-0.0576245,-0.853326,0.0560517,0.744604,1656085825
0.591933,0.297049,0.399085,0.631574,0.346945,0.342166,-0.212918,0.41215,1.0907,0.00801526,0.0107588,-0.00455316,0.0396415,0.0498962,-0.0569194,-0.844493,0.0652049,0.748532,1656085826
0.591782,0.296417,0.399888,0.631393,0.346972,0.341983,-0.195987,0.414954,1.09273,0.0125366,-0.0011119,0.00175585,0.039611,0.0505551,-0.0579052,-0.82738,0.0679823,0.750751,1656085826
0.591066,0.297943,0.398769,0.631424,0.347039,0.342047,-0.183102,0.411413,1.092,0.00539485,0.00456043,-0.00281691,0.0403582,0.0490959,-0.0567224,-0.814526,0.0643742,0.749949,1656085827
0.591331,0.299515,0.399069,0.631357,0.346933,0.342246,-0.174105,0.396212,1.08966,0.00564642,0.000732349,-0.00380249,0.0400261,0.0474175,-0.0568238,-0.805462,0.0492792,0.747418,1656085827
0.590618,0.301102,0.398571,0.631564,0.347033,0.342055,-0.171389,0.37659,1.08833,0.0170189,0.00320679,-0.00164709,0.0409463,0.0459312,-0.0565166,-0.802953,0.0295569,0.74628,1656085828
0.590658,0.302384,0.397603,0.631555,0.34702,0.342026,-0.173089,0.362481,1.08924,0.0214352,0.00102327,0.0017766,0.0408968,0.0446353,-0.0555771,-0.804644,0.0154619,0.74721,1656085828
0.590729,0.302622,0.397801,0.629021,0.350107,0.340574,-0.187305,0.37787,1.09422,0.00562484,0.0032388,-0.0103871,0.0382913,0.0474857,-0.0572271,-0.816325,0.0277629,0.753647,1656085829
0.590867,0.302889,0.397744,0.628209,0.349424,0.34092,-0.190068,0.388631,1.0951,0.01067,0.00397849,-0.00594496,0.037342,0.0465347,-0.0568242,-0.818278,0.0392067,0.754182,1656085830
0.590897,0.30332,0.398474,0.628705,0.349481,0.340913,-0.19431,0.387543,1.0938,0.0137322,0.00491387,0.00273392,0.0378081,0.0461611,-0.0575606,-0.823015,0.0380622,0.752884,1656085830
0.590789,0.302129,0.398757,0.62845,0.34955,0.340901,-0.198487,0.383201,1.09316,0.0199663,0.00238653,0.0111815,0.0376606,0.0474205,-0.0578564,-0.826936,0.0336512,0.752258,1656085831
0.59112,0.30099,0.399294,0.628617,0.349533,0.340866,-0.201181,0.381268,1.0925,0.0223536,0.00751511,0.0180378,0.0374969,0.0485436,-0.0584286,-0.829799,0.0317349,0.751637,1656085831
0.591357,0.301525,0.398606,0.628808,0.350054,0.340627,-0.198386,0.376388,1.09088,0.0203169,-0.000566591,0.00256777,0.0374501,0.0485289,-0.0579789,-0.827194,0.0263341,0.750254,1656085831
0.591923,0.301201,0.399298,0.628654,0.349945,0.340673,-0.197398,0.383183,1.08873,0.013707,0.00146878,-0.00292962,0.0367306,0.0487433,-0.0586252,-0.826052,0.0332384,0.748056,1656085832
0.591974,0.300035,0.399109,0.629219,0.350253,0.34063,-0.200184,0.401316,1.08913,0.00664281,0.00486577,-0.0100973,0.0372448,0.0502184,-0.0584785,-0.829403,0.0510636,0.748496,1656085833
0.591913,0.298722,0.399009,0.630005,0.346601,0.3424,-0.200905,0.401495,1.08971,0.00809245,0.00567198,-0.0092846,0.038092,0.0478792,-0.0566089,-0.83091,0.0548942,0.747307,1656085833
0.593876,0.295989,0.392425,0.630872,0.348003,0.340794,-0.650083,-0.468268,0.390579,0.0360262,-0.0145856,-0.178391,0.0369962,0.0520136,-0.0516309,-1.28096,-0.816271,0.0497852,1656085904
0.596223,0.293469,0.391028,0.630997,0.347983,0.340711,-0.519346,-0.508415,0.513732,0.0266336,-0.020501,-0.178113,0.0347739,0.0545143,-0.0503166,-1.15034,-0.856398,0.17302,1656085904
0.600567,0.288357,0.387995,0.630741,0.347964,0.340695,-0.435766,-0.530401,0.661143,0.0428758,-0.0256934,-0.174307,0.0301743,0.0596068,-0.0472999,-1.06651,-0.878366,0.320448,1656085905
0.603708,0.285411,0.386373,0.631166,0.348013,0.340756,-0.388041,-0.528535,0.877102,0.0149819,0.00163945,-0.187618,0.0274581,0.0626023,-0.0456173,-1.01921,-0.876548,0.536346,1656085905
0.603725,0.282997,0.385862,0.631575,0.34801,0.340852,-0.189707,0.201902,1.11091,-0.00868197,0.00567844,-0.00859353,0.0278503,0.065013,-0.0450098,-0.821283,-0.146108,0.770059,1656085912
0.603845,0.284233,0.385726,0.631834,0.348052,0.340641,-0.19319,0.317504,1.09005,-0.00358722,0.00377438,-0.00945171,0.0279895,0.0638196,-0.0450849,-0.825024,-0.0305488,0.749406,1656085912
0.603504,0.284212,0.385653,0.631248,0.347932,0.340657,-0.194843,0.372258,1.08131,-0.00566108,0.00578685,-0.0113312,0.0277447,0.0637198,-0.0449956,-0.826092,0.0243266,0.740652,1656085913
0.603272,0.283958,0.38558,0.629618,0.346673,0.342129,-0.19644,0.404404,1.07505,-0.00298398,0.00178758,-0.00324044,0.0263457,0.0627159,-0.0434505,-0.826058,0.0577306,0.732921,1656085913
0.603068,0.282474,0.38555,0.630018,0.346881,0.342207,-0.199693,0.410134,1.07386,0.0122336,0.00501411,0.00318821,0.0269501,0.0644065,-0.0433437,-0.829711,0.0632534,0.731653,1656085914
0.603091,0.283905,0.385501,0.629743,0.34688,0.34209,-0.201746,0.406435,1.07257,0.00537806,0.00539222,-0.00994603,0.0266525,0.0629753,-0.0434116,-0.831489,0.0595548,0.730484,1656085914
0.600587,0.286712,0.392747,0.630174,0.346894,0.342179,-0.204282,0.399369,1.07458,0.00963943,0.00831223,-0.00616485,0.0295873,0.0601821,-0.050568,-0.834456,0.0524746,0.732403,1656085915
