vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,0.591097,0.78796,0.322464,-0.324914,-0.542251,0.208006,0.00653141,0.0129091,-0.352117,0.591097,0.78796,0.322464,-0.916011,-1.33021,-0.114457,1656962181
0,0,0,0.591161,0.788001,0.322527,-0.324508,-0.541802,0.206383,-0.0148241,0.0151186,-0.356903,0.591161,0.788001,0.322527,-0.915669,-1.3298,-0.116145,1656962181
0,0,0,0.591127,0.787985,0.322451,-0.324458,-0.542052,0.206371,-0.00995203,0.0084349,-0.355523,0.591127,0.787985,0.322451,-0.915584,-1.33004,-0.116081,1656962182
0,0,0,0.591168,0.788,0.322431,-0.324509,-0.54203,0.20661,-0.0116297,0.0121839,-0.355211,0.591168,0.788,0.322431,-0.915677,-1.33003,-0.115821,1656962182
0,0,0,0.591147,0.788002,0.322453,-0.324737,-0.54124,0.206683,-0.01545,0.01513,-0.35916,0.591147,0.788002,0.322453,-0.915884,-1.32924,-0.11577,1656962182
0,0,0,0.591121,0.787997,0.322525,-0.324625,-0.540985,0.20638,-0.0188263,0.0147782,-0.349483,0.591121,0.787997,0.322525,-0.915746,-1.32898,-0.116146,1656962182
0,0,0,0.591129,0.78797,0.322453,-0.32477,-0.541841,0.206702,-0.0130965,0.0168859,-0.353774,0.591129,0.78797,0.322453,-0.9159,-1.32981,-0.115751,1656962182
0,0,0,0.591143,0.788089,0.322595,-0.324847,-0.54177,0.206949,-0.0132031,0.0164328,-0.353602,0.591143,0.788089,0.322595,-0.91599,-1.32986,-0.115645,1656962183
0,0,0,0.591108,0.788084,0.322588,-0.325057,-0.541356,0.20707,-0.0122669,0.0126013,-0.354632,0.591108,0.788084,0.322588,-0.916164,-1.32944,-0.115518,1656962183
0,0,0,0.59112,0.788004,0.322465,-0.325774,-0.541339,0.208967,-0.000740352,0.0064753,-0.349265,0.59112,0.788004,0.322465,-0.916894,-1.32934,-0.113497,1656962183
0,0,0,0.591142,0.788084,0.322562,-0.325002,-0.540372,0.207626,-0.0147529,0.0169462,-0.361532,0.591142,0.788084,0.322562,-0.916144,-1.32846,-0.114935,1656962183
0,0,0,0.591133,0.788009,0.322513,-0.325051,-0.540229,0.208182,-0.0100331,0.0181005,-0.360608,0.591133,0.788009,0.322513,-0.916185,-1.32824,-0.11433,1656962183
0,0,0,0.591183,0.787999,0.322519,-0.32422,-0.54065,0.20853,-0.000106686,0.0147737,-0.359931,0.591183,0.787999,0.322519,-0.915403,-1.32865,-0.113989,1656962183
0,0,0,0.591154,0.788019,0.322481,-0.324001,-0.540591,0.209167,0.000131549,0.0102551,-0.359254,0.591154,0.788019,0.322481,-0.915155,-1.32861,-0.113313,1656962184
0,0,0,0.591139,0.788087,0.322596,-0.325023,-0.537055,0.20908,-0.00620317,0.0139274,-0.371164,0.591139,0.788087,0.322596,-0.916161,-1.32514,-0.113516,1656962184
0,0,0,0.591124,0.787992,0.322515,-0.324462,-0.536209,0.209673,-0.00459064,0.00531199,-0.378582,0.591124,0.787992,0.322515,-0.915586,-1.3242,-0.112842,1656962184
0,0,0,0.591074,0.787982,0.322446,-0.325171,-0.535429,0.211113,0.0023979,-0.00307624,-0.377363,0.591074,0.787982,0.322446,-0.916246,-1.32341,-0.111333,1656962184
