vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,0.591916,0.788448,0.322859,-0.322024,0.57039,0.980646,0.0111184,0.0157457,-0.00331172,0.591916,0.788448,0.322859,-0.91394,-0.218058,0.657787,1656962552
0.653258,0.737811,0.315011,0.592047,0.788926,0.322869,-0.321209,0.572152,0.982336,0.00701291,0.0119729,-0.00409321,-0.0612111,0.0511153,0.00785783,-0.913256,-0.216774,0.659467,1656962552
0.653227,0.735704,0.314427,0.591301,0.788343,0.322758,-0.320995,0.57489,0.983888,0.00893936,0.0121965,0.000402847,-0.0619264,0.0526391,0.00833154,-0.912296,-0.213453,0.66113,1656962553
0.652982,0.735095,0.313538,0.591596,0.788225,0.322892,-0.32069,0.578138,0.98438,0.00505743,0.017768,-0.000680602,-0.0613865,0.0531297,0.0093537,-0.912286,-0.210087,0.661488,1656962553
0.664523,0.733187,0.330042,0.591297,0.788178,0.322663,-0.31908,0.580448,0.984552,0.00734129,0.00908792,-0.00012496,-0.0732262,0.0549916,-0.00737888,-0.910376,-0.20773,0.661889,1656962553
0.651282,0.730947,0.335466,0.591405,0.788311,0.322736,-0.316556,0.581684,0.983491,0.00519268,0.0104787,-0.00395459,-0.0598767,0.0573641,-0.01273,-0.907961,-0.206627,0.660755,1656962553
0.637347,0.732051,0.334936,0.591502,0.788177,0.322848,-0.314752,0.581899,0.983104,0.00799352,0.00909941,-0.00542055,-0.0458452,0.0561259,-0.0120878,-0.906254,-0.206278,0.660255,1656962554
0.621159,0.732447,0.337804,0.591299,0.788201,0.322663,-0.314003,0.582845,0.984516,0.00406808,0.0118472,0.00181032,-0.0298601,0.0557539,-0.0151408,-0.905302,-0.205355,0.661853,1656962554
0.604329,0.733402,0.336094,0.591462,0.787965,0.32284,-0.312096,0.582855,0.982511,0.00628334,0.00912582,0.000778591,-0.0128667,0.0545622,-0.0132542,-0.903558,-0.205109,0.659671,1656962554
0.590186,0.735248,0.338667,0.590005,0.792282,0.321068,-0.309614,0.583399,0.982787,0.00708787,0.0151951,0.000415871,-0.000181496,0.0570337,-0.0175985,-0.899619,-0.208883,0.661719,1656962554
0.553539,0.738941,0.346635,0.591626,0.788135,0.322793,-0.306335,0.583448,0.98314,0.00844971,0.00926795,0.000612451,0.038087,0.049194,-0.0238421,-0.897961,-0.204687,0.660347,1656962554
0.553605,0.738306,0.346323,0.591752,0.788489,0.322997,-0.303371,0.583759,0.983096,0.0128159,0.0138148,-0.00268315,0.0381478,0.0501835,-0.0233257,-0.895123,-0.20473,0.660099,1656962555
0.553839,0.738465,0.346433,0.591441,0.78829,0.322976,-0.301426,0.593839,0.982566,0.0389582,0.0116991,0.00112332,0.037602,0.0498247,-0.023457,-0.892867,-0.19445,0.65959,1656962555
0.55442,0.742108,0.347922,0.591402,0.787899,0.322724,-0.301162,0.624612,0.983122,0.0128001,0.0050777,-0.00360186,0.0369829,0.0457916,-0.0251976,-0.892564,-0.163287,0.660398,1656962555
0.55351,0.746351,0.346793,0.591856,0.787495,0.32231,-0.301485,0.65887,0.983113,0.00621464,0.0129792,-0.00917591,0.0383459,0.0411438,-0.0244831,-0.893341,-0.128625,0.660804,1656962556
0.553262,0.749706,0.346622,0.589993,0.790536,0.320932,-0.302323,0.690194,0.982057,-0.000522486,0.00767902,-0.00232611,0.0367312,0.0408293,-0.02569,-0.892316,-0.100341,0.661124,1656962556
0.553084,0.753075,0.346817,0.592469,0.788618,0.323109,-0.3031,0.716974,0.981776,0.000428179,0.00805229,-0.00645196,0.0393855,0.035543,-0.0237072,-0.895569,-0.0716441,0.658666,1656962556
