vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
1.06658,-0.0560783,-1.02819,0,0,0,0,0,0,0,0,0,-1.06658,0.0560783,1.02819,0,0,0,1656788845
1.06735,-0.0555075,-1.02759,0,0,0,0,0,0,0,0,0,-1.06735,0.0555075,1.02759,0,0,0,1656788845
1.06717,-0.0551536,-1.02582,0,0,0,0,0,0,0,0,0,-1.06717,0.0551536,1.02582,0,0,0,1656788845
1.06722,-0.0554831,-1.0265,0,0,0,0,0,0,0,0,0,-1.06722,0.0554831,1.0265,0,0,0,1656788846
1.06665,-0.0551848,-1.02832,0,0,0,0,0,0,0,0,0,-1.06665,0.0551848,1.02832,0,0,0,1656788846
1.06523,-0.056055,-1.02684,0,0,0,0,0,0,0,0,0,-1.06523,0.056055,1.02684,0,0,0,1656788846
1.06857,-0.055014,-1.02677,0,0,0,0,0,0,0,0,0,-1.06857,0.055014,1.02677,0,0,0,1656788847
1.06571,-0.0557261,-1.02609,0,0,0,0,0,0,0,0,0,-1.06571,0.0557261,1.02609,0,0,0,1656788847
1.06511,-0.0555408,-1.02673,0,0,0,0,0,0,0,0,0,-1.06511,0.0555408,1.02673,0,0,0,1656788848
1.06654,-0.0555716,-1.02687,0,0,0,0,0,0,0,0,0,-1.06654,0.0555716,1.02687,0,0,0,1656788848
1.0665,-0.0554751,-1.02703,0,0,0,0,0,0,0,0,0,-1.0665,0.0554751,1.02703,0,0,0,1656788848
1.06637,-0.0553728,-1.02686,0,0,0,0,0,0,0,0,0,-1.06637,0.0553728,1.02686,0,0,0,1656788849
1.06628,-0.0553301,-1.02692,0,0,0,0,0,0,0,0,0,-1.06628,0.0553301,1.02692,0,0,0,1656788849
1.06616,-0.0552878,-1.02728,0,0,0,0,0,0,0,0,0,-1.06616,0.0552878,1.02728,0,0,0,1656788849
1.06603,-0.0553504,-1.0272,0,0,0,0,0,0,0,0,0,-1.06603,0.0553504,1.0272,0,0,0,1656788850
1.06616,-0.0552782,-1.02672,0,0,0,0,0,0,0,0,0,-1.06616,0.0552782,1.02672,0,0,0,1656788850
1.06597,-0.0552499,-1.02707,0,0,0,0,0,0,0,0,0,-1.06597,0.0552499,1.02707,0,0,0,1656788850
1.06604,-0.0551771,-1.02723,0,0,0,0,0,0,0,0,0,-1.06604,0.0551771,1.02723,0,0,0,1656788851
1.06609,-0.0551404,-1.02725,0,0,0,0,0,0,0,0,0,-1.06609,0.0551404,1.02725,0,0,0,1656788851
1.06623,-0.0549881,-1.02733,0,0,0,0,0,0,0,0,0,-1.06623,0.0549881,1.02733,0,0,0,1656788851
1.06621,-0.0550188,-1.02697,0,0,0,0,0,0,0,0,0,-1.06621,0.0550188,1.02697,0,0,0,1656788852
1.06635,-0.0550745,-1.02706,0,0,0,0,0,0,0,0,0,-1.06635,0.0550745,1.02706,0,0,0,1656788852
1.06635,-0.0551669,-1.02737,0,0,0,0,0,0,0,0,0,-1.06635,0.0551669,1.02737,0,0,0,1656788852
1.06629,-0.0552115,-1.02745,0,0,0,0,0,0,0,0,0,-1.06629,0.0552115,1.02745,0,0,0,1656788853
1.06645,-0.0551112,-1.02741,0,0,0,0,0,0,0,0,0,-1.06645,0.0551112,1.02741,0,0,0,1656788853
1.06636,-0.05508,-1.0282,0,0,0,0,0,0,0,0,0,-1.06636,0.05508,1.0282,0,0,0,1656788853
1.06629,-0.0551354,-1.0277,0,0,0,0,0,0,0,0,0,-1.06629,0.0551354,1.0277,0,0,0,1656788854
1.0664,-0.0551669,-1.02744,0,0,0,0,0,0,0,0,0,-1.0664,0.0551669,1.02744,0,0,0,1656788854
1.06648,-0.0553096,-1.02736,0,0,0,0,0,0,0,0,0,-1.06648,0.0553096,1.02736,0,0,0,1656788854
1.06632,-0.0553642,-1.02774,0,0,0,0,0,0,0,0,0,-1.06632,0.0553642,1.02774,0,0,0,1656788855
1.06646,-0.0553048,-1.02773,0,0,0,0,0,0,0,0,0,-1.06646,0.0553048,1.02773,0,0,0,1656788855
