vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.50672,0.0887639,-0.510235,0,0,0,0,0,0,0,0,0,-1.50672,-0.0887639,0.510235,1655556953
1.19016,-1.29219,0.688839,1.11155,-1.28608,0.798569,1.99585,-0.0411684,1.2625,-0.000865609,0.0436185,2.20346,-0.0786109,0.00610816,0.10973,1655556953
1.19167,-1.28897,0.686501,1.11156,-1.28642,0.798959,1.99581,-0.0411241,1.26247,-0.00137112,0.0435376,2.2037,-0.0801127,0.00255466,0.112458,1655556954
1.18677,-1.28982,0.690535,1.11165,-1.2865,0.799134,1.99583,-0.04112,1.26251,-0.000297152,0.0421654,2.20358,-0.0751258,0.00331771,0.108599,1655556954
1.19343,-1.28702,0.690843,1.11188,-1.28643,0.79923,1.99582,-0.041137,1.26245,-0.00135121,0.0435401,2.20365,-0.0815485,0.000594974,0.108387,1655556954
1.18983,-1.28789,0.690496,1.1116,-1.28641,0.798952,1.99584,-0.0411623,1.2625,-0.00109405,0.0434872,2.2035,-0.0782373,0.00148129,0.108457,1655556955
1.18888,-1.29243,0.68927,1.11198,-1.28648,0.799432,1.99581,-0.0411016,1.2625,-0.0005458,0.0429171,2.20363,-0.0769037,0.00595224,0.110162,1655556955
1.19012,-1.29021,0.686469,1.11158,-1.28617,0.798892,1.99567,-0.0412331,1.26246,-0.00145286,0.0447492,2.20407,-0.0785439,0.00403869,0.112422,1655556956
1.19232,-1.28905,0.690858,1.11178,-1.28608,0.79881,1.99587,-0.041104,1.26255,-0.000434993,0.042589,2.20342,-0.0805404,0.00297689,0.107952,1655556956
1.19264,-1.28692,0.684974,1.1118,-1.28618,0.79904,1.99572,-0.0412747,1.2624,-0.00295564,0.0462402,2.20414,-0.0808374,0.000737309,0.114067,1655556957
1.18943,-1.28961,0.686814,1.11162,-1.2862,0.798896,1.99569,-0.0412444,1.26242,-0.00154713,0.0445648,2.20398,-0.077811,0.00340652,0.112083,1655556957
1.19243,-1.28719,0.69004,1.11173,-1.28609,0.798767,1.99585,-0.041181,1.26251,-0.00179447,0.0438528,2.20362,-0.0806946,0.0011065,0.108728,1655556957
1.19297,-1.28818,0.684282,1.11156,-1.28609,0.798597,1.99576,-0.0412732,1.26243,-0.00268587,0.0454877,2.20393,-0.0814073,0.00209343,0.114315,1655556958
1.189,-1.29338,0.688682,1.11157,-1.28619,0.798891,1.99581,-0.0411645,1.2625,-0.000927174,0.043323,2.20354,-0.0774314,0.00719047,0.110209,1655556958
1.19073,-1.28989,0.687682,1.11186,-1.28642,0.799213,1.99575,-0.0412773,1.26246,-0.00235955,0.0453974,2.20409,-0.0788662,0.00346935,0.111531,1655556959
1.19044,-1.28664,0.692254,1.11151,-1.28614,0.798603,1.99585,-0.0411946,1.26249,-0.00148244,0.0436581,2.20363,-0.0789289,0.000503063,0.106349,1655556959
