vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0.838502,-0.0865307,-0.640164,0,0,0,0,0,0,0,0,0,-0.838502,0.0865307,0.640164,0,0,0,1656150495
0.844069,-0.0800628,-0.641691,0,0,0,0,0,0,0,0,0,-0.844069,0.0800628,0.641691,0,0,0,1656150496
0.848197,-0.0755435,-0.644758,0,0,0,0,0,0,0,0,0,-0.848197,0.0755435,0.644758,0,0,0,1656150496
0.851641,-0.0736145,-0.642316,0,0,0,0,0,0,0,0,0,-0.851641,0.0736145,0.642316,0,0,0,1656150496
0.855714,-0.0823511,-0.646753,0,0,0,0,0,0,0,0,0,-0.855714,0.0823511,0.646753,0,0,0,1656150497
0.859347,-0.087911,-0.642575,0,0,0,0,0,0,0,0,0,-0.859347,0.087911,0.642575,0,0,0,1656150497
0.854021,-0.0960255,-0.650282,0,0,0,0,0,0,0,0,0,-0.854021,0.0960255,0.650282,0,0,0,1656150498
0.853347,-0.100523,-0.639246,0,0,0,0,0,0,0,0,0,-0.853347,0.100523,0.639246,0,0,0,1656150498
0.838612,-0.110353,-0.647479,0,0,0,0,0,0,0,0,0,-0.838612,0.110353,0.647479,0,0,0,1656150498
0.847014,-0.090517,-0.644703,0,0,0,0,0,0,0,0,0,-0.847014,0.090517,0.644703,0,0,0,1656150499
0.845772,-0.0919476,-0.64635,0,0,0,0,0,0,0,0,0,-0.845772,0.0919476,0.64635,0,0,0,1656150499
0.844481,-0.0921774,-0.64783,0,0,0,0,0,0,0,0,0,-0.844481,0.0921774,0.64783,0,0,0,1656150500
0.843318,-0.0914014,-0.649077,0,0,0,0,0,0,0,0,0,-0.843318,0.0914014,0.649077,0,0,0,1656150500
0.841514,-0.0900091,-0.651074,0,0,0,0,0,0,0,0,0,-0.841514,0.0900091,0.651074,0,0,0,1656150501
0.839255,-0.0883072,-0.652365,0,0,0,0,0,0,0,0,0,-0.839255,0.0883072,0.652365,0,0,0,1656150501
0.835837,-0.0857394,-0.654622,0,0,0,0,0,0,0,0,0,-0.835837,0.0857394,0.654622,0,0,0,1656150502
0.832971,-0.0815935,-0.655498,0,0,0,0,0,0,0,0,0,-0.832971,0.0815935,0.655498,0,0,0,1656150502
0.830133,-0.0762572,-0.657259,0,0,0,0,0,0,0,0,0,-0.830133,0.0762572,0.657259,0,0,0,1656150502
0.827973,-0.0713812,-0.658106,0,0,0,0,0,0,0,0,0,-0.827973,0.0713812,0.658106,0,0,0,1656150503
0.826333,-0.0675836,-0.657884,0,0,0,0,0,0,0,0,0,-0.826333,0.0675836,0.657884,0,0,0,1656150503
0.824362,-0.0650714,-0.657202,0,0,0,0,0,0,0,0,0,-0.824362,0.0650714,0.657202,0,0,0,1656150504
0.822353,-0.0646862,-0.656141,0,0,0,0,0,0,0,0,0,-0.822353,0.0646862,0.656141,0,0,0,1656150504
0.8122,-0.0955082,-0.652218,0,0,0,0,0,0,0,0,0,-0.8122,0.0955082,0.652218,0,0,0,1656150504
