vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
1.06836,-0.0379541,-1.03135,0,0,0,0,0,0,0,0,0,-1.06836,0.0379541,1.03135,0,0,0,1656851614
1.07009,-0.0373001,-1.02612,0,0,0,0,0,0,0,0,0,-1.07009,0.0373001,1.02612,0,0,0,1656851615
1.06874,-0.0372495,-1.02713,0,0,0,0,0,0,0,0,0,-1.06874,0.0372495,1.02713,0,0,0,1656851615
1.06881,-0.0380961,-1.03061,0,0,0,0,0,0,0,0,0,-1.06881,0.0380961,1.03061,0,0,0,1656851616
1.06857,-0.0382389,-1.0275,0,0,0,0,0,0,0,0,0,-1.06857,0.0382389,1.0275,0,0,0,1656851616
1.06805,-0.036579,-1.02941,0,0,0,0,0,0,0,0,0,-1.06805,0.036579,1.02941,0,0,0,1656851616
1.06807,-0.0377542,-1.02736,0,0,0,0,0,0,0,0,0,-1.06807,0.0377542,1.02736,0,0,0,1656851617
1.06881,-0.0366503,-1.02888,0,0,0,0,0,0,0,0,0,-1.06881,0.0366503,1.02888,0,0,0,1656851617
1.06894,-0.0383037,-1.02409,0,0,0,0,0,0,0,0,0,-1.06894,0.0383037,1.02409,0,0,0,1656851617
1.0688,-0.0376327,-1.0276,0,0,0,0,0,0,0,0,0,-1.0688,0.0376327,1.0276,0,0,0,1656851618
1.06887,-0.0376208,-1.02741,0,0,0,0,0,0,0,0,0,-1.06887,0.0376208,1.02741,0,0,0,1656851618
1.06877,-0.0376377,-1.02758,0,0,0,0,0,0,0,0,0,-1.06877,0.0376377,1.02758,0,0,0,1656851618
1.0688,-0.0377105,-1.0278,0,0,0,0,0,0,0,0,0,-1.0688,0.0377105,1.0278,0,0,0,1656851619
1.06887,-0.0375718,-1.02767,0,0,0,0,0,0,0,0,0,-1.06887,0.0375718,1.02767,0,0,0,1656851619
1.06899,-0.0375157,-1.02811,0,0,0,0,0,0,0,0,0,-1.06899,0.0375157,1.02811,0,0,0,1656851619
1.06906,-0.0375139,-1.0281,0,0,0,0,0,0,0,0,0,-1.06906,0.0375139,1.0281,0,0,0,1656851620
1.06912,-0.0375469,-1.0283,0,0,0,0,0,0,0,0,0,-1.06912,0.0375469,1.0283,0,0,0,1656851620
1.06895,-0.0376967,-1.0282,0,0,0,0,0,0,0,0,0,-1.06895,0.0376967,1.0282,0,0,0,1656851620
1.06896,-0.0377068,-1.02843,0,0,0,0,0,0,0,0,0,-1.06896,0.0377068,1.02843,0,0,0,1656851621
1.06886,-0.0375994,-1.029,0,0,0,0,0,0,0,0,0,-1.06886,0.0375994,1.029,0,0,0,1656851621
1.06899,-0.0376126,-1.02939,0,0,0,0,0,0,0,0,0,-1.06899,0.0376126,1.02939,0,0,0,1656851621
1.06901,-0.037574,-1.02923,0,0,0,0,0,0,0,0,0,-1.06901,0.037574,1.02923,0,0,0,1656851622
1.06919,-0.0375439,-1.02927,0,0,0,0,0,0,0,0,0,-1.06919,0.0375439,1.02927,0,0,0,1656851622
1.06913,-0.0376253,-1.02924,0,0,0,0,0,0,0,0,0,-1.06913,0.0376253,1.02924,0,0,0,1656851622
1.06912,-0.0376574,-1.02912,0,0,0,0,0,0,0,0,0,-1.06912,0.0376574,1.02912,0,0,0,1656851623
1.06916,-0.0377727,-1.02902,0,0,0,0,0,0,0,0,0,-1.06916,0.0377727,1.02902,0,0,0,1656851623
1.06923,-0.037705,-1.029,0,0,0,0,0,0,0,0,0,-1.06923,0.037705,1.029,0,0,0,1656851623
1.06947,-0.0377085,-1.02926,0,0,0,0,0,0,0,0,0,-1.06947,0.0377085,1.02926,0,0,0,1656851624
1.06943,-0.0376835,-1.02958,0,0,0,0,0,0,0,0,0,-1.06943,0.0376835,1.02958,0,0,0,1656851624
1.06943,-0.037764,-1.02987,0,0,0,0,0,0,0,0,0,-1.06943,0.037764,1.02987,0,0,0,1656851624
1.06919,-0.0378144,-1.0291,0,0,0,0,0,0,0,0,0,-1.06919,0.0378144,1.0291,0,0,0,1656851625
1.0692,-0.0378339,-1.02961,0,0,0,0,0,0,0,0,0,-1.0692,0.0378339,1.02961,0,0,0,1656851625
1.06897,-0.0379815,-1.02959,0,0,0,0,0,0,0,0,0,-1.06897,0.0379815,1.02959,0,0,0,1656851625
1.06901,-0.0380413,-1.02975,0,0,0,0,0,0,0,0,0,-1.06901,0.0380413,1.02975,0,0,0,1656851626
1.0689,-0.0380958,-1.02948,0,0,0,0,0,0,0,0,0,-1.0689,0.0380958,1.02948,0,0,0,1656851626
