vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655653169
0,0,0,0.179923,0.289429,0.249891,-0.887801,0.203413,1.38043,-0.00848749,0.0158122,0.00342367,0.179923,0.289429,0.249891,1655653170
0,0,0,0.179966,0.289447,0.249889,-0.887857,0.203442,1.38047,-0.00815172,0.015646,0.00338666,0.179966,0.289447,0.249889,1655653170
0,0,0,0.180382,0.28911,0.249544,-0.88779,0.203395,1.38043,-0.0083221,0.0156627,0.0033324,0.180382,0.28911,0.249544,1655653170
0,0,0,0.179896,0.289425,0.249893,-0.887669,0.203337,1.38075,-0.00477323,0.0140677,0.00260985,0.179896,0.289425,0.249893,1655653171
0,0,0,0.17984,0.289443,0.249882,-0.887856,0.203433,1.38047,-0.00802362,0.0155558,0.00332976,0.17984,0.289443,0.249882,1655653171
0,0,0,0.179839,0.289423,0.249879,-0.887997,0.203508,1.38047,-0.00791768,0.0152746,0.00320957,0.179839,0.289423,0.249879,1655653172
0,0,0,0.180319,0.289101,0.249549,-0.887786,0.203491,1.38033,-0.00786931,0.0140489,0.0042014,0.180319,0.289101,0.249549,1655653172
0,0,0,0.179852,0.28942,0.249885,-0.887804,0.203505,1.38033,-0.00789549,0.0143976,0.00425857,0.179852,0.28942,0.249885,1655653172
0,0,0,0.180345,0.289122,0.249544,-0.887758,0.203383,1.38072,-0.00475351,0.0136986,0.00251747,0.180345,0.289122,0.249544,1655653173
0,0,0,0.179921,0.289406,0.249874,-0.887628,0.203318,1.38073,-0.00511991,0.0141936,0.00262118,0.179921,0.289406,0.249874,1655653173
0,0,0,0.179845,0.28941,0.249913,-0.887804,0.203404,1.38043,-0.0083691,0.0159617,0.00344736,0.179845,0.28941,0.249913,1655653174
0,0,0,0.179863,0.289415,0.249905,-0.887805,0.203499,1.38033,-0.00780942,0.0140074,0.00423394,0.179863,0.289415,0.249905,1655653174
0,0,0,0.179934,0.289435,0.24989,-0.887612,0.203323,1.38073,-0.00528045,0.0139173,0.00249403,0.179934,0.289435,0.24989,1655653175
0,0,0,0.179931,0.289455,0.249894,-0.887841,0.203423,1.38047,-0.00802836,0.0156234,0.00340634,0.179931,0.289455,0.249894,1655653175
0,0,0,0.179904,0.289426,0.24989,-0.887803,0.20342,1.38044,-0.00841248,0.0159132,0.00335,0.179904,0.289426,0.24989,1655653176
0,0,0,0.180486,0.289166,0.249537,-0.887963,0.203477,1.38046,-0.00797955,0.0152785,0.00329062,0.180486,0.289166,0.249537,1655653176
0,0,0,0.179822,0.289425,0.249889,-0.887805,0.203411,1.38044,-0.00846635,0.015673,0.00329983,0.179822,0.289425,0.249889,1655653176
0,0,0,0.180433,0.289129,0.249526,-0.887968,0.203477,1.38047,-0.0080794,0.0154015,0.00325537,0.180433,0.289129,0.249526,1655653177
0,0,0,0.180433,0.289092,0.249517,-0.887641,0.203339,1.38073,-0.0050179,0.0140431,0.00248352,0.180433,0.289092,0.249517,1655653177
0,0,0,0.180404,0.289108,0.249553,-0.887994,0.203486,1.38047,-0.00767252,0.0152514,0.00322791,0.180404,0.289108,0.249553,1655653178
0,0,0,0.180003,0.28945,0.249906,-0.887968,0.203473,1.38046,-0.00804175,0.0154234,0.00327502,0.180003,0.28945,0.249906,1655653178
0,0,0,0.179923,0.28941,0.249874,-0.887858,0.203435,1.38047,-0.00811105,0.0155782,0.00340521,0.179923,0.28941,0.249874,1655653179
0,0,0,0.179918,0.289426,0.249886,-0.887798,0.203402,1.38043,-0.00810689,0.0157853,0.00344581,0.179918,0.289426,0.249886,1655653179
0,0,0,0.179941,0.289454,0.249889,-0.887996,0.2035,1.38047,-0.00757089,0.0152022,0.00335376,0.179941,0.289454,0.249889,1655653180
0,0,0,0.179922,0.289458,0.249887,-0.887796,0.203396,1.38044,-0.00837502,0.0157143,0.00331954,0.179922,0.289458,0.249887,1655653180
0,0,0,0.180353,0.289093,0.249529,-0.887973,0.20358,1.38035,-0.00714426,0.0137053,0.00421648,0.180353,0.289093,0.249529,1655653181
0,0,0,0.18042,0.289107,0.249525,-0.887675,0.203343,1.38075,-0.00480352,0.014161,0.00259731,0.18042,0.289107,0.249525,1655653181
0,0,0,0.180414,0.289108,0.249556,-0.887949,0.203463,1.38045,-0.00799829,0.0152899,0.00330235,0.180414,0.289108,0.249556,1655653181
0,0,0,0.180343,0.289097,0.249532,-0.887837,0.203421,1.38048,-0.00793081,0.0157094,0.00341559,0.180343,0.289097,0.249532,1655653182
0,0,0,0.179916,0.289443,0.249894,-0.88795,0.203453,1.38045,-0.00793083,0.0153061,0.00329926,0.179916,0.289443,0.249894,1655653182
0,0,0,0.179884,0.289389,0.249885,-0.888001,0.203486,1.38049,-0.0076183,0.0151279,0.00333589,0.179884,0.289389,0.249885,1655653183
