vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
1.29442,-0.0637331,-1.1391,0,0,0,0,0,0,0,0,0,-1.29442,0.0637331,1.1391,0,0,0,1656245458
-1.62486,1.26172,0.246787,-1.65002,1.2884,0.28485,-1.64311,-0.0317272,1.38841,-0.0293708,0.00216511,-1.57921,-0.0251596,0.0266839,0.0380629,0.00691116,-1.32013,1.10356,1656245459
-1.61552,1.26487,0.241916,-1.65001,1.28857,0.284827,-1.64317,-0.0317413,1.38802,-0.0239863,0.000541507,-1.57643,-0.0344959,0.0237029,0.042911,0.00684643,-1.32031,1.1032,1656245459
-1.61034,1.26312,0.247779,-1.65004,1.28822,0.284919,-1.6433,-0.0317732,1.38822,-0.0213103,-0.000748634,-1.57533,-0.0397006,0.025106,0.0371406,0.00674498,-1.32,1.1033,1656245460
-1.61185,1.26085,0.253983,-1.65003,1.28825,0.284873,-1.64316,-0.0317413,1.388,-0.023843,0.000639231,-1.57639,-0.0381761,0.0274,0.0308902,0.00686955,-1.31999,1.10313,1656245460
-1.61048,1.2656,0.243236,-1.65075,1.28624,0.286056,-1.64329,-0.0317796,1.38821,-0.0213386,-0.000724262,-1.57528,-0.0402749,0.0206428,0.0428194,0.00746727,-1.31802,1.10216,1656245460
-1.60911,1.26309,0.249573,-1.65083,1.28613,0.286153,-1.64329,-0.0318319,1.38819,-0.0211925,-0.00045443,-1.575,-0.0417135,0.0230377,0.0365791,0.00754046,-1.31796,1.10204,1656245461
-1.61463,1.26247,0.242046,-1.65094,1.28882,0.285529,-1.64315,-0.0317258,1.38804,-0.0239994,0.000463709,-1.57635,-0.0363157,0.0263528,0.0434823,0.00779235,-1.32055,1.10251,1656245461
-1.61221,1.26183,0.243405,-1.64997,1.28852,0.28483,-1.64338,-0.0318041,1.38838,-0.0237581,0.00175779,-1.57577,-0.0377562,0.0266927,0.0414243,0.00658739,-1.32033,1.10355,1656245461
-1.32275,1.13046,0.107704,-1.65077,1.2864,0.286009,-1.64319,-0.0317565,1.38801,-0.0238514,0.000541008,-1.57636,-0.328023,0.155938,0.178305,0.00757921,-1.31816,1.102,1656245462
-1.61309,1.26313,0.24675,-1.65073,1.28655,0.286032,-1.64326,-0.0317659,1.38825,-0.0212894,-0.000926082,-1.57548,-0.0376341,0.0234205,0.0392821,0.00746417,-1.31832,1.10222,1656245462
-1.61164,1.26328,0.24722,-1.64973,1.29128,0.283691,-1.64324,-0.031828,1.38819,-0.0211785,-0.000684013,-1.5752,-0.0380827,0.0280002,0.036471,0.00649047,-1.32311,1.1045,1656245463
-1.61155,1.26317,0.247713,-1.64976,1.29139,0.283703,-1.64316,-0.031795,1.38798,-0.0239195,0.000361541,-1.57629,-0.0382112,0.0282122,0.0359902,0.00660014,-1.32318,1.10428,1656245463
-1.61133,1.26347,0.247674,-1.65065,1.29193,0.284117,-1.64325,-0.0318663,1.38817,-0.0209657,-0.000535358,-1.57504,-0.0393178,0.028463,0.0364421,0.00739706,-1.3238,1.10405,1656245463
-1.61154,1.26384,0.246501,-1.64914,1.29308,0.282816,-1.64312,-0.0318003,1.38799,-0.0237141,0.00042406,-1.57642,-0.0376049,0.02924,0.0363152,0.00601554,-1.32488,1.10517,1656245464
-1.61195,1.26345,0.246333,-1.65148,1.28685,0.286478,-1.64311,-0.0317733,1.388,-0.0239793,0.00056452,-1.57637,-0.0395229,0.0234041,0.0401445,0.00836885,-1.31862,1.10153,1656245464
-1.6141,1.26304,0.24566,-1.65062,1.28604,0.28616,-1.64312,-0.0318943,1.38853,-0.0340031,0.00277291,-1.57987,-0.0365154,0.0230014,0.0405002,0.00749481,-1.31793,1.10237,1656245464
-1.61318,1.26305,0.245848,-1.65064,1.28603,0.286195,-1.64307,-0.0317613,1.38801,-0.019188,0.000292233,-1.57482,-0.0374573,0.0229753,0.040347,0.00756729,-1.31779,1.10182,1656245465
-1.61314,1.26321,0.245962,-1.64989,1.28841,0.284936,-1.64312,-0.0318611,1.38785,-0.0229391,0.000477935,-1.57622,-0.0367547,0.0252002,0.0389739,0.00677168,-1.32027,1.10291,1656245465
-1.61309,1.26285,0.245745,-1.65074,1.28649,0.28606,-1.64305,-0.0319244,1.38772,-0.0230532,0.000742092,-1.57626,-0.0376468,0.0236411,0.0403146,0.0076946,-1.31842,1.10166,1656245465
-1.61437,1.26237,0.246118,-1.6491,1.29307,0.282825,-1.64317,-0.0319541,1.38826,-0.0306732,0.0043329,-1.57925,-0.0347347,0.0306994,0.036707,0.00593352,-1.32502,1.10544,1656245466
-1.61521,1.2621,0.246104,-1.64962,1.29114,0.2838,-1.64308,-0.032074,1.38812,-0.027872,0.00256063,-1.57748,-0.0344058,0.0290339,0.0376953,0.00653446,-1.32321,1.10432,1656245466
-1.61608,1.26184,0.246738,-1.64888,1.29267,0.28287,-1.64321,-0.0324928,1.38935,-0.0323073,0.00101409,-1.57578,-0.0327938,0.0308307,0.0361319,0.00566375,-1.32516,1.10648,1656245466
-1.61823,1.26205,0.247486,-1.65097,1.28913,0.285356,-1.64369,-0.0320499,1.38982,-0.0343187,-0.00510315,-1.57874,-0.0327414,0.0270842,0.0378701,0.00727701,-1.32118,1.10447,1656245467
-1.6196,1.26144,0.248992,-1.64972,1.29131,0.283632,-1.64314,-0.0317591,1.38844,-0.0312476,0.00222341,-1.57952,-0.0301127,0.0298678,0.0346399,0.00657392,-1.32307,1.10481,1656245467
-1.57482,1.18762,0.298126,-0.135436,-0.147832,0.342826,-1.64418,-0.032066,1.39019,-0.0294197,-0.00378653,-1.57503,1.43938,-1.33545,0.0447002,-1.50875,0.115766,1.04736,1656245473
-1.43402,1.08911,0.309286,-0.137311,-0.14968,0.344574,-1.55916,-0.0818093,1.38501,-0.0163173,0.00871239,-0.186279,1.29671,-1.23879,0.0352878,-1.42185,0.0678702,1.04043,1656245476
-1.28788,0.941177,0.320034,-0.137109,-0.149844,0.344326,-1.51029,-0.0812466,1.38788,-0.00628526,0.00306645,0.298061,1.15077,-1.09102,0.0242916,-1.37318,0.0685971,1.04355,1656245476
-1.14251,0.79578,0.329013,-0.137282,-0.14984,0.344403,-1.50804,-0.076723,1.38503,-0.025232,0.0199242,0.262936,1.00523,-0.94562,0.0153905,-1.37076,0.073117,1.04063,1656245476
-0.996125,0.649448,0.336651,-0.137239,-0.150103,0.344246,-1.4809,-0.0722625,1.38707,-0.0381006,0.0170185,0.0673354,0.858886,-0.799551,0.00759572,-1.34366,0.0778404,1.04282,1656245477
-0.849187,0.501837,0.344847,-0.137158,-0.149856,0.34433,-1.44807,-0.0604186,1.38773,-0.0171511,0.0125224,0.0455019,0.712029,-0.651693,-0.000517249,-1.31091,0.0894378,1.0434,1656245477
-0.702564,0.353438,0.350803,-0.137237,-0.149717,0.344525,-1.44521,-0.0607305,1.38795,-0.00950017,0.0150146,0.0797366,0.565327,-0.503155,-0.00627714,-1.30798,0.0889864,1.04342,1656245477
-0.556505,0.205333,0.356575,-0.137128,-0.149895,0.344303,-1.44664,-0.0594052,1.38709,-0.0118742,0.0206729,0.0794974,0.419377,-0.355228,-0.0122716,-1.30952,0.0904901,1.04279,1656245478
