vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0.328131,0.120941,0.310698,0.387309,0.188107,0.339445,-0.375073,-0.496571,1.24065,0.00809368,0.0187568,-0.0154387,0.0591786,0.0671663,0.0287463,-0.762383,-0.684678,0.901208,1656601704
0.308644,0.143386,0.313046,0.381942,0.187246,0.340039,-0.385038,-0.48601,1.30764,-0.00518583,0.0291619,-0.0245133,0.0732976,0.0438601,0.0269932,-0.76698,-0.673256,0.967606,1656601704
0.328258,0.076748,0.328372,0.381576,0.187213,0.340035,-0.246725,-0.230769,1.04068,0.0372209,0.00683468,-0.00360964,0.053318,0.110465,0.0116628,-0.628302,-0.417982,0.700649,1656601707
0.330052,0.114067,0.332633,0.381772,0.187433,0.340622,-0.285223,0.0708895,0.999343,-0.00805959,0.00576601,-0.00583908,0.0517201,0.0733666,0.00798884,-0.666994,-0.116544,0.65872,1656601707
0.330185,0.144968,0.33197,0.383742,0.186721,0.340136,-0.318734,0.301538,0.977382,-0.0128482,0.00687256,-0.0021543,0.0535572,0.0417533,0.00816622,-0.702476,0.114817,0.637246,1656601708
0.331543,0.153104,0.334881,0.38233,0.187048,0.340794,-0.339474,0.453082,0.965507,-0.0130251,0.00514655,-0.000915867,0.0507872,0.0339439,0.00591305,-0.721804,0.266035,0.624714,1656601708
0.329814,0.165652,0.331477,0.382033,0.187034,0.340068,-0.347484,0.529614,0.958614,-0.00569392,0.00618606,-0.000484607,0.0522192,0.021382,0.00859109,-0.729517,0.34258,0.618546,1656601709
0.327044,0.176383,0.330491,0.382299,0.187111,0.340524,-0.342382,0.542106,0.957345,0.00756507,0.0064752,0.00126306,0.0552549,0.0107278,0.0100332,-0.72468,0.354995,0.616821,1656601710
0.329409,0.174453,0.328719,0.38346,0.186625,0.34012,-0.334522,0.517045,0.956908,0.0125949,0.00206178,-0.000540803,0.054051,0.0121714,0.0114009,-0.717982,0.33042,0.616788,1656601710
0.327409,0.14412,0.327197,0.381657,0.187024,0.340005,-0.333753,0.498388,0.959888,0.0168398,0.000227148,0.00196206,0.0542486,0.0429039,0.0128081,-0.71541,0.311364,0.619882,1656601711
0.327816,0.149144,0.328923,0.381673,0.186899,0.340717,-0.336276,0.492239,0.962628,0.0116256,0.000632105,0.000298329,0.0538569,0.0377547,0.0117943,-0.717949,0.30534,0.621911,1656601711
0.329966,0.151436,0.330658,0.381542,0.186965,0.339974,-0.338619,0.4912,0.96612,0.0169559,0.000469755,0.00259447,0.0515768,0.0355285,0.00931644,-0.720161,0.304236,0.626145,1656601712
0.330562,0.160321,0.331566,0.381555,0.18675,0.340385,-0.338974,0.495069,0.970562,0.0159977,-0.00664921,0.0029568,0.0509926,0.0264288,0.00881916,-0.720529,0.308319,0.630178,1656601712
0.330994,0.165853,0.331761,0.382192,0.187158,0.340176,-0.341873,0.501992,0.973779,0.0189384,-0.00285642,-0.00178026,0.0511986,0.0213052,0.00841543,-0.724066,0.314834,0.633602,1656601713
0.331487,0.168595,0.331718,0.385089,0.1866,0.340587,-0.346023,0.509478,0.976551,0.0124564,-0.000271477,-7.7698e-05,0.0536015,0.0180047,0.00886956,-0.731112,0.322878,0.635963,1656601713
0.331353,0.170117,0.331352,0.383859,0.186974,0.340577,-0.352251,0.516997,0.979201,0.0148339,0.00164378,0.00494894,0.0525067,0.0168567,0.00922492,-0.73611,0.330023,0.638624,1656601714
0.331486,0.170553,0.331107,0.383148,0.186475,0.340305,-0.357161,0.520435,0.981176,0.0162029,0.00398025,0.00308184,0.0516625,0.0159222,0.00919732,-0.740309,0.333959,0.640871,1656601714
0.331783,0.169903,0.331555,0.382474,0.186264,0.340181,-0.359121,0.522147,0.982028,0.0132883,0.00156273,0.00560788,0.0506912,0.0163615,0.00862584,-0.741595,0.335883,0.641847,1656601715
0.332143,0.169883,0.331912,0.38407,0.186988,0.340466,-0.358161,0.520091,0.982648,0.0113895,0.00131203,0.000790916,0.0519276,0.017105,0.00855467,-0.742231,0.333104,0.642181,1656601715
0.332382,0.170235,0.332104,0.383927,0.18673,0.34052,-0.358008,0.51904,0.983861,0.0166074,0.00381729,-0.00637229,0.0515447,0.0164942,0.00841579,-0.741935,0.33231,0.643341,1656601715
0.331919,0.169984,0.332426,0.384014,0.187335,0.339814,-0.356772,0.522279,0.985731,0.015299,0.00674398,0.00017255,0.0520951,0.0173513,0.00738788,-0.740785,0.334944,0.645917,1656601716
0.332191,0.170226,0.333021,0.38377,0.186361,0.340421,-0.352309,0.525995,0.987677,0.0169316,0.000349322,-0.00246361,0.0515794,0.0161351,0.00740024,-0.736079,0.339633,0.647256,1656601717
0.331891,0.16995,0.333046,0.382981,0.186733,0.340347,-0.348257,0.52558,0.988206,0.0158999,0.000667345,0.000873589,0.0510898,0.0167828,0.00730097,-0.731238,0.338847,0.647859,1656601717
0.33149,0.171713,0.332559,0.380275,0.186932,0.339829,-0.344233,0.483763,0.989224,-0.00631056,0.000436238,0.00107037,0.0487854,0.0152193,0.00727043,-0.724509,0.296831,0.649395,1656601718
0.330874,0.172008,0.332107,0.381604,0.187059,0.340078,-0.346481,0.382372,0.986438,0.0217326,0.000444764,0.0019552,0.0507298,0.0150508,0.00797081,-0.728085,0.195313,0.64636,1656601718
0.330664,0.17154,0.332208,0.384067,0.18669,0.340343,-0.353534,0.296415,0.986092,0.0285958,0.00196453,-0.000730778,0.0534028,0.0151501,0.0081358,-0.737601,0.109725,0.645749,1656601719
0.329858,0.171181,0.331606,0.382354,0.187553,0.340093,-0.364381,0.231258,0.989426,0.0227855,0.0112918,-0.00514358,0.0524966,0.016372,0.00848785,-0.746736,0.0437052,0.649332,1656601719
0.329188,0.170248,0.330442,0.38218,0.187185,0.340107,-0.373339,0.199777,0.991328,0.0187816,0.0137199,-0.00751229,0.052992,0.016937,0.00966558,-0.755519,0.012592,0.651221,1656601720
0.328324,0.168244,0.330089,0.382906,0.186736,0.339721,-0.375348,0.187672,0.991291,0.0207751,0.00969504,-0.00517055,0.0545822,0.0184924,0.00963154,-0.758255,0.00093554,0.65157,1656601720
0.327353,0.1654,0.329379,0.383114,0.186863,0.339964,-0.373095,0.185598,0.990391,0.0256431,0.00959491,-0.00271475,0.0557607,0.0214627,0.0105852,-0.756209,-0.00126499,0.650427,1656601720
0.316113,0.163428,0.331797,0.385177,0.186739,0.340743,-0.308765,0.191408,0.863288,0.011526,0.0914101,-0.000886363,0.0690637,0.023311,0.008946,-0.693942,0.00466987,0.522545,1656601721
0.317777,0.161402,0.336381,0.38376,0.187058,0.340192,-0.340694,-0.478582,1.47099,0.029015,0.0470766,-0.00977839,0.0659828,0.0256559,0.00381112,-0.724455,-0.66564,1.1308,1656601731
