vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,0.577932,0.562201,0.319642,-1.39899,-0.0428667,0.229331,-0.0428622,0.00480111,-0.0208324,0.577932,0.562201,0.319642,-1.97692,-0.605068,-0.0903113,1657013947
0,0,0,0.578034,0.562214,0.319625,-1.39898,-0.0431309,0.229581,-0.0409109,0.00352979,-0.0209766,0.578034,0.562214,0.319625,-1.97701,-0.605345,-0.0900439,1657013958
0,0,0,0.577924,0.562227,0.319606,-1.39905,-0.042997,0.229369,-0.041863,0.00478262,-0.0225743,0.577924,0.562227,0.319606,-1.97698,-0.605224,-0.0902369,1657013958
0,0,0,0.577786,0.562126,0.319713,-1.39914,-0.0428174,0.229555,-0.0457572,0.00120998,-0.0227153,0.577786,0.562126,0.319713,-1.97692,-0.604944,-0.0901582,1657013958
0,0,0,0.578435,0.562399,0.319495,-1.39912,-0.0429185,0.229474,-0.0461677,0.00205786,-0.0222518,0.578435,0.562399,0.319495,-1.97755,-0.605317,-0.0900215,1657013958
0,0,0,0.578006,0.562333,0.319574,-1.39915,-0.0428241,0.229533,-0.0455755,0.00125797,-0.0226223,0.578006,0.562333,0.319574,-1.97716,-0.605157,-0.090041,1657013958
0,0,0,0.577819,0.562019,0.319672,-1.39904,-0.0429876,0.229561,-0.0400219,0.00273143,-0.0198478,0.577819,0.562019,0.319672,-1.97686,-0.605007,-0.0901109,1657013958
0,0,0,0.577894,0.562208,0.319604,-1.39919,-0.0426962,0.22959,-0.0459537,0.00120094,-0.0220347,0.577894,0.562208,0.319604,-1.97708,-0.604905,-0.0900136,1657013959
0,0,0,0.578005,0.562346,0.319603,-1.39914,-0.0428673,0.229495,-0.0463727,0.00203568,-0.0223174,0.578005,0.562346,0.319603,-1.97714,-0.605213,-0.0901082,1657013959
0,0,0,0.577807,0.562239,0.319696,-1.39899,-0.0430823,0.229267,-0.0421476,0.00551053,-0.022202,0.577807,0.562239,0.319696,-1.9768,-0.605322,-0.0904295,1657013959
0,0,0,0.577776,0.562008,0.319653,-1.399,-0.0430866,0.229524,-0.0410423,0.00402517,-0.0199817,0.577776,0.562008,0.319653,-1.97678,-0.605095,-0.0901284,1657013959
0,0,0,0.578247,0.562209,0.319576,-1.399,-0.0430641,0.229299,-0.0420859,0.00546632,-0.0221456,0.578247,0.562209,0.319576,-1.97725,-0.605274,-0.0902771,1657013959
0,0,0,0.577802,0.561993,0.319647,-1.39919,-0.0429726,0.229531,-0.0452343,0.00218738,-0.0231857,0.577802,0.561993,0.319647,-1.97699,-0.604966,-0.0901161,1657013959
0,0,0,0.577994,0.562293,0.319643,-1.39914,-0.043042,0.229728,-0.0439006,0.0015096,-0.0210498,0.577994,0.562293,0.319643,-1.97713,-0.605335,-0.0899157,1657013960
0,0,0,0.578016,0.562387,0.319642,-1.39913,-0.0430565,0.229499,-0.0452531,0.00261115,-0.0237078,0.578016,0.562387,0.319642,-1.97714,-0.605444,-0.0901435,1657013960
0,0,0,0.577932,0.562241,0.319611,-1.39916,-0.0430495,0.229735,-0.0437284,0.00128015,-0.0212186,0.577932,0.562241,0.319611,-1.97709,-0.60529,-0.0898758,1657013960
0,0,0,0.577814,0.562111,0.319617,-1.39902,-0.04292,0.229381,-0.0476367,0.00808691,-0.0206108,0.577814,0.562111,0.319617,-1.97683,-0.605031,-0.090236,1657013960
0,0,0,0.577758,0.562118,0.319694,-1.39908,-0.0428555,0.229666,-0.0465754,0.00727329,-0.0205555,0.577758,0.562118,0.319694,-1.97684,-0.604974,-0.0900283,1657013960
0,0,0,0.577908,0.562189,0.319596,-1.39911,-0.0430159,0.230129,-0.0458165,0.00721292,-0.0235564,0.577908,0.562189,0.319596,-1.97702,-0.605205,-0.0894668,1657013960
0,0,0,0.577869,0.562197,0.319594,-1.39931,-0.0427879,0.229767,-0.0524682,0.00686211,-0.0214356,0.577869,0.562197,0.319594,-1.97718,-0.604985,-0.089827,1657013961
0,0,0,0.577908,0.562262,0.319636,-1.3991,-0.0428459,0.229713,-0.0472906,0.00761592,-0.0201106,0.577908,0.562262,0.319636,-1.97701,-0.605108,-0.0899231,1657013961
0,0,0,0.577826,0.562139,0.319633,-1.39921,-0.0428822,0.230043,-0.0520184,0.00171321,-0.0211183,0.577826,0.562139,0.319633,-1.97704,-0.605022,-0.0895894,1657013961
0,0,0,0.577718,0.562051,0.319658,-1.39909,-0.0429682,0.229637,-0.0472071,0.0080063,-0.0202915,0.577718,0.562051,0.319658,-1.97681,-0.605019,-0.0900215,1657013961
0,0,0,0.577714,0.562091,0.319692,-1.39915,-0.0428469,0.229743,-0.0489866,0.00638189,-0.021054,0.577714,0.562091,0.319692,-1.97686,-0.604938,-0.0899488,1657013961
0,0,0,0.577813,0.562024,0.319649,-1.39906,-0.0430344,0.229566,-0.0465954,0.00714325,-0.0205163,0.577813,0.562024,0.319649,-1.97687,-0.605058,-0.0900827,1657013961
0,0,0,0.577903,0.562277,0.319634,-1.39914,-0.0429371,0.229652,-0.0464291,0.00813023,-0.0206246,0.577903,0.562277,0.319634,-1.97704,-0.605215,-0.0899826,1657013961
