vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0.795053,0.135229,0.248674,-0.290944,-0.436381,0.200416,0.0236749,-0.00735053,0.0294392,0.795053,0.135229,0.248674,1655219388
0,0,0,0.794976,0.135207,0.248502,-0.29093,-0.436365,0.200404,0.0240501,-0.00672312,0.029509,0.794976,0.135207,0.248502,1655219388
0,0,0,0.794954,0.135211,0.248536,-0.290956,-0.436339,0.200406,0.0236602,-0.00669913,0.0293401,0.794954,0.135211,0.248536,1655219388
0,0,0,0.794853,0.135305,0.248611,-0.290455,-0.436548,0.20024,0.0246265,-0.0068166,0.0324966,0.794853,0.135305,0.248611,1655219389
0,0,0,0.795017,0.135196,0.248546,-0.290633,-0.436398,0.200024,0.0267274,-0.00404292,0.0303333,0.795017,0.135196,0.248546,1655219389
0,0,0,0.795044,0.13517,0.248661,-0.290623,-0.436379,0.200002,0.0262853,-0.00374574,0.0302583,0.795044,0.13517,0.248661,1655219389
0,0,0,0.794963,0.135197,0.248505,-0.290953,-0.436371,0.20038,0.0240871,-0.00665247,0.0292842,0.794963,0.135197,0.248505,1655219390
0,0,0,0.795093,0.135225,0.2487,-0.290761,-0.436546,0.200644,0.0219961,-0.00970987,0.0316793,0.795093,0.135225,0.2487,1655219390
0,0,0,0.79505,0.135199,0.248698,-0.290794,-0.436551,0.200657,0.0220333,-0.00966749,0.0316012,0.79505,0.135199,0.248698,1655219391
0,0,0,0.794886,0.135268,0.248577,-0.290439,-0.4366,0.20018,0.0246625,-0.00668896,0.0326265,0.794886,0.135268,0.248577,1655219391
0,0,0,0.794959,0.135217,0.24852,-0.290475,-0.436538,0.20023,0.0242685,-0.00665456,0.0324544,0.794959,0.135217,0.24852,1655219391
0,0,0,0.794992,0.135248,0.248585,-0.290781,-0.436578,0.200629,0.0225095,-0.00984859,0.0316703,0.794992,0.135248,0.248585,1655219392
0,0,0,0.795101,0.135171,0.248693,-0.290791,-0.436544,0.200652,0.0217379,-0.0100392,0.0314734,0.795101,0.135171,0.248693,1655219392
0,0,0,0.794938,0.135268,0.248641,-0.290967,-0.436363,0.200376,0.02359,-0.00651702,0.0293234,0.794938,0.135268,0.248641,1655219392
0,0,0,0.794911,0.135265,0.248606,-0.290453,-0.43655,0.200208,0.0244933,-0.00662329,0.0326483,0.794911,0.135265,0.248606,1655219393
0,0,0,0.795054,0.135597,0.248799,-0.290911,-0.436291,0.200125,0.0261771,-0.00896841,0.0303736,0.795054,0.135597,0.248799,1655219393
0,0,0,0.79488,0.135281,0.248588,-0.290936,-0.436372,0.200434,0.0239582,-0.00729518,0.0294077,0.79488,0.135281,0.248588,1655219393
0,0,0,0.79494,0.135183,0.248526,-0.290971,-0.436364,0.200416,0.0237326,-0.00676412,0.0294671,0.79494,0.135183,0.248526,1655219394
0,0,0,0.794908,0.135257,0.248609,-0.290938,-0.436373,0.200401,0.0236045,-0.00666125,0.0292902,0.794908,0.135257,0.248609,1655219394
0,0,0,0.79491,0.135248,0.248667,-0.290784,-0.436563,0.200657,0.0220167,-0.0100499,0.0316989,0.79491,0.135248,0.248667,1655219394
0,0,0,0.794879,0.135257,0.248612,-0.290617,-0.43637,0.199992,0.0261428,-0.00400501,0.0304208,0.794879,0.135257,0.248612,1655219395
0,0,0,0.794975,0.135177,0.24856,-0.290633,-0.436393,0.200018,0.0267375,-0.00381144,0.0301168,0.794975,0.135177,0.24856,1655219395
0,0,0,0.794963,0.135199,0.248524,-0.290967,-0.436375,0.200429,0.0238993,-0.00671667,0.0292698,0.794963,0.135199,0.248524,1655219395
0,0,0,0.794865,0.135253,0.248603,-0.290893,-0.436405,0.200996,0.0270601,-0.0128964,0.0298005,0.794865,0.135253,0.248603,1655219396
0,0,0,0.794877,0.135242,0.248595,-0.291072,-0.436183,0.200432,0.0316893,-0.0180364,0.0272429,0.794877,0.135242,0.248595,1655219396
0,0,0,0.794986,0.135207,0.248547,-0.291039,-0.436301,0.201056,0.0266016,-0.0131508,0.0304463,0.794986,0.135207,0.248547,1655219396
0,0,0,0.794964,0.135226,0.248527,-0.290985,-0.436446,0.201011,0.0268925,-0.0134331,0.0294979,0.794964,0.135226,0.248527,1655219397
0,0,0,0.794868,0.135315,0.248608,-0.291077,-0.436379,0.20095,0.0257275,-0.01263,0.0293893,0.794868,0.135315,0.248608,1655219397
0,0,0,0.794987,0.135193,0.248491,-0.290766,-0.436384,0.2011,0.0281747,-0.0126521,0.0293863,0.794987,0.135193,0.248491,1655219397
0,0,0,0.79498,0.135192,0.248545,-0.291227,-0.436409,0.201104,0.0275758,-0.0182827,0.0299346,0.79498,0.135192,0.248545,1655219398
0,0,0,0.794641,0.135154,0.248403,-0.29135,-0.436642,0.20152,0.0251089,-0.0194212,0.0317105,0.794641,0.135154,0.248403,1655219398
0,0,0,0.795006,0.135193,0.248524,-0.291482,-0.436604,0.20181,0.0209686,-0.0209921,0.0309587,0.795006,0.135193,0.248524,1655219398
0,0,0,0.794951,0.135275,0.248751,-0.291641,-0.437132,0.20264,0.0179632,-0.0199458,0.029821,0.794951,0.135275,0.248751,1655219399
0,0,0,0.794952,0.135204,0.248499,-0.292528,-0.437724,0.202854,0.0160585,-0.0194827,0.0299553,0.794952,0.135204,0.248499,1655219399
0,0,0,0.794895,0.13523,0.248569,-0.2941,-0.438073,0.204955,0.00752136,-0.0356136,0.0316438,0.794895,0.13523,0.248569,1655219399
0,0,0,0.79501,0.135243,0.248726,-0.2946,-0.439782,0.207945,0.00306136,-0.0365604,0.0315826,0.79501,0.135243,0.248726,1655219400
0,0,0,0.794965,0.135195,0.24851,-0.297262,-0.440557,0.212943,0.00586416,-0.0468872,0.0215714,0.794965,0.135195,0.24851,1655219400
0,0,0,0.794997,0.13524,0.248741,-0.311128,-0.446153,0.23777,0.0261172,-0.0307246,0.00645141,0.794997,0.13524,0.248741,1655219400
0,0,0,0.794956,0.135311,0.248748,-0.326054,-0.44966,0.291623,0.0196492,-0.0284419,0.00165127,0.794956,0.135311,0.248748,1655219401
0.791021,0.0837562,0.133454,0.794654,0.135107,0.248413,-0.342883,-0.451429,0.399369,0.0252578,-0.0267245,-0.00158342,0.00363278,0.0513511,0.114958,1655219402
0.807217,0.0947125,0.12678,0.794982,0.135146,0.248529,-0.358592,-0.450408,0.741692,0.0187729,-0.0111316,0.0054394,-0.0122347,0.0404332,0.121749,1655219402
0.807217,0.0947125,0.12678,0.795097,0.135242,0.248746,-0.343906,-0.442495,1.024,0.015452,-0.0300937,0.00535828,-0.0121198,0.0405296,0.121966,1655219403
0.807217,0.0947125,0.12678,0.794744,0.135082,0.248355,-0.332624,-0.433534,1.1897,0.00791849,-0.0312299,0.00545175,-0.0124725,0.0403699,0.121575,1655219403
0.807217,0.0947125,0.12678,0.795037,0.135204,0.248593,-0.324765,-0.426145,1.31782,0.000799945,-0.0301009,0.0063607,-0.0121797,0.0404913,0.121813,1655219404
0.807217,0.0947125,0.12678,0.794956,0.135268,0.248649,-0.320101,-0.422819,1.39835,-0.00834711,-0.0274351,0.0074212,-0.0122603,0.0405555,0.121869,1655219404
0.807217,0.0947125,0.12678,0.795186,0.135204,0.248737,-0.318665,-0.42176,1.44322,-0.00319619,-0.0236963,0.00864149,-0.0120305,0.0404915,0.121957,1655219405
0.807217,0.0947125,0.12678,0.795104,0.135213,0.248696,-0.318322,-0.423556,1.46825,-0.000566863,-0.0330875,0.00731088,-0.0121126,0.0405006,0.121916,1655219406
0.807217,0.0947125,0.12678,0.79485,0.13506,0.248489,-0.286419,-0.42446,1.4447,0.000893788,-0.028671,-0.000831996,-0.0123665,0.0403475,0.121709,1655219406
0.807217,0.0947125,0.12678,0.795083,0.13522,0.248619,-0.233512,-0.406664,1.43346,0.0104369,-0.020287,0.0109093,-0.0121336,0.0405075,0.121838,1655219407
0.807217,0.0947125,0.12678,0.79512,0.135103,0.248737,-0.181973,-0.393585,1.42086,3.10721,-0.0218889,-1.53822,-0.0120964,0.0403908,0.121956,1655219408
0.814669,0.153561,0.263463,0.795084,0.135171,0.248674,0.0114355,-0.472064,1.27624,-0.0082337,-0.0309256,-1.08803,-0.0195848,-0.0183892,-0.0147886,1655219408
0.814669,0.153561,0.263463,0.794901,0.135532,0.248839,0.240428,-0.563664,1.19585,-0.0205256,-0.0234568,-1.47332,-0.0197681,-0.0180288,-0.0146231,1655219409
0.814669,0.153561,0.263463,0.790827,0.138329,0.24961,0.443458,-0.623741,1.14338,-0.0220018,-0.0301257,-1.5585,-0.0238419,-0.0152312,-0.0138525,1655219409
0.814669,0.153561,0.263463,0.789474,0.138954,0.25033,0.580785,-0.653324,1.11703,-0.0264008,-0.0285187,-1.56182,-0.0251952,-0.0146068,-0.0131329,1655219410
0.814669,0.153561,0.263463,0.789683,0.13905,0.250442,0.672535,-0.663404,1.10708,-0.0358113,-0.0242982,-1.57001,-0.0249856,-0.014511,-0.0130202,1655219410
0.814669,0.153561,0.263463,0.790488,0.139621,0.250158,0.690988,-0.671917,1.10702,-0.0300221,-0.0219686,-1.57173,-0.0241812,-0.0139398,-0.0133051,1655219411
0.769401,0.110534,0.238108,0.790328,0.13947,0.250134,0.688387,-0.682958,1.10673,-0.0365354,-0.0105905,-1.57424,0.0209271,0.0289368,0.0120259,1655219411
0.772198,0.105099,0.23437,0.790429,0.139467,0.250094,0.679779,-0.692551,1.10687,-0.0338036,-0.00841443,-1.57394,0.0182309,0.0343676,0.0157239,1655219412
0.761719,0.106275,0.230451,0.790144,0.139165,0.250137,0.673304,-0.698003,1.10772,-0.0402617,-0.00713807,-1.57612,0.0284252,0.0328896,0.019686,1655219412
0.772316,0.108758,0.237234,0.790281,0.139256,0.249583,0.669943,-0.694232,1.10563,-0.0301672,-0.00980698,-1.57425,0.0179644,0.0304979,0.012349,1655219413
0.772316,0.108758,0.237234,0.78996,0.139378,0.249597,0.66998,-0.684298,1.1029,-0.0363933,-0.0086929,-1.57122,0.0176433,0.0306192,0.0123632,1655219413
0.772316,0.108758,0.237234,0.789999,0.139181,0.249765,0.671425,-0.673179,1.1025,-0.0371826,-0.0082237,-1.56904,0.0176824,0.0304223,0.0125317,1655219414
0.772316,0.108758,0.237234,0.790311,0.137898,0.250625,0.676292,-0.66159,1.10366,-0.0329139,-0.00991117,-1.57125,0.0179949,0.0291394,0.0133914,1655219414
0.772316,0.108758,0.237234,0.787978,0.138599,0.250251,0.682245,-0.649426,1.10418,-0.0364999,-0.010904,-1.57141,0.0156615,0.0298405,0.0130177,1655219415
0.772316,0.108758,0.237234,0.787906,0.138573,0.250227,0.690656,-0.642529,1.10628,-0.0400856,-0.014788,-1.56963,0.0155895,0.0298151,0.0129933,1655219415
0.772316,0.108758,0.237234,0.787707,0.138578,0.250224,0.698969,-0.640051,1.1096,-0.0334216,-0.00631364,-1.56728,0.0153905,0.0298196,0.0129907,1655219416
0.76098,0.101672,0.235087,0.787795,0.13856,0.250228,0.705037,-0.640672,1.11298,-0.0428497,-0.00684263,-1.56616,0.0268157,0.036888,0.0151404,1655219416
0.78071,0.112694,0.245617,0.787723,0.138582,0.250163,0.708949,-0.64399,1.11552,-0.025088,-0.0178112,-1.56717,0.00701237,0.0258877,0.00454517,1655219417
0.769974,0.0970791,0.23492,0.787726,0.138674,0.250234,0.710832,-0.647788,1.11274,-0.0398981,-0.00204019,-1.56218,0.0177518,0.0415944,0.0153141,1655219417
0.769974,0.0970791,0.23492,0.787839,0.138536,0.250207,0.716665,-0.648712,1.06195,0.114161,-0.0158756,-1.56098,0.017865,0.0414572,0.015287,1655219418
