vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656422365
0,0,0,0.935248,0.445912,0.334533,-0.319588,-0.465639,0.205575,0.0196314,0.0786236,0.0302254,0.935248,0.445912,0.334533,-1.25484,-0.911551,-0.128958,1656422397
0,0,0,0.935359,0.44588,0.334555,-0.319576,-0.465531,0.20571,0.0182539,0.0774014,0.0325051,0.935359,0.44588,0.334555,-1.25493,-0.911411,-0.128844,1656422398
0,0,0,0.935291,0.445914,0.33455,-0.319305,-0.465766,0.205643,0.0174656,0.0750063,0.0318771,0.935291,0.445914,0.33455,-1.2546,-0.91168,-0.128907,1656422398
0,0,0,0.935343,0.445893,0.334596,-0.319458,-0.465684,0.205508,0.0196842,0.0777798,0.0297229,0.935343,0.445893,0.334596,-1.2548,-0.911577,-0.129088,1656422398
0,0,0,0.935342,0.445872,0.334572,-0.31956,-0.465619,0.205581,0.0193974,0.0781974,0.0301515,0.935342,0.445872,0.334572,-1.2549,-0.911491,-0.12899,1656422398
0,0,0,0.935337,0.445896,0.33456,-0.319597,-0.465548,0.205698,0.0186537,0.0777566,0.0324883,0.935337,0.445896,0.33456,-1.25493,-0.911444,-0.128862,1656422399
0,0,0,0.935328,0.445892,0.334587,-0.319499,-0.465632,0.205602,0.0195939,0.0781937,0.0300472,0.935328,0.445892,0.334587,-1.25483,-0.911524,-0.128985,1656422399
0,0,0,0.935305,0.44592,0.33458,-0.319358,-0.465683,0.205695,0.0174079,0.0757289,0.0321513,0.935305,0.44592,0.33458,-1.25466,-0.911603,-0.128885,1656422399
0,0,0,0.935312,0.445842,0.334522,-0.319397,-0.465686,0.205663,0.0174533,0.0757193,0.0323734,0.935312,0.445842,0.334522,-1.25471,-0.911528,-0.128859,1656422400
0,0,0,0.935387,0.445881,0.334608,-0.319336,-0.465683,0.205769,0.0174718,0.075906,0.0322346,0.935387,0.445881,0.334608,-1.25472,-0.911563,-0.128839,1656422400
0,0,0,0.93528,0.445876,0.334516,-0.31955,-0.465688,0.205559,0.0192895,0.0782396,0.0298638,0.93528,0.445876,0.334516,-1.25483,-0.911564,-0.128956,1656422400
0,0,0,0.935245,0.445902,0.334553,-0.319339,-0.46568,0.205692,0.0171841,0.0756034,0.0323098,0.935245,0.445902,0.334553,-1.25458,-0.911582,-0.128861,1656422401
0,0,0,0.935274,0.44592,0.334556,-0.31939,-0.465732,0.205704,0.0175559,0.0758165,0.0320737,0.935274,0.44592,0.334556,-1.25466,-0.911652,-0.128852,1656422401
0,0,0,0.935273,0.445893,0.334491,-0.31954,-0.465668,0.205494,0.019594,0.0780016,0.0300551,0.935273,0.445893,0.334491,-1.25481,-0.911561,-0.128997,1656422401
