vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.30189,-0.0900895,-1.11885,0,0,0,0,0,0,0,0,0,-1.30189,0.0900895,1.11885,1655323795
1.30819,-0.0885368,-1.11981,0,0,0,0,0,0,0,0,0,-1.30819,0.0885368,1.11981,1655323795
1.30531,-0.0879771,-1.11794,0,0,0,0,0,0,0,0,0,-1.30531,0.0879771,1.11794,1655323796
1.30919,-0.0911862,-1.12197,0,0,0,0,0,0,0,0,0,-1.30919,0.0911862,1.12197,1655323796
1.30254,-0.0902968,-1.11656,0,0,0,0,0,0,0,0,0,-1.30254,0.0902968,1.11656,1655323796
1.30454,-0.0906384,-1.11639,0,0,0,0,0,0,0,0,0,-1.30454,0.0906384,1.11639,1655323797
1.30744,-0.0896617,-1.11856,0,0,0,0,0,0,0,0,0,-1.30744,0.0896617,1.11856,1655323797
1.30763,-0.0902996,-1.12241,0,0,0,0,0,0,0,0,0,-1.30763,0.0902996,1.12241,1655323797
1.3104,-0.0888889,-1.11742,0,0,0,0,0,0,0,0,0,-1.3104,0.0888889,1.11742,1655323798
1.30864,-0.0898203,-1.12194,0,0,0,0,0,0,0,0,0,-1.30864,0.0898203,1.12194,1655323798
1.30963,-0.0881589,-1.12054,0,0,0,0,0,0,0,0,0,-1.30963,0.0881589,1.12054,1655323798
1.30665,-0.091007,-1.12025,0,0,0,0,0,0,0,0,0,-1.30665,0.091007,1.12025,1655323799
1.31009,-0.0893133,-1.12012,0,0,0,0,0,0,0,0,0,-1.31009,0.0893133,1.12012,1655323799
1.3019,-0.0901199,-1.11888,0,0,0,0,0,0,0,0,0,-1.3019,0.0901199,1.11888,1655323799
1.30791,-0.0893483,-1.11876,0,0,0,0,0,0,0,0,0,-1.30791,0.0893483,1.11876,1655323800
1.30749,-0.091911,-1.12095,0,0,0,0,0,0,0,0,0,-1.30749,0.091911,1.12095,1655323800
1.30537,-0.0890301,-1.11567,0,0,0,0,0,0,0,0,0,-1.30537,0.0890301,1.11567,1655323800
1.30432,-0.0906306,-1.11367,0,0,0,0,0,0,0,0,0,-1.30432,0.0906306,1.11367,1655323801
1.30415,-0.0886303,-1.1171,0,0,0,0,0,0,0,0,0,-1.30415,0.0886303,1.1171,1655323801
1.30405,-0.0886265,-1.11877,0,0,0,0,0,0,0,0,0,-1.30405,0.0886265,1.11877,1655323801
1.30916,-0.0903323,-1.12141,0,0,0,0,0,0,0,0,0,-1.30916,0.0903323,1.12141,1655323802
1.30323,-0.0900582,-1.11592,0,0,0,0,0,0,0,0,0,-1.30323,0.0900582,1.11592,1655323802
1.31004,-0.0888852,-1.12257,0,0,0,0,0,0,0,0,0,-1.31004,0.0888852,1.12257,1655323802
1.30402,-0.0889032,-1.11847,0,0,0,0,0,0,0,0,0,-1.30402,0.0889032,1.11847,1655323803
1.30643,-0.0895133,-1.11983,0,0,0,0,0,0,0,0,0,-1.30643,0.0895133,1.11983,1655323803
-0.156172,1.00098,0.220347,-0.14931,1.0756,0.273116,-0.398197,-0.243769,1.3801,-0.0181606,0.0313491,-1.43364,0.00686276,0.0746231,0.0527685,1655323804
-0.153519,1.00366,0.222597,-0.149427,1.07554,0.273052,-0.398209,-0.243791,1.38009,-0.0176626,0.0321143,-1.43319,0.00409225,0.0718777,0.0504552,1655323804
-0.157073,1.00728,0.219299,-0.149887,1.07545,0.272785,-0.3982,-0.243725,1.3801,-0.0182033,0.0315285,-1.43362,0.00718655,0.068175,0.0534861,1655323804
-0.152953,1.00807,0.21607,-0.14926,1.07562,0.273161,-0.398203,-0.243814,1.38005,-0.0173042,0.0325451,-1.4329,0.00369255,0.0675433,0.0570916,1655323805
-0.155527,1.00512,0.220739,-0.149292,1.07563,0.273148,-0.39819,-0.243782,1.38009,-0.017716,0.031906,-1.4335,0.00623451,0.0705136,0.052409,1655323805
-0.153185,1.00795,0.218616,-0.149377,1.07554,0.273047,-0.398203,-0.243812,1.38005,-0.0173104,0.0322516,-1.43302,0.00380792,0.0675892,0.0544311,1655323805
-0.153438,1.00561,0.216903,-0.149394,1.07557,0.273058,-0.398215,-0.24381,1.38004,-0.0172754,0.0325086,-1.43286,0.00404328,0.0699548,0.0561553,1655323806
-0.154998,1.0045,0.22036,-0.149759,1.07549,0.272872,-0.398212,-0.243773,1.38008,-0.0174538,0.0321408,-1.43304,0.00523958,0.0709974,0.052512,1655323806
-0.152611,1.00606,0.216267,-0.149302,1.07561,0.273159,-0.398217,-0.24381,1.38005,-0.0172004,0.0325056,-1.43296,0.00330825,0.0695509,0.0568925,1655323807
-0.154301,1.0077,0.217035,-0.149292,1.07562,0.273162,-0.39821,-0.243795,1.38007,-0.0174642,0.0321383,-1.43309,0.00500922,0.0679206,0.0561273,1655323807
-0.155139,1.00604,0.219651,-0.149761,1.07551,0.272852,-0.398201,-0.243761,1.3801,-0.0180074,0.0316961,-1.43343,0.00537841,0.0694759,0.0532019,1655323807
-0.156078,1.00025,0.220607,-0.149298,1.07561,0.273165,-0.398226,-0.243753,1.38009,-0.0178712,0.0318151,-1.43349,0.00677986,0.0753595,0.0525581,1655323808
-0.156359,1.00095,0.217653,-0.14946,1.07555,0.273046,-0.398202,-0.243756,1.38009,-0.0178973,0.0317005,-1.43345,0.00689897,0.0745988,0.0553933,1655323808
-0.154412,1.01096,0.21631,-0.149243,1.0756,0.273134,-0.39819,-0.243748,1.38008,-0.017992,0.0314523,-1.43353,0.00516884,0.0646389,0.0568242,1655323808
-0.155191,1.00608,0.219738,-0.149319,1.07558,0.273139,-0.398207,-0.243744,1.38013,-0.018026,0.0314553,-1.43354,0.00587189,0.0695002,0.0534013,1655323809
-0.15423,1.00435,0.217479,-0.149432,1.07556,0.273025,-0.398225,-0.243785,1.38006,-0.0174818,0.0320228,-1.43301,0.00479779,0.0712122,0.0555461,1655323809
-0.155176,1.00483,0.217642,-0.14927,1.07563,0.27316,-0.398192,-0.243776,1.38008,-0.0177203,0.0319675,-1.43316,0.00590652,0.0707997,0.055518,1655323809
-0.153106,1.00324,0.214576,-0.149287,1.07563,0.273176,-0.398219,-0.243764,1.38006,-0.0171994,0.0321471,-1.43322,0.00381869,0.0723902,0.0585997,1655323810
-0.152181,1.00293,0.213067,-0.149406,1.07558,0.273087,-0.398211,-0.243885,1.37995,-0.0161433,0.0340508,-1.43204,0.00277504,0.0726506,0.0600199,1655323810
-0.153911,1.00404,0.219356,-0.149694,1.0755,0.27293,-0.398179,-0.243802,1.38003,-0.0174699,0.0324137,-1.43326,0.00421666,0.0714662,0.053574,1655323810
-0.155032,1.00745,0.221287,-0.14975,1.07549,0.272877,-0.398199,-0.243745,1.38012,-0.0180661,0.0312754,-1.43347,0.00528276,0.0680419,0.0515898,1655323811
-0.152976,1.00791,0.216863,-0.149317,1.07561,0.27315,-0.398216,-0.243796,1.38008,-0.0173017,0.0323227,-1.43286,0.00365984,0.0677004,0.0562869,1655323811
-0.155852,0.998952,0.218558,-0.14937,1.07553,0.273036,-0.398194,-0.243774,1.38007,-0.0177727,0.0320817,-1.43321,0.00648215,0.0765794,0.0544781,1655323812
-0.154297,1.00203,0.219788,-0.149244,1.07562,0.273154,-0.398183,-0.243782,1.38005,-0.017584,0.0322514,-1.43328,0.00505288,0.0735884,0.0533659,1655323812
-0.153203,0.998895,0.218515,-0.149281,1.07559,0.273127,-0.398209,-0.243834,1.37999,-0.0168128,0.0332975,-1.4325,0.00392251,0.0766941,0.0546118,1655323812
-0.154484,1.00481,0.220764,-0.149749,1.07552,0.27288,-0.398192,-0.243778,1.38006,-0.0175879,0.0321121,-1.43317,0.00473584,0.0707079,0.0521161,1655323813
-0.154037,1.00105,0.217271,-0.149398,1.07556,0.273073,-0.398188,-0.243821,1.38002,-0.017098,0.0329045,-1.43274,0.00463907,0.0745077,0.055801,1655323813
-0.156071,1.00105,0.221292,-0.149281,1.07559,0.273125,-0.398195,-0.243757,1.38009,-0.0179338,0.0319374,-1.43347,0.00679019,0.0745343,0.0518333,1655323813
-0.154757,1.00435,0.218889,-0.149902,1.07545,0.272755,-0.39818,-0.24373,1.3801,-0.0181953,0.0312007,-1.43371,0.00485568,0.0711063,0.0538664,1655323814
-0.155507,0.999017,0.228968,-0.149436,1.07552,0.272996,-0.398189,-0.243734,1.38008,-0.0183183,0.0314474,-1.43374,0.00607143,0.0764992,0.0440283,1655323814
-0.156892,1.00126,0.220923,-0.149287,1.07563,0.273149,-0.398179,-0.243747,1.38013,-0.0184118,0.031215,-1.43392,0.00760509,0.0743635,0.0522258,1655323815
-0.155134,1.0085,0.214932,-0.149432,1.07558,0.273079,-0.398183,-0.243742,1.38011,-0.0178955,0.0314838,-1.43361,0.00570251,0.0670837,0.0581471,1655323815
-0.155041,1.01093,0.217681,-0.149346,1.07559,0.273074,-0.398186,-0.243719,1.38011,-0.0181891,0.0314631,-1.43384,0.00569509,0.0646678,0.0553922,1655323815
-0.155563,1.00574,0.21884,-0.149406,1.07557,0.273066,-0.398178,-0.243754,1.3801,-0.018155,0.0315838,-1.43355,0.00615706,0.0698311,0.0542263,1655323816
-0.155262,1.00381,0.220025,-0.149871,1.07546,0.272832,-0.398198,-0.243723,1.38009,-0.0181225,0.0315367,-1.43368,0.00539105,0.0716555,0.0528072,1655323816
-0.147562,1.00014,0.211934,-0.149265,1.07563,0.273148,-0.398213,-0.244004,1.37982,-0.0142386,0.0361069,-1.43052,-0.00170285,0.0754935,0.0612143,1655323816
-0.156081,1.00528,0.217463,-0.149432,1.07557,0.273043,-0.39817,-0.243724,1.38008,-0.0181621,0.0315682,-1.43371,0.00664948,0.0702823,0.0555799,1655323817
-0.154432,1.00586,0.216379,-0.149243,1.07562,0.273161,-0.398204,-0.243766,1.38011,-0.0176273,0.0317332,-1.43348,0.00518894,0.0697608,0.0567812,1655323817
-0.155657,1.00923,0.217464,-0.149764,1.0755,0.272914,-0.398192,-0.243751,1.38011,-0.0180765,0.0313322,-1.43345,0.00589314,0.0662729,0.0554497,1655323817
-0.15726,1.0032,0.221457,-0.149408,1.07556,0.273066,-0.398192,-0.243706,1.38011,-0.0180924,0.0314016,-1.43361,0.00785252,0.07236,0.0516087,1655323818
-0.155788,1.00379,0.219324,-0.149447,1.07555,0.273021,-0.398196,-0.243736,1.38011,-0.0178403,0.0317819,-1.43347,0.00634092,0.0717549,0.053697,1655323818
-0.157602,0.999755,0.221795,-0.149789,1.07549,0.272896,-0.398214,-0.243725,1.3801,-0.0178873,0.0316252,-1.43355,0.00781304,0.0757383,0.0511004,1655323818
-0.155491,1.00371,0.215709,-0.1494,1.07555,0.273038,-0.398163,-0.243753,1.38005,-0.0174863,0.0319344,-1.43327,0.00609085,0.0718462,0.0573289,1655323819
-0.15615,1.00777,0.218905,-0.149259,1.07559,0.273133,-0.398175,-0.243741,1.38009,-0.0182285,0.0311304,-1.43362,0.00689091,0.0678241,0.0542287,1655323819
-0.155957,1.00902,0.221665,-0.149363,1.07558,0.273086,-0.398169,-0.243743,1.38008,-0.0182412,0.031329,-1.43368,0.00659348,0.0665572,0.051421,1655323820
-0.154625,1.00089,0.218945,-0.14981,1.0755,0.272854,-0.398168,-0.243725,1.38011,-0.0181307,0.0313781,-1.43364,0.00481415,0.0746137,0.0539085,1655323820
-0.154096,1.00764,0.215626,-0.149907,1.07545,0.272766,-0.398206,-0.243753,1.3801,-0.0177585,0.0318772,-1.43332,0.00418815,0.0678053,0.0571401,1655323820
-0.153606,1.00462,0.215615,-0.149275,1.07558,0.273105,-0.398199,-0.243784,1.38007,-0.0175236,0.0319278,-1.43296,0.00433162,0.0709574,0.0574906,1655323821
-0.156227,1.00542,0.220919,-0.149399,1.07554,0.273043,-0.398162,-0.243722,1.38011,-0.0183089,0.0313224,-1.43395,0.00682771,0.0701231,0.0521233,1655323821
-0.156313,1.00376,0.223052,-0.149266,1.0756,0.27314,-0.398161,-0.243737,1.38012,-0.0181004,0.0311713,-1.43378,0.00704686,0.0718348,0.0500879,1655323821
-0.156067,1.00552,0.22084,-0.149911,1.07543,0.272727,-0.398171,-0.24372,1.38011,-0.0183927,0.0311464,-1.43375,0.00615606,0.0699114,0.0518873,1655323822
-0.155911,1.00999,0.218152,-0.149284,1.07564,0.273155,-0.398169,-0.243721,1.38012,-0.0181519,0.0312546,-1.43364,0.00662762,0.0656475,0.0550025,1655323822
-0.156244,1.00046,0.220453,-0.149449,1.07555,0.273076,-0.398181,-0.243776,1.38009,-0.0176636,0.0317148,-1.43322,0.00679536,0.0750873,0.0526234,1655323823
-0.155697,1.00557,0.219971,-0.149416,1.07554,0.273013,-0.39816,-0.243731,1.38011,-0.0182766,0.0311157,-1.43378,0.00628157,0.0699794,0.0530419,1655323824
-0.154676,1.00724,0.218155,-0.149402,1.07555,0.273064,-0.398172,-0.243752,1.38009,-0.0177087,0.0316449,-1.43332,0.00527437,0.0683155,0.0549087,1655323824
-0.156257,1.00087,0.222651,-0.149401,1.07556,0.273091,-0.398159,-0.243761,1.38006,-0.0178184,0.0319378,-1.43321,0.00685607,0.0746895,0.0504397,1655323825
-0.154444,1.00659,0.21618,-0.149755,1.07552,0.272877,-0.39817,-0.243749,1.3801,-0.0178677,0.0314383,-1.43346,0.0046896,0.0689389,0.0566971,1655323826
-0.154504,1.00174,0.218554,-0.149275,1.07564,0.273199,-0.398169,-0.243839,1.38001,-0.0167795,0.032902,-1.43253,0.0052283,0.0739059,0.0546447,1655323826
