vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.29954,-0.0223655,-1.29008,0,0,0,0,0,0,0,0,0,-1.29954,0.0223655,1.29008,1655493212
0.0777159,-0.276329,0.0953096,0.0799036,-0.277896,0.0877285,-0.936219,-1.12318,1.3687,-0.0050376,-0.0134153,-0.709722,0.00218771,-0.00156742,-0.00758111,1655493213
0.0770154,-0.276277,0.0959702,0.0797897,-0.277774,0.087302,-0.936243,-1.12319,1.36872,-0.0052195,-0.013545,-0.709752,0.00277427,-0.00149634,-0.00866816,1655493213
0.0757329,-0.276222,0.0956928,0.079893,-0.277885,0.0876894,-0.936243,-1.12319,1.36872,-0.00502427,-0.0134973,-0.709694,0.00416007,-0.00166345,-0.00800333,1655493214
0.0749503,-0.27764,0.094924,0.079747,-0.277967,0.0874571,-0.936246,-1.12318,1.36872,-0.0050331,-0.0132437,-0.709742,0.00479674,-0.000326753,-0.00746693,1655493214
0.0745432,-0.277549,0.0956116,0.0798898,-0.277912,0.0876973,-0.936258,-1.12319,1.36874,-0.00495788,-0.0131055,-0.709688,0.00534667,-0.000362575,-0.00791427,1655493214
0.075338,-0.275438,0.0964939,0.0799483,-0.277914,0.0877115,-0.936256,-1.12319,1.36875,-0.00512222,-0.0135868,-0.709885,0.00461034,-0.00247636,-0.00878238,1655493215
0.0719384,-0.278586,0.0939138,0.0797692,-0.277808,0.087362,-0.936251,-1.12319,1.36871,-0.00486259,-0.013285,-0.709936,0.00783081,0.000777423,-0.00655182,1655493215
0.0754364,-0.275556,0.0967872,0.0798666,-0.277847,0.0873311,-0.936202,-1.12319,1.36873,-0.00496504,-0.0136663,-0.709837,0.00443026,-0.00229114,-0.0094561,1655493215
0.0759919,-0.275453,0.0991641,0.0797756,-0.278029,0.0878467,-0.93623,-1.1232,1.36872,-0.00505078,-0.0136606,-0.709904,0.00378367,-0.00257584,-0.0113174,1655493216
0.0739582,-0.277077,0.0986673,0.0798228,-0.277817,0.0873652,-0.936264,-1.1232,1.36872,-0.00496397,-0.0132263,-0.709834,0.00586464,-0.000739276,-0.0113021,1655493216
0.075963,-0.275951,0.0974111,0.079905,-0.277918,0.087672,-0.93626,-1.12322,1.36872,-0.0048856,-0.0135323,-0.709668,0.00394204,-0.00196713,-0.00973905,1655493216
0.0761438,-0.277238,0.0975753,0.0798287,-0.277832,0.0873244,-0.936239,-1.12323,1.36874,-0.00461516,-0.0136429,-0.709689,0.00368492,-0.000594109,-0.0102509,1655493217
0.0753646,-0.277179,0.0974427,0.0797659,-0.27779,0.0873744,-0.936251,-1.12319,1.36874,-0.00490616,-0.0135986,-0.709816,0.00440136,-0.000611842,-0.0100682,1655493217
0.0736547,-0.277695,0.0977483,0.0797846,-0.277776,0.0873301,-0.936259,-1.1232,1.36877,-0.00497234,-0.0136235,-0.709706,0.00612991,-8.12113e-05,-0.0104181,1655493218
0.0736165,-0.278161,0.100522,0.0798596,-0.277814,0.0873093,-0.936237,-1.1232,1.36872,-0.00500626,-0.0133974,-0.709948,0.00624312,0.000347108,-0.0132127,1655493218
