vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,1.36246,0.698283,1.46067,-0.351806,-0.422197,1.31445,-0.005439,0.0174782,-0.00832098,1.36246,0.698283,1.46067,-1.71427,-1.12048,-0.14622,1656958987
0,0,0,1.36254,0.698358,1.46068,-0.348375,-0.421457,1.34626,0.00526775,0.0133949,0.000445249,1.36254,0.698358,1.46068,-1.71092,-1.11981,-0.114417,1656958988
0,0,0,1.36284,0.698292,1.46058,-0.343588,-0.422256,1.37397,0.0119435,0.00340625,0.0087483,1.36284,0.698292,1.46058,-1.70643,-1.12055,-0.0866097,1656958988
0,0,0,1.36264,0.698392,1.46066,-0.336527,-0.421692,1.41205,0.00992965,0.0019126,0.0100325,1.36264,0.698392,1.46066,-1.69916,-1.12008,-0.0486164,1656958988
0,0,0,1.36256,0.698361,1.46066,-0.329031,-0.422952,1.44068,0.00111482,0.0101391,0.00814494,1.36256,0.698361,1.46066,-1.69159,-1.12131,-0.0199797,1656958988
0,0,0,1.36362,0.699232,1.4603,-0.324809,-0.425676,1.45296,0.0179167,-7.02781e-05,0.0127619,1.36362,0.699232,1.4603,-1.68843,-1.12491,-0.00733745,1656958989
0,0,0,1.3625,0.698287,1.46069,-0.319969,-0.428475,1.46233,0.00117718,0.0106682,0.0032194,1.3625,0.698287,1.46069,-1.68247,-1.12676,0.00163949,1656958989
0,0,0,1.36252,0.698302,1.46069,-0.317503,-0.43175,1.46891,0.0122577,0.00417576,0.011839,1.36252,0.698302,1.46069,-1.68002,-1.13005,0.00822675,1656958989
0,0,0,1.36256,0.698367,1.46066,-0.315089,-0.43358,1.47269,0.0148455,0.00127616,0.0129627,1.36256,0.698367,1.46066,-1.67765,-1.13195,0.0120388,1656958989
0,0,0,1.36243,0.698309,1.4607,-0.313042,-0.432594,1.46555,-0.00766558,0.0311162,-0.0192489,1.36243,0.698309,1.4607,-1.67547,-1.1309,0.00484931,1656958990
0,0,0,1.36369,0.699281,1.46027,-0.310148,-0.435008,1.45428,0.0278616,0.0382562,0.00413963,1.36369,0.699281,1.46027,-1.67384,-1.13429,-0.00598919,1656958990
0,0,0,1.36252,0.698297,1.46071,-0.295123,-0.4299,1.44413,0.0270054,0.0184637,0.00582268,1.36252,0.698297,1.46071,-1.65764,-1.1282,-0.0165834,1656958990
0,0,0,1.36245,0.698299,1.46069,-0.269706,-0.421724,1.43681,0.0214365,0.0146637,0.00147562,1.36245,0.698299,1.46069,-1.63216,-1.12002,-0.0238826,1656958990
0,0,0,1.36251,0.698289,1.46066,-0.247309,-0.413161,1.4319,0.0216965,0.00139128,0.0037939,1.36251,0.698289,1.46066,-1.60982,-1.11145,-0.0287679,1656958990
0,0,0,1.36247,0.698314,1.46067,-0.224407,-0.403719,1.42882,0.0146166,0.000515918,-0.00183569,1.36247,0.698314,1.46067,-1.58688,-1.10203,-0.0318497,1656958991
0,0,0,1.36247,0.698338,1.46065,-0.20433,-0.395308,1.42616,0.0140766,0.000335572,-0.0029104,1.36247,0.698338,1.46065,-1.5668,-1.09365,-0.034492,1656958991
0,0,0,1.36243,0.698279,1.46072,-0.183353,-0.386142,1.41831,0.00766236,0.00899144,-0.0110211,1.36243,0.698279,1.46072,-1.54578,-1.08442,-0.0424018,1656958991
0,0,0,1.36354,0.698851,1.46032,-0.141,-0.368261,1.4086,0.00463333,0.0055123,-0.0110228,1.36354,0.698851,1.46032,-1.50454,-1.06711,-0.05172,1656958992
0,0,0,1.36248,0.698349,1.46074,-0.0982683,-0.350268,1.40374,-0.00647601,0.00861349,-0.0244733,1.36248,0.698349,1.46074,-1.46075,-1.04862,-0.0569999,1656958992
0,0,0,1.36334,0.699284,1.4604,-0.083219,-0.342955,1.40266,-0.00472528,0.00507134,-0.0158671,1.36334,0.699284,1.4604,-1.44656,-1.04224,-0.0577363,1656958992
0,0,0,1.36248,0.698289,1.46074,-0.0678751,-0.339386,1.40361,0.0044254,-0.00889226,-0.0168616,1.36248,0.698289,1.46074,-1.43035,-1.03768,-0.0571263,1656958992
0,0,0,1.3629,0.698368,1.46056,-0.0580475,-0.332334,1.39936,0.108242,-0.0866946,-0.00588644,1.3629,0.698368,1.46056,-1.42095,-1.0307,-0.0611995,1656958992
0,0,0,1.36254,0.698285,1.46071,-0.104486,-0.263189,1.46607,0.149651,-0.122349,0.0118428,1.36254,0.698285,1.46071,-1.46702,-0.961474,0.0053612,1656958993
0,0,0,1.36256,0.698311,1.4607,-0.18067,-0.171016,1.51471,0.083516,-0.0516757,0.00291875,1.36256,0.698311,1.4607,-1.54323,-0.869326,0.0540081,1656958993
0,0,0,1.36241,0.698295,1.46072,-0.339947,0.021517,1.58122,0.0213646,-0.01081,0.000604952,1.36241,0.698295,1.46072,-1.70236,-0.676778,0.120493,1656958993
0,0,0,1.36254,0.698351,1.46071,-0.477131,0.184183,1.62414,-0.00728308,0.0199441,-0.00046015,1.36254,0.698351,1.46071,-1.83967,-0.514168,0.163434,1656958993
0,0,0,1.36246,0.69828,1.46072,-0.604703,0.335117,1.65718,-0.0186924,0.0341542,-0.00369648,1.36246,0.69828,1.46072,-1.96716,-0.363162,0.196463,1656958994
0,0,0,1.36366,0.699306,1.46031,-0.75309,0.509086,1.68944,-0.0269712,0.0465744,-0.00933298,1.36366,0.699306,1.46031,-2.11675,-0.19022,0.229133,1656958994
0,0,0,1.36279,0.698295,1.46062,-0.867998,0.64358,1.70813,-0.0199022,0.0448396,-0.0047374,1.36279,0.698295,1.46062,-2.23079,-0.0547153,0.247512,1656958994
0,0,0,1.36354,0.69883,1.46038,-0.922534,0.707573,1.71464,-0.021044,0.0439611,-0.00493931,1.36354,0.69883,1.46038,-2.28607,0.00874281,0.254265,1656958995
0,0,0,1.36246,0.698288,1.46074,-0.975673,0.769857,1.71971,-0.0188728,0.0407823,-0.000483247,1.36246,0.698288,1.46074,-2.33813,0.0715684,0.258967,1656958995
0,0,0,1.36357,0.698859,1.4603,-1.00677,0.81023,1.72021,-0.00947847,0.0321636,-0.00307741,1.36357,0.698859,1.4603,-2.37034,0.111372,0.259908,1656958995
0,0,0,1.3625,0.698323,1.4607,-1.00887,0.815621,1.71963,-0.00246932,0.0241421,-0.00403844,1.3625,0.698323,1.4607,-2.37137,0.117298,0.258924,1656958996
0,0,0,1.36351,0.698892,1.46036,-1.00486,0.813276,1.71885,-0.0113568,0.0224769,-0.00354459,1.36351,0.698892,1.46036,-2.36837,0.114384,0.2585,1656958996
0,0,0,1.36251,0.698281,1.46072,-0.998016,0.807486,1.71925,-0.00251029,0.021008,0.00229483,1.36251,0.698281,1.46072,-2.36053,0.109206,0.258529,1656958996
0,0,0,1.36254,0.698291,1.4607,-0.987652,0.798084,1.72041,0.010761,0.0179443,0.00136737,1.36254,0.698291,1.4607,-2.35019,0.0997927,0.259708,1656958996
0,0,0,1.36245,0.698304,1.46068,-0.971117,0.781558,1.72215,0.00809877,0.00762757,0.000278438,1.36245,0.698304,1.46068,-2.33357,0.0832536,0.261471,1656958997
0,0,0,1.36256,0.698352,1.46068,-0.958317,0.767414,1.72539,0.0170763,0.00638354,0.00278689,1.36256,0.698352,1.46068,-2.32087,0.0690616,0.264711,1656958997
0,0,0,1.36243,0.69831,1.46074,-0.949289,0.755794,1.72863,0.0102121,0.00740781,-0.000930266,1.36243,0.69831,1.46074,-2.31172,0.0574834,0.267893,1656958997
0,0,0,1.36252,0.69831,1.4607,-0.943428,0.748308,1.73107,0.0140288,0.0131982,-0.00606866,1.36252,0.69831,1.4607,-2.30595,0.0499986,0.270374,1656958997
0,0,0,1.36244,0.698299,1.46073,-0.939947,0.74251,1.73355,0.0144974,0.00579105,-0.00321272,1.36244,0.698299,1.46073,-2.30239,0.044211,0.272818,1656958997
0,0,0,1.36245,0.698285,1.46072,-0.938645,0.737557,1.73544,0.00668582,0.00452851,-0.00405968,1.36245,0.698285,1.46072,-2.30109,0.0392727,0.274723,1656958998
0,0,0,1.3635,0.698869,1.46029,-0.940037,0.735515,1.73683,0.0109068,0.014282,-0.00615801,1.3635,0.698869,1.46029,-2.30354,0.0366458,0.27654,1656958998
