vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0.0014788,0.729262,0.30951,0.141404,0.736819,0.33066,-1.25,0.282579,1.12718,-0.0154988,0.0226312,-0.0199922,0.139925,0.00755686,0.0211504,-1.3914,-0.45424,0.796516,1656955943
-0.0333017,0.797991,0.310639,0.14185,0.736471,0.330707,-1.46391,0.462547,1.11146,-0.0209412,0.040642,0.0128691,0.175152,-0.0615193,0.0200678,-1.60576,-0.273924,0.780757,1656955943
0.00457868,0.784906,0.325298,0.142107,0.736625,0.330615,-1.58338,0.560849,1.10409,-0.0195152,0.0504021,0.0223308,0.137528,-0.0482813,0.00531715,-1.72549,-0.175776,0.773473,1656955943
0.0666336,0.750744,0.322208,0.141969,0.736485,0.330655,-1.72336,0.678365,1.09694,-0.0132309,0.0440123,0.0204692,0.0753352,-0.014259,0.00844675,-1.86533,-0.0581206,0.766289,1656955944
0.0856486,0.742841,0.335686,0.141711,0.736874,0.330549,-1.76229,0.713522,1.09495,-0.0125964,0.0441435,0.0178505,0.056062,-0.00596714,-0.00513709,-1.904,-0.0233521,0.764401,1656955944
0.114912,0.727081,0.331917,0.142243,0.736528,0.330519,-1.79455,0.752779,1.08622,-0.00241532,0.0304075,0.0122814,0.0273305,0.00944716,-0.00139815,-1.9368,0.0162507,0.755706,1656955945
0.128419,0.711268,0.32694,0.142053,0.736553,0.330525,-1.77865,0.763122,1.08094,-0.00375809,0.0200145,0.0165413,0.0136342,0.0252848,0.00358501,-1.9207,0.0265687,0.750412,1656955945
0.15457,0.705834,0.329151,0.142462,0.736686,0.330497,-1.74837,0.75796,1.07877,0.00821113,0.0106894,0.0135125,-0.0121086,0.0308521,0.0013465,-1.89083,0.0212744,0.748268,1656955946
0.120267,0.718118,0.314875,0.142054,0.736468,0.330705,-1.7337,0.755414,1.07865,0.010095,0.0162271,0.0127603,0.0217865,0.0183505,0.0158299,-1.87575,0.0189461,0.747941,1656955946
0.0771856,0.738503,0.323172,0.142171,0.736545,0.330523,-1.71517,0.753411,1.07749,0.0113605,0.00721386,0.00977157,0.0649849,-0.00195783,0.00735134,-1.85734,0.0168658,0.746971,1656955946
0.0899098,0.737727,0.324245,0.142379,0.736654,0.330728,-1.70079,0.753721,1.07844,0.0126966,0.0090056,0.00721177,0.0524695,-0.0010727,0.00648224,-1.84317,0.0170669,0.747709,1656955946
0.10619,0.730778,0.326268,0.142183,0.736551,0.330505,-1.68996,0.755487,1.07823,0.00634101,0.00864492,0.00417571,0.0359939,0.00577337,0.00423607,-1.83215,0.0189358,0.74773,1656955947
0.117995,0.723283,0.326672,0.141786,0.736473,0.330603,-1.68144,0.75587,1.07847,0.00836792,0.0137602,0.00507131,0.0237913,0.0131901,0.00393102,-1.82322,0.019397,0.747871,1656955947
0.123992,0.71933,0.328018,0.142128,0.7366,0.330543,-1.67416,0.75557,1.07656,0.0100249,0.00770785,0.00236792,0.0181369,0.0172704,0.00252521,-1.81629,0.0189699,0.74602,1656955947
0.126671,0.716419,0.327153,0.142031,0.736569,0.330545,-1.66979,0.755422,1.07649,0.0046042,0.0116447,0.00455121,0.0153596,0.0201505,0.0033915,-1.81182,0.0188528,0.745949,1656955947
0.127655,0.714595,0.327821,0.142386,0.736551,0.330613,-1.66549,0.752431,1.07865,0.00615191,0.0055499,0.00242224,0.0147314,0.0219557,0.00279212,-1.80787,0.0158796,0.748041,1656955948
0.125977,0.714774,0.327024,0.142223,0.736667,0.330501,-1.66879,0.73892,1.07804,0.0113338,0.0131265,0.00611295,0.0162462,0.0218925,0.0034771,-1.81101,0.00225353,0.747543,1656955948
0.122096,0.714888,0.326589,0.141837,0.736405,0.330744,-1.6712,0.734988,1.07768,0.0161237,0.0107705,0.00893847,0.0197413,0.0215175,0.00415567,-1.81304,-0.00141686,0.746939,1656955949
0.120694,0.713771,0.329038,0.142677,0.736744,0.330551,-1.67422,0.732965,1.07785,0.0128513,0.0122435,0.00992978,0.0219822,0.0229729,0.00151315,-1.8169,-0.0037787,0.747299,1656955949
0.118543,0.713091,0.328787,0.141901,0.736499,0.330554,-1.67797,0.730983,1.07761,0.014092,0.0144818,0.00682555,0.0233578,0.0234078,0.00176656,-1.81988,-0.00551635,0.747055,1656955949
0.116818,0.712567,0.329131,0.142082,0.736529,0.330517,-1.6825,0.729497,1.07821,0.00621509,0.00714907,0.00562807,0.0252637,0.0239616,0.00138617,-1.82458,-0.00703138,0.747689,1656955949
0.114589,0.711077,0.328658,0.142053,0.736538,0.330509,-1.68768,0.727182,1.07734,0.010826,0.0074583,0.00516155,0.0274644,0.025461,0.00185138,-1.82974,-0.00935572,0.746835,1656955950
0.113876,0.711411,0.328097,0.141552,0.736818,0.330599,-1.69602,0.72276,1.07587,0.0105488,0.0101814,0.00183135,0.0276759,0.0254061,0.00250211,-1.83757,-0.0140572,0.745275,1656955950
