vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
1.45974,0.764469,0.323736,1.48394,0.78793,0.316846,-0.640103,0.857776,1.06311,0.00543489,0.00825085,-7.35926e-05,0.0242038,0.0234609,-0.00688958,-2.12405,0.069846,0.746259,1656956784
1.47324,0.744597,0.342965,1.48302,0.785944,0.317915,-0.640165,0.801742,1.06275,0.0100403,0.00789064,-0.00480218,0.00978065,0.041347,-0.0250498,-2.12319,0.0157982,0.744832,1656956786
1.48332,0.762502,0.3158,1.48277,0.785747,0.317811,-0.42476,0.806616,1.06636,0.00712244,-0.000927933,-0.0100526,-0.000550866,0.0232456,0.00201142,-1.90753,0.0208689,0.748547,1656956797
1.46533,0.748845,0.362299,1.48398,0.788374,0.316878,-0.385448,0.781694,1.06763,0.0159556,-0.000362176,-0.00202226,0.0186496,0.0395291,-0.0454202,-1.86943,-0.00667995,0.750751,1656956797
1.45877,0.763426,0.386484,1.483,0.785828,0.317873,-0.361584,0.790996,1.07092,-0.00115382,0.00520414,0.00257135,0.0242352,0.022402,-0.0686108,-1.84459,0.00516742,0.753047,1656956799
1.46161,0.751398,0.344743,1.48396,0.788257,0.31678,-0.363673,0.787248,1.06863,0.0120445,0.00465629,-0.00185667,0.0223485,0.0368583,-0.0279626,-1.84763,-0.00100821,0.751848,1656956800
1.46486,0.75316,0.332369,1.48304,0.785807,0.31784,-0.363257,0.787182,1.06688,0.00948863,0.00704055,7.56149e-05,0.0181822,0.0326474,-0.0145293,-1.8463,0.0013749,0.749041,1656956800
1.46286,0.753072,0.328431,1.48403,0.788448,0.31686,-0.35565,0.806424,1.06303,0.000661838,0.00558442,-0.00494036,0.0211632,0.0353759,-0.0115718,-1.83968,0.0179765,0.746173,1656956801
1.46232,0.763485,0.330654,1.4829,0.785978,0.317846,-0.353351,0.809181,1.06153,0.00517936,0.0059088,-0.00737554,0.0205797,0.0224934,-0.0128082,-1.83625,0.023203,0.743681,1656956801
1.46514,0.755809,0.339785,1.48396,0.788414,0.316813,-0.352692,0.808648,1.06124,0.0102179,0.00766028,-0.00988763,0.0188245,0.0326046,-0.0229715,-1.83666,0.0202339,0.744427,1656956801
1.46526,0.754578,0.340273,1.48275,0.785729,0.317849,-0.35183,0.805636,1.06005,0.00529949,0.00560633,-0.00435041,0.0174963,0.0311508,-0.0224242,-1.83458,0.0199066,0.742204,1656956802
1.46408,0.755308,0.341742,1.48305,0.785851,0.317836,-0.350929,0.802101,1.05996,0.00675395,0.00185428,-0.000435953,0.0189724,0.0305427,-0.0239054,-1.83398,0.0162506,0.742125,1656956802
1.46188,0.755826,0.345274,1.48302,0.785888,0.317847,-0.350406,0.801673,1.06134,0.00351134,0.00374939,-0.00510272,0.0211378,0.0300612,-0.0274271,-1.83343,0.0157849,0.743489,1656956802
1.46115,0.755971,0.342218,1.48403,0.788465,0.316858,-0.360415,0.800376,1.06673,0.00420599,0.00861297,-0.0021152,0.0228829,0.0324942,-0.0253602,-1.84445,0.0119115,0.749873,1656956803
1.46087,0.756631,0.337637,1.48363,0.785757,0.317946,-0.364871,0.79965,1.06768,0.00451514,0.0126643,-0.0102461,0.0227561,0.0291259,-0.019691,-1.8485,0.0138928,0.749733,1656956804
1.46079,0.75675,0.342459,1.48286,0.786567,0.31765,-0.365385,0.797132,1.06966,0.00658893,0.00287563,-0.00706026,0.0220691,0.029817,-0.0248093,-1.84824,0.0105647,0.752007,1656956804
1.4606,0.756803,0.341857,1.48315,0.785878,0.317892,-0.364235,0.794247,1.06763,0.00131003,0.00929226,0.0043855,0.0225517,0.0290745,-0.0239643,-1.84738,0.00836867,0.74974,1656956805
1.46079,0.756146,0.343348,1.4831,0.785816,0.317847,-0.360902,0.792622,1.06543,0.00364837,0.00361137,0.00765789,0.0223116,0.0296701,-0.0255005,-1.844,0.00680566,0.747585,1656956805
1.46034,0.75485,0.343474,1.48312,0.78588,0.317943,-0.358846,0.789295,1.06416,0.0127108,0.00535579,0.00286008,0.022783,0.0310295,-0.0255315,-1.84196,0.00341594,0.746216,1656956805
1.46032,0.754153,0.344047,1.48318,0.785859,0.317923,-0.360214,0.789073,1.06289,0.00824668,0.00470424,0.00993507,0.0228562,0.0317059,-0.0261234,-1.84339,0.00321364,0.744969,1656956805
1.45987,0.75402,0.344248,1.48308,0.785811,0.31781,-0.361562,0.789306,1.06302,0.00344296,0.00662786,0.0095427,0.0232116,0.0317907,-0.0264381,-1.84464,0.00349444,0.745209,1656956806
1.45964,0.753307,0.34199,1.48315,0.78587,0.317871,-0.363318,0.78893,1.06268,0.00464927,0.00486421,0.00913101,0.023508,0.0325624,-0.0241189,-1.84646,0.00306052,0.74481,1656956806
1.45872,0.751077,0.339754,1.48395,0.788373,0.316665,-0.367128,0.787407,1.06116,0.00718922,0.00599404,0.00799467,0.0252306,0.0372956,-0.0230892,-1.85108,-0.000965595,0.744497,1656956806
1.45871,0.751016,0.340107,1.48304,0.785797,0.317863,-0.370511,0.785624,1.06076,0.0058276,0.00531262,0.00768103,0.0243323,0.0347807,-0.0222436,-1.85355,-0.000173092,0.742894,1656956806
