vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656866808
0,0,0,0.838952,0.585474,0.316432,-1.53132,-0.0376371,0.232083,-0.0176492,0.0499662,-0.0721541,0.838952,0.585474,0.316432,-2.37028,-0.623111,-0.0843487,1656866840
0,0,0,0.83901,0.585367,0.316332,-1.53126,-0.0371982,0.231773,-0.0241362,0.0479602,-0.0727946,0.83901,0.585367,0.316332,-2.37027,-0.622565,-0.0845591,1656866841
0,0,0,0.839055,0.585351,0.316345,-1.53132,-0.0374352,0.23189,-0.0206689,0.0498468,-0.0731664,0.839055,0.585351,0.316345,-2.37038,-0.622786,-0.0844549,1656866841
0,0,0,0.838567,0.585324,0.316456,-1.53135,-0.0376162,0.232076,-0.0182016,0.0501252,-0.0724188,0.838567,0.585324,0.316456,-2.36992,-0.622941,-0.0843798,1656866841
0,0,0,0.838995,0.585352,0.316354,-1.53131,-0.0376122,0.232034,-0.0185404,0.0501908,-0.0724883,0.838995,0.585352,0.316354,-2.37031,-0.622964,-0.0843198,1656866841
0,0,0,0.838895,0.585447,0.316217,-1.53114,-0.037194,0.231713,-0.0235722,0.046465,-0.0739627,0.838895,0.585447,0.316217,-2.37004,-0.622641,-0.0845044,1656866841
0,0,0,0.839103,0.585316,0.316324,-1.53135,-0.0375882,0.232053,-0.0179117,0.0500364,-0.0725579,0.839103,0.585316,0.316324,-2.37045,-0.622904,-0.0842711,1656866841
0,0,0,0.838568,0.585203,0.31637,-1.53132,-0.0376302,0.232047,-0.0177594,0.0502065,-0.0723824,0.838568,0.585203,0.31637,-2.36989,-0.622833,-0.0843229,1656866841
0,0,0,0.838841,0.585428,0.316222,-1.53136,-0.0375898,0.232066,-0.0183284,0.0501229,-0.0722965,0.838841,0.585428,0.316222,-2.3702,-0.623017,-0.0841558,1656866842
