vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
-0.0725392,1.0232,0.235838,0.143175,0.734997,0.329004,-0.794405,0.873669,1.15681,-0.0143584,0.0187837,-0.00389063,0.215715,-0.2882,0.0931662,-0.93758,0.138672,0.827811,1656949353
-0.0691455,1.03215,0.248459,0.142995,0.735004,0.32862,-1.06263,1.29955,1.13149,-0.0455137,0.0540656,-0.00563964,0.212141,-0.297151,0.080161,-1.20562,0.564549,0.802872,1656949354
-0.15466,1.2078,0.199008,0.143258,0.734531,0.328635,-1.36941,1.79953,1.1011,-0.0676748,0.0639376,-0.00521006,0.297918,-0.473269,0.129626,-1.51267,1.065,0.772465,1656949354
0.0283411,0.94833,0.195355,0.143112,0.734343,0.328815,-1.5131,2.04339,1.08522,-0.0690197,0.0683407,-0.0062664,0.114771,-0.213987,0.13346,-1.65622,1.30905,0.756405,1656949354
0.183423,0.696893,0.217253,0.142826,0.734794,0.328764,-1.67148,2.011,1.07304,0.0185197,0.0163694,-0.00366443,-0.0405968,0.0379012,0.111512,-1.8143,1.27621,0.744271,1656949363
0.176331,0.695439,0.238707,0.143181,0.734087,0.328582,-1.67274,1.93588,1.07203,0.0212307,0.0105863,-0.00277804,-0.0331495,0.0386484,0.089875,-1.81593,1.20179,0.743444,1656949364
0.176311,0.719784,0.256044,0.14297,0.734959,0.328435,-1.6738,1.8873,1.07254,0.0244824,0.0134383,-0.00512804,-0.0333409,0.015175,0.0723909,-1.81677,1.15234,0.744106,1656949364
0.167733,0.727471,0.224134,0.142351,0.734959,0.328664,-1.67485,1.84604,1.07349,0.0229201,0.0178706,-0.00538183,-0.0253817,0.00748885,0.10453,-1.8172,1.11108,0.744821,1656949364
0.163194,0.739828,0.257646,0.142283,0.7349,0.32848,-1.67533,1.81191,1.07393,0.0184317,0.0070842,-0.0049808,-0.0209114,-0.00492775,0.0708345,-1.81761,1.07701,0.745445,1656949364
0.076246,0.853864,0.230458,0.143058,0.734636,0.328576,-1.67715,1.78472,1.07393,0.0181629,0.00809887,-0.00435333,0.0668117,-0.119228,0.0981181,-1.82021,1.05008,0.745354,1656949365
0.100339,0.827324,0.230096,0.143048,0.735156,0.328778,-1.68121,1.76091,1.07455,0.0171722,0.0122987,-0.0044403,0.0427086,-0.0921682,0.0986826,-1.82426,1.02575,0.745772,1656949365
0.123877,0.800867,0.231292,0.142985,0.734977,0.328646,-1.6702,1.77194,1.07528,0.0116026,0.00848253,-0.000616609,0.0191079,-0.06589,0.0973536,-1.81318,1.03696,0.746636,1656949367
0.15589,0.758053,0.235321,0.14369,0.735348,0.328373,-1.66232,1.80611,1.07363,0.00481338,0.0155871,0.00149846,-0.0121993,-0.022705,0.0930516,-1.80601,1.07076,0.745256,1656949368
0.170629,0.740761,0.239325,0.14242,0.734503,0.328655,-1.65731,1.81118,1.0717,0.0063476,0.0116149,-0.0019758,-0.0282097,-0.00625777,0.0893303,-1.79973,1.07668,0.743047,1656949368
0.169582,0.748055,0.242301,0.143679,0.735299,0.328353,-1.65399,1.81459,1.07073,0.00879832,0.0052702,-0.000917973,-0.0259029,-0.012756,0.0860517,-1.79767,1.07929,0.742373,1656949368
0.167904,0.75615,0.242352,0.142545,0.734892,0.328816,-1.65185,1.81956,1.06879,0.00761693,0.00842281,-0.000926141,-0.0253587,-0.0212576,0.0864636,-1.79439,1.08467,0.739975,1656949369
0.166772,0.762401,0.241462,0.143046,0.735033,0.328623,-1.64957,1.82936,1.06822,0.0052769,0.00865886,-0.0026454,-0.0237257,-0.0273679,0.0871608,-1.79262,1.09433,0.739597,1656949369
0.167154,0.767201,0.241675,0.142978,0.735093,0.328651,-1.64737,1.83759,1.06869,-0.00160514,0.00652573,-0.00644985,-0.0241765,-0.0321073,0.0869759,-1.79035,1.1025,0.740038,1656949369
0.168264,0.769741,0.238247,0.143578,0.734558,0.328409,-1.64645,1.83785,1.06886,-0.00083251,0.00808314,-0.00714666,-0.0246862,-0.035183,0.0901624,-1.79003,1.10329,0.740448,1656949370
0.169234,0.771539,0.237438,0.143032,0.734968,0.328641,-1.64532,1.83432,1.06806,-8.73027e-05,0.00951222,-0.00547852,-0.026202,-0.0365705,0.091203,-1.78835,1.09935,0.739415,1656949370
0.169513,0.771079,0.237996,0.142985,0.734747,0.328825,-1.64458,1.82694,1.06662,0.00661623,0.00646441,-0.00381309,-0.0265275,-0.0363324,0.0908289,-1.78756,1.09219,0.737793,1656949370
0.168961,0.770869,0.235135,0.143641,0.73528,0.32834,-1.64494,1.82073,1.06704,0.00541087,0.0132423,-0.00478288,-0.0253203,-0.0355889,0.0932057,-1.78859,1.08545,0.738698,1656949370
0.168103,0.769274,0.239138,0.143091,0.735035,0.328491,-1.64312,1.81508,1.06831,0.00720072,0.00399253,0.00131064,-0.025012,-0.0342391,0.0893535,-1.78621,1.08005,0.739815,1656949370
0.165729,0.76816,0.241363,0.143056,0.734885,0.328599,-1.64232,1.81179,1.06886,0.00930507,0.00866636,0.00210355,-0.0226728,-0.0332748,0.0872355,-1.78538,1.07691,0.740265,1656949371
0.165628,0.767901,0.24047,0.143043,0.73498,0.328612,-1.64173,1.81046,1.07144,0.0121852,0.00408736,-0.00124873,-0.0225848,-0.0329217,0.0881424,-1.78477,1.07548,0.742825,1656949371
0.16613,0.768321,0.240377,0.142955,0.734751,0.328839,-1.64347,1.81049,1.07253,0.00413232,0.00915258,-0.00718249,-0.0231757,-0.0335703,0.0884614,-1.78642,1.07574,0.743688,1656949371
0.166079,0.766113,0.238701,0.142401,0.735023,0.328779,-1.64757,1.80866,1.07461,0.0136524,0.0107075,-0.00827152,-0.0236786,-0.03109,0.090078,-1.78997,1.07364,0.745831,1656949372
0.164865,0.764895,0.241659,0.142943,0.734588,0.32854,-1.65298,1.80866,1.07697,0.0117357,0.0136666,-0.00608336,-0.0219217,-0.0303077,0.0868818,-1.79593,1.07407,0.748425,1656949372
0.162816,0.765993,0.247671,0.142513,0.734867,0.328794,-1.65837,1.80957,1.07646,0.0105339,0.00270213,-0.00670838,-0.0203027,-0.0311263,0.0811229,-1.80088,1.0747,0.747666,1656949372
0.160781,0.771625,0.241227,0.143035,0.734718,0.328804,-1.66721,1.80957,1.07675,-0.0564094,0.0174229,-0.00476683,-0.0177458,-0.0369073,0.0875774,-1.81025,1.07485,0.747947,1656949373
0.158692,0.766741,0.248757,0.142497,0.734853,0.328742,-1.67133,1.77191,1.0775,-0.0379921,0.0191215,-0.00427545,-0.0161951,-0.0318887,0.0799858,-1.81383,1.03706,0.74876,1656949373
0.158509,0.758003,0.256958,0.143055,0.734905,0.328619,-1.67186,1.69357,1.07545,-0.00621167,0.010376,-0.00102463,-0.0154541,-0.0230986,0.0716614,-1.81492,0.958663,0.746829,1656949373
0.157112,0.753672,0.258014,0.143047,0.73499,0.328624,-1.6626,1.47933,1.07605,0.0170483,0.010852,0.00442561,-0.0140657,-0.0186815,0.0706105,-1.80565,0.74434,0.747422,1656949374
0.157416,0.752175,0.261011,0.143047,0.734974,0.328586,-1.65154,1.37949,1.07681,0.00881019,0.0094195,0.00296131,-0.0143683,-0.0172006,0.0675749,-1.79459,0.644519,0.748227,1656949374
0.155081,0.748271,0.267907,0.14304,0.73489,0.328619,-1.64511,1.33289,1.07736,0.0270758,0.00648874,0.00765322,-0.0120402,-0.0133809,0.0607122,-1.78815,0.597996,0.748738,1656949375
0.152158,0.745424,0.273794,0.143005,0.735024,0.328595,-1.64346,1.29008,1.0787,0.0239411,0.00879602,0.00551456,-0.00915278,-0.0104005,0.0548019,-1.78647,0.555057,0.750107,1656949375
0.149255,0.745733,0.28008,0.143022,0.73503,0.328624,-1.64672,1.27044,1.07871,0.0212618,0.00931691,0.0054665,-0.0062329,-0.0107034,0.0485443,-1.78974,0.535409,0.750082,1656949375
0.145874,0.747076,0.28323,0.143038,0.734951,0.328637,-1.66215,1.25757,1.07892,0.0175116,0.015817,0.0047751,-0.00283583,-0.0121248,0.0454077,-1.80519,0.522622,0.750283,1656949376
0.143074,0.746058,0.284893,0.142609,0.734823,0.328713,-1.67573,1.25581,1.08062,0.0214328,0.0191012,0.00941486,-0.00046435,-0.0112352,0.0438196,-1.81834,0.520983,0.751906,1656949376
0.14091,0.744163,0.295826,0.143077,0.734981,0.328632,-1.69228,1.27116,1.07787,0.0127495,0.0304419,0.00316924,0.00216731,-0.00918174,0.0328057,-1.83536,0.536175,0.749237,1656949377
0.140521,0.753333,0.294904,0.143013,0.735027,0.328628,-1.69061,1.2791,1.0765,0.00680077,0.0213236,0.0013787,0.00249155,-0.0183066,0.033724,-1.83362,0.544077,0.747876,1656949377
0.139664,0.763795,0.294184,0.143614,0.73539,0.328378,-1.68526,1.28357,1.0762,0.0124285,0.0154196,-0.000390479,0.00394957,-0.0284058,0.0341941,-1.82888,0.548177,0.747825,1656949377
0.139305,0.770101,0.294527,0.142973,0.735118,0.328654,-1.68066,1.29062,1.07474,0.0123901,0.00898003,-0.00579445,0.00366756,-0.034983,0.0341272,-1.82363,0.5555,0.746088,1656949378
0.138005,0.773372,0.293968,0.143645,0.735248,0.328316,-1.68175,1.29486,1.07537,0.011938,0.0202789,-0.0105939,0.00564067,-0.0381231,0.0343477,-1.8254,0.559614,0.747054,1656949378
0.137666,0.77957,0.291948,0.142921,0.735074,0.328652,-1.68254,1.29713,1.07555,0.0073972,0.0185641,-0.015361,0.00525492,-0.0444965,0.0367035,-1.82546,0.562061,0.746896,1656949378
0.137525,0.783331,0.29167,0.143013,0.734964,0.328609,-1.68191,1.29864,1.07618,0.00730312,0.0211281,-0.0157475,0.00548817,-0.0483668,0.0369394,-1.82493,0.563674,0.747567,1656949379
0.138449,0.78519,0.291324,0.143046,0.734959,0.3286,-1.6804,1.29881,1.0765,0.0102272,0.0200885,-0.0141656,0.00459737,-0.050231,0.0372761,-1.82344,0.563851,0.747903,1656949379
0.139967,0.785364,0.290221,0.143034,0.734985,0.328666,-1.67834,1.29703,1.07678,0.00829711,0.0200337,-0.0135133,0.00306731,-0.0503785,0.0384454,-1.82137,0.562045,0.748114,1656949379
0.141011,0.785386,0.290494,0.142962,0.735073,0.328611,-1.67757,1.29211,1.07624,0.0118684,0.0110215,-0.00778009,0.00195074,-0.0503131,0.0381167,-1.82053,0.557039,0.747631,1656949379
0.141593,0.781078,0.292552,0.142935,0.735082,0.328618,-1.67786,1.28546,1.07499,0.0148167,0.0184062,-0.00424937,0.00134143,-0.0459961,0.0360656,-1.82079,0.550376,0.746372,1656949379
0.14125,0.778169,0.292172,0.143668,0.735193,0.328312,-1.67539,1.26893,1.07504,0.0194522,0.0151741,-0.00155956,0.00241737,-0.0429766,0.0361403,-1.81906,0.533737,0.746731,1656949380
0.140528,0.775949,0.291655,0.143598,0.735405,0.328348,-1.67413,1.26103,1.0752,0.0218685,0.011072,0.00477281,0.00307079,-0.0405439,0.0366925,-1.81773,0.525622,0.746857,1656949380
0.140477,0.773759,0.290983,0.142958,0.735085,0.328671,-1.6742,1.25588,1.07545,0.0215074,0.0146773,0.00908884,0.00248057,-0.0386737,0.0376881,-1.81716,0.520798,0.746775,1656949380
0.140328,0.772609,0.29221,0.142941,0.735105,0.328624,-1.67588,1.25415,1.0752,0.0185128,0.0125014,0.00936747,0.00261313,-0.0375041,0.0364144,-1.81882,0.519049,0.746572,1656949381
0.139795,0.772326,0.291848,0.142938,0.735073,0.328632,-1.67825,1.25551,1.07529,0.0155158,0.017682,0.00316294,0.00314276,-0.0372536,0.0367846,-1.82119,0.520433,0.746653,1656949381
0.139269,0.77209,0.289816,0.142982,0.735107,0.328656,-1.67961,1.25865,1.07744,0.0147962,0.0296528,0.00427121,0.00371318,-0.0369825,0.0388404,-1.82259,0.52354,0.748779,1656949381
0.138885,0.771554,0.290707,0.143606,0.735424,0.328379,-1.68045,1.26161,1.07907,0.0170123,0.0205751,0.00808667,0.00472087,-0.0361298,0.0376718,-1.82406,0.526184,0.750688,1656949381
0.138661,0.772023,0.291352,0.143028,0.734977,0.328617,-1.68068,1.26447,1.07987,0.0137737,0.0217175,0.00988662,0.00436716,-0.0370462,0.0372656,-1.82371,0.529497,0.75125,1656949382
0.139371,0.772875,0.287701,0.143101,0.734867,0.328604,-1.68195,1.26722,1.08022,0.0161249,0.016841,0.0156515,0.00373009,-0.0380081,0.0409034,-1.82506,0.532349,0.751612,1656949382
0.139685,0.781613,0.284944,0.14304,0.735029,0.328599,-1.68748,1.26652,1.0802,-0.0706597,0.0156549,0.0101806,0.00335467,-0.0465839,0.0436547,-1.83052,0.53149,0.751601,1656949382
0.138684,0.778587,0.285014,0.142546,0.734799,0.328745,-1.69182,1.22881,1.08124,-0.0412633,0.0194476,0.00589972,0.00386216,-0.0437884,0.0437303,-1.83436,0.494012,0.752491,1656949383
0.138507,0.772682,0.284821,0.143119,0.734964,0.328613,-1.69631,1.14244,1.07949,0.00287979,0.0225632,0.00742152,0.00461183,-0.0377185,0.0437921,-1.83942,0.407473,0.750872,1656949383
0.139243,0.767256,0.286007,0.143059,0.734955,0.328592,-1.69808,1.04656,1.07689,0.0181675,0.0178064,0.00480078,0.00381647,-0.0323015,0.0425844,-1.84114,0.31161,0.748303,1656949383
0.139094,0.760693,0.285166,0.142429,0.735001,0.328782,-1.69687,0.966696,1.07483,0.0242417,0.0254389,0.00575456,0.003335,-0.0256913,0.0436163,-1.8393,0.231694,0.746051,1656949384
0.140373,0.753586,0.288599,0.143696,0.735405,0.328379,-1.68501,0.87019,1.07446,0.0273434,0.00789945,0.003297,0.00332256,-0.0181804,0.0397805,-1.82871,0.134785,0.746084,1656949384
0.142598,0.74978,0.289629,0.142997,0.735068,0.328643,-1.67667,0.827927,1.07595,0.0283626,0.0100969,0.00345669,0.000399232,-0.0147117,0.0390136,-1.81966,0.0928594,0.747308,1656949384
0.14342,0.74724,0.289001,0.14312,0.734943,0.328614,-1.6684,0.802336,1.07681,0.0282348,0.0124706,0.00384305,-0.000300407,-0.0122973,0.0396127,-1.81152,0.0673931,0.748199,1656949384
0.14451,0.745619,0.291472,0.143104,0.734978,0.328584,-1.66036,0.783986,1.07771,0.0259752,0.00568419,0.00011635,-0.001406,-0.0106406,0.0371118,-1.80346,0.0490075,0.749122,1656949385
0.145754,0.745764,0.294457,0.143142,0.734955,0.328596,-1.65354,0.773007,1.07806,0.0214115,0.00353403,-0.00351504,-0.00261205,-0.0108081,0.0341381,-1.79669,0.0380516,0.74946,1656949385
0.145414,0.739097,0.299243,0.143656,0.735399,0.328356,-1.65065,0.769203,1.07816,0.0132013,0.00604688,-0.00479772,-0.00175826,-0.00369781,0.029113,-1.79431,0.0338041,0.749801,1656949385
0.145971,0.743586,0.299854,0.143036,0.735063,0.328626,-1.64746,0.769054,1.07861,0.0196087,0.00597594,-0.00891664,-0.00293481,-0.00852376,0.0287726,-1.7905,0.0339914,0.749987,1656949385
0.145652,0.752392,0.299969,0.143069,0.734931,0.328587,-1.64674,0.772716,1.07805,0.00866875,0.00938816,-0.00881924,-0.00258338,-0.0174606,0.0286177,-1.78981,0.0377849,0.749461,1656949385
0.144768,0.758595,0.301617,0.142974,0.735072,0.328622,-1.64736,0.776086,1.07791,0.0168866,0.00637655,-0.00600889,-0.0017945,-0.0235228,0.0270054,-1.79034,0.0410138,0.749286,1656949386
0.144857,0.766591,0.303503,0.143701,0.735174,0.328316,-1.64858,0.779798,1.07675,0.00506399,0.00941299,-0.0111052,-0.00115563,-0.0314164,0.0248122,-1.79228,0.0446238,0.748435,1656949386
0.143546,0.772822,0.300776,0.143613,0.735389,0.328348,-1.65148,0.780767,1.07523,0.00435665,0.0111482,-0.00839657,6.72489e-05,-0.037433,0.0275722,-1.7951,0.0453781,0.746886,1656949386
0.142801,0.775469,0.301614,0.143036,0.734978,0.328592,-1.65473,0.779269,1.07339,0.012377,0.0111638,-0.0104527,0.000234634,-0.0404907,0.0269784,-1.79777,0.044291,0.744795,1656949386
0.141643,0.776975,0.300913,0.143155,0.734915,0.328582,-1.65747,0.776661,1.07141,0.0163564,0.0166252,-0.00736913,0.00151211,-0.0420597,0.0276687,-1.80062,0.0417457,0.742826,1656949387
0.140332,0.777468,0.300697,0.143153,0.734877,0.328559,-1.65985,0.77388,1.07043,0.0154034,0.0115756,-0.0066761,0.00282036,-0.0425918,0.0278614,-1.80301,0.0390036,0.741869,1656949387
0.138613,0.777524,0.301386,0.14311,0.734857,0.328563,-1.66319,0.772339,1.07018,0.0166076,0.00740745,-0.00532133,0.00449781,-0.0426674,0.0271769,-1.8063,0.0374823,0.741613,1656949387
0.137614,0.777213,0.300402,0.143128,0.73488,0.328569,-1.66783,0.773207,1.07106,0.0139353,0.0164439,-0.000216639,0.00551467,-0.0423328,0.0281668,-1.81096,0.0383273,0.74249,1656949387
0.136586,0.777004,0.300255,0.142945,0.735035,0.328617,-1.67144,0.775041,1.07223,0.0186809,0.0173226,-0.00139155,0.00635831,-0.0419694,0.0283625,-1.81439,0.0400067,0.743611,1656949387
0.136499,0.77737,0.299169,0.143098,0.734952,0.328582,-1.67525,0.779781,1.07388,0.0136967,0.015814,-0.00300976,0.00659943,-0.0424181,0.029413,-1.81835,0.0448288,0.745294,1656949388
0.137057,0.780411,0.297635,0.143021,0.735072,0.328631,-1.67862,0.786335,1.07444,0.00402027,0.013709,-0.00571855,0.00596404,-0.0453394,0.0309964,-1.82164,0.0512629,0.745809,1656949388
0.136238,0.780931,0.29591,0.143068,0.734963,0.328593,-1.68093,0.793398,1.07668,0.0104944,0.0214268,-0.00517178,0.00683039,-0.0459675,0.0326834,-1.824,0.0584345,0.748086,1656949388
0.135814,0.781469,0.296991,0.143101,0.73493,0.328587,-1.68125,0.800009,1.07779,0.00934461,0.0171144,-0.00473063,0.00728691,-0.0465398,0.0315959,-1.82435,0.065079,0.749202,1656949388
0.136018,0.782508,0.297684,0.143729,0.735249,0.328272,-1.68007,0.805516,1.07839,0.00678196,0.0156618,-0.00753289,0.00771171,-0.0472591,0.030588,-1.8238,0.0702667,0.750121,1656949388
0.137104,0.784859,0.298254,0.142528,0.734865,0.328709,-1.67801,0.81051,1.07827,-0.000730124,0.0172092,-0.00595288,0.00542369,-0.049994,0.030455,-1.82054,0.0756453,0.749562,1656949389
0.139317,0.786618,0.299362,0.143091,0.734941,0.328628,-1.67477,0.812645,1.07796,0.00230055,0.00528013,-0.00883259,0.00377448,-0.0516768,0.0292654,-1.81786,0.0777041,0.749334,1656949389
0.139381,0.786163,0.299249,0.142385,0.73496,0.328724,-1.67334,0.812024,1.07708,0.00480046,0.00688526,-0.00280722,0.00300418,-0.0512032,0.0294746,-1.81573,0.0770639,0.748355,1656949389
0.140413,0.785816,0.29909,0.143071,0.734918,0.32858,-1.67336,0.809659,1.0764,0.00485502,0.0107087,-0.0051518,0.00265771,-0.0508978,0.0294901,-1.81643,0.0747406,0.747825,1656949389
0.141502,0.785337,0.29702,0.143061,0.734922,0.328609,-1.67457,0.805624,1.07684,0.00934641,0.0162717,-0.00468599,0.00155881,-0.0504158,0.0315888,-1.81763,0.0707027,0.748228,1656949390
0.142063,0.783551,0.298325,0.142917,0.735054,0.32861,-1.67466,0.801333,1.07664,0.00870254,0.0152827,-0.00582657,0.000854388,-0.0484974,0.0302857,-1.81758,0.0662791,0.748031,1656949390
0.141661,0.779577,0.29887,0.142573,0.734769,0.328699,-1.67389,0.795028,1.07489,0.0149373,0.0151785,0.00315867,0.000912786,-0.0448077,0.0298291,-1.81646,0.0602587,0.746196,1656949390
0.143219,0.777411,0.302014,0.14369,0.735145,0.328264,-1.67198,0.789506,1.07408,0.0115803,0.00885638,0.00352696,0.000470504,-0.0422666,0.0262499,-1.81567,0.0543612,0.745816,1656949390
0.144113,0.776593,0.301234,0.143165,0.734867,0.328568,-1.66905,0.784402,1.07409,0.0110071,0.0145902,0.00767614,-0.000948474,-0.0417259,0.0273348,-1.81222,0.0495353,0.745521,1656949390
