vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
-0.0582763,1.002,0.196534,0.140755,0.744366,0.32856,-0.892612,1.08248,1.1673,-0.0271053,0.0349874,0.000326351,0.199031,-0.257633,0.132027,-1.03337,0.338117,0.838736,1656952503
-0.0762848,1.01829,0.1918,0.141313,0.744033,0.328541,-1.1386,1.47223,1.13987,-0.0492386,0.0628984,0.00195379,0.217598,-0.274258,0.136741,-1.27991,0.728192,0.811329,1656952503
-0.0279318,0.967592,0.199981,0.140954,0.743872,0.328709,-1.33426,1.78481,1.11656,-0.0713588,0.0694083,0.000153961,0.168886,-0.223719,0.128728,-1.47521,1.04094,0.787853,1656952504
0.0365981,0.891923,0.199071,0.140945,0.743902,0.328684,-1.47883,2.02042,1.09859,-0.0730798,0.065417,-0.00108725,0.104347,-0.14802,0.129613,-1.61978,1.27652,0.769906,1656952504
0.166397,0.636044,0.230549,0.140934,0.743865,0.328672,-1.67326,1.98815,1.07379,0.0208299,0.0185396,-0.00179664,-0.0254639,0.107821,0.0981235,-1.81419,1.24428,0.745113,1656952513
0.170099,0.642113,0.223855,0.140858,0.743862,0.3287,-1.67166,1.92615,1.07302,0.0298017,0.0188823,-0.00384327,-0.0292418,0.101749,0.104846,-1.81252,1.18229,0.744316,1656952513
0.172161,0.673299,0.219524,0.140858,0.743831,0.328651,-1.66485,1.80883,1.07378,0.0281834,0.0188571,-0.00244602,-0.0313032,0.070532,0.109127,-1.80571,1.065,0.745128,1656952514
0.170329,0.680366,0.22258,0.140824,0.743953,0.328649,-1.66017,1.78499,1.07485,0.0263222,0.0184929,-0.0032161,-0.0295048,0.063587,0.106068,-1.801,1.04104,0.746199,1656952514
0.169497,0.693345,0.227894,0.140875,0.743858,0.328654,-1.65596,1.77022,1.07398,0.0260426,0.0116863,-0.00681511,-0.0286219,0.0505131,0.10076,-1.79683,1.02636,0.745322,1656952515
0.0873908,0.7926,0.211846,0.140952,0.744186,0.32871,-1.6541,1.77083,1.07503,0.0153029,0.0208604,-0.00582545,0.0535608,-0.0484141,0.116864,-1.79505,1.02665,0.746321,1656952515
0.108676,0.764025,0.213766,0.140905,0.74385,0.328634,-1.65583,1.7789,1.07497,0.00420728,0.0142869,-3.55734e-05,0.0322286,-0.0201751,0.114868,-1.79673,1.03505,0.746335,1656952516
0.132872,0.73232,0.217391,0.140808,0.743955,0.328658,-1.65696,1.78535,1.07469,0.00592339,0.0111521,0.0046301,0.00793658,0.0116355,0.111267,-1.79777,1.0414,0.746031,1656952516
0.150826,0.706449,0.223343,0.140852,0.743956,0.328665,-1.66345,1.79047,1.07318,0.0102165,0.00995051,0.0062902,-0.00997448,0.0375071,0.105322,-1.8043,1.04652,0.744517,1656952517
0.162377,0.687966,0.229916,0.140937,0.743876,0.328651,-1.66733,1.79262,1.07219,0.0118046,0.0112061,0.0088019,-0.0214396,0.0559101,0.098735,-1.80827,1.04874,0.743539,1656952517
0.16094,0.696218,0.23022,0.140928,0.743874,0.328652,-1.67111,1.79776,1.07197,0.0142335,0.0168091,0.00284818,-0.0200122,0.0476559,0.0984316,-1.81204,1.05389,0.743319,1656952517
0.1597,0.704277,0.229227,0.140926,0.743845,0.328643,-1.67518,1.80455,1.07132,0.00983441,0.0171336,-0.00108933,-0.0187747,0.0395679,0.0994162,-1.81611,1.06071,0.742681,1656952517
0.157082,0.709395,0.231921,0.140797,0.743925,0.328676,-1.67812,1.81149,1.07177,0.00821313,0.0255872,-0.00446704,-0.0162852,0.0345296,0.0967556,-1.81892,1.06757,0.743098,1656952518
0.156172,0.712587,0.2359,0.140997,0.744238,0.32875,-1.67408,1.8199,1.07282,0.010861,0.0139125,-0.00433407,-0.0151745,0.0316507,0.0928503,-1.81508,1.07566,0.744072,1656952518
0.154208,0.714528,0.234425,0.140781,0.744285,0.328711,-1.67323,1.82448,1.07306,0.00865767,0.0241857,-0.00388947,-0.0134267,0.0297576,0.0942867,-1.81401,1.0802,0.744348,1656952518
0.154135,0.713377,0.238167,0.140917,0.743865,0.328657,-1.67184,1.82734,1.07241,0.00574058,0.0246909,-0.0024296,-0.0132179,0.0304883,0.0904901,-1.81276,1.08348,0.743752,1656952519
0.154012,0.712462,0.243678,0.140769,0.74393,0.328635,-1.6685,1.82756,1.07095,0.00926134,0.0198438,-0.000808613,-0.0132427,0.0314678,0.0849576,-1.80927,1.08363,0.742315,1656952519
0.153042,0.713403,0.248047,0.140813,0.743986,0.328633,-1.66415,1.82578,1.07071,0.00831264,0.0166465,-0.00129834,-0.0122294,0.0305825,0.0805851,-1.80496,1.08179,0.742082,1656952519
0.153726,0.712266,0.24497,0.140947,0.744162,0.328676,-1.65984,1.82202,1.07012,0.0106163,0.0178768,0.00189353,-0.0127795,0.0318957,0.0837052,-1.80079,1.07785,0.741443,1656952519
0.156034,0.712524,0.241177,0.140795,0.743925,0.328656,-1.65258,1.81804,1.07145,0.00428698,0.0138099,-0.00130044,-0.0152394,0.0314007,0.0874788,-1.79337,1.07411,0.742798,1656952520
0.157603,0.712301,0.244104,0.140878,0.74418,0.328724,-1.64692,1.81889,1.07289,0.00516278,0.00768733,-0.00291611,-0.016725,0.0318791,0.0846196,-1.7878,1.07471,0.744168,1656952520
0.157235,0.71144,0.248024,0.14092,0.743854,0.328651,-1.6448,1.82064,1.0745,0.00672946,0.0196498,-0.00155644,-0.0163151,0.0324141,0.0806269,-1.78572,1.07678,0.745852,1656952520
0.157592,0.709646,0.248658,0.140765,0.743917,0.328677,-1.64309,1.82169,1.07789,0.0117786,0.0206048,0.000141803,-0.0168266,0.0342715,0.0800187,-1.78385,1.07777,0.749218,1656952521
0.158888,0.708934,0.248807,0.140891,0.743848,0.328611,-1.63975,1.82267,1.0785,0.00544691,0.00742883,0.000354468,-0.0179979,0.0349135,0.0798037,-1.78064,1.07882,0.749885,1656952521
0.16178,0.70971,0.249285,0.140896,0.743848,0.328628,-1.63764,1.82333,1.07955,0.00233991,0.00554948,-0.00664116,-0.0208843,0.034138,0.0793437,-1.77854,1.07948,0.750919,1656952521
