vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z
0.925235,-0.481514,0.276551,0,0,0,0,0,0,0,0,0,-0.925235,0.481514,-0.276551
0.925235,-0.481514,0.276551,0,0,0,0,0,0,0,0,0,-0.925235,0.481514,-0.276551
1.73821,0.168492,-1.11238,0.921186,-0.420705,0.111521,-0.474017,0.566723,1.37983,0.0348418,-0.00461184,0.719342,-0.817023,-0.589197,1.2239
0.915229,-0.472696,0.284937,0.921148,-0.420655,0.111627,-0.473988,0.566804,1.37993,0.0351018,-0.00416271,0.719367,0.00591862,0.0520415,-0.17331
0.918735,-0.475537,0.280916,0.921173,-0.420623,0.111625,-0.474009,0.566774,1.37991,0.0352821,-0.0043532,0.719546,0.00243759,0.0549141,-0.16929
0.918735,-0.475537,0.280916,0.921169,-0.42072,0.111608,-0.474191,0.567011,1.38022,0.0363737,-0.00489167,0.719534,0.00243402,0.0548177,-0.169308
0.9248,-0.482151,0.276797,0.921168,-0.420698,0.1116,-0.474019,0.566782,1.37991,0.0353038,-0.00442508,0.719495,-0.00363171,0.0614533,-0.165197
0.920133,-0.483333,0.271635,0.921191,-0.420703,0.111604,-0.474038,0.56678,1.37994,0.0350913,-0.0043958,0.71944,0.00105864,0.0626299,-0.16003
0.920133,-0.483333,0.271635,0.92115,-0.420654,0.111677,-0.474003,0.56679,1.37993,0.0352199,-0.00447407,0.719416,0.00101781,0.0626794,-0.159958
0.920872,-0.477441,0.279787,0.921219,-0.420683,0.111587,-0.473998,0.566799,1.37991,0.035014,-0.00445184,0.719375,0.000346601,0.056758,-0.1682
0.920872,-0.477441,0.279787,0.921123,-0.420709,0.111628,-0.47403,0.566711,1.37982,0.0349225,-0.00419166,0.719469,0.000251174,0.0567327,-0.168159
0.92551,-0.480638,0.275367,0.921142,-0.420664,0.111679,-0.474158,0.566948,1.38011,0.0358842,-0.0048282,0.719378,-0.00436807,0.0599736,-0.163688
0.92551,-0.480638,0.275367,0.921187,-0.420686,0.111565,-0.474007,0.566776,1.37989,0.0351364,-0.00434959,0.719469,-0.0043236,0.0599515,-0.163803
0.920233,-0.483107,0.271502,0.921143,-0.420706,0.111612,-0.474002,0.566796,1.37991,0.0353635,-0.00433724,0.719276,0.000910163,0.0624015,-0.15989
0.9208,-0.477261,0.279509,0.92118,-0.420636,0.111606,-0.474023,0.566727,1.37982,0.0348041,-0.0044582,0.719399,0.000379741,0.056625,-0.167903
0.925899,-0.480618,0.275848,0.921156,-0.42073,0.111579,-0.474,0.566794,1.3799,0.0351401,-0.0045612,0.71931,-0.00474292,0.0598885,-0.164269
0.925855,-0.480782,0.276059,0.921173,-0.420714,0.111611,-0.474006,0.566781,1.3799,0.0351155,-0.00446786,0.71931,-0.00468183,0.0600677,-0.164448
0.92105,-0.477212,0.279765,0.921165,-0.420713,0.111585,-0.47402,0.566764,1.37991,0.0355085,-0.00433363,0.71958,0.000114739,0.0564989,-0.16818
0.920357,-0.477835,0.27949,0.921068,-0.420537,0.11149,-0.473995,0.566703,1.3798,0.0349237,-0.00423201,0.719308,0.000710785,0.0572973,-0.168
0.920357,-0.477835,0.27949,0.921132,-0.420693,0.111641,-0.473985,0.566738,1.37982,0.0346958,-0.00444975,0.719292,0.000774622,0.0571421,-0.167849
0.926121,-0.480359,0.275846,0.921126,-0.420616,0.111623,-0.473999,0.566726,1.37982,0.0349434,-0.00441312,0.719263,-0.00499511,0.0597437,-0.164224
0.920651,-0.482755,0.271572,0.921132,-0.420681,0.111628,-0.474019,0.566736,1.37982,0.0347079,-0.00459243,0.719285,0.000480533,0.0620739,-0.159944
0.924233,-0.478936,0.271734,0.921114,-0.420683,0.111615,-0.473999,0.566718,1.37981,0.0349583,-0.00435761,0.719537,-0.00311929,0.0582533,-0.160119
0.924233,-0.478936,0.271734,0.921178,-0.420707,0.111577,-0.473992,0.566803,1.37989,0.0352881,-0.00445062,0.719348,-0.00305551,0.0582297,-0.160156
0.924233,-0.478936,0.271734,0.921171,-0.420708,0.111596,-0.473986,0.566704,1.37981,0.0348143,-0.00440204,0.719466,-0.00306213,0.0582286,-0.160138
0.915818,-0.479439,0.275436,0.921189,-0.420712,0.111621,-0.474181,0.567002,1.38021,0.0361698,-0.00484138,0.719279,0.00537151,0.0587271,-0.163815
0.925185,-0.481597,0.276727,0.921183,-0.420702,0.111581,-0.473998,0.566777,1.37989,0.0351092,-0.00423433,0.719375,-0.00400233,0.0608943,-0.165146
0.925185,-0.481597,0.276727,0.921199,-0.420685,0.111627,-0.474002,0.566697,1.37982,0.0350337,-0.00446382,0.719368,-0.0039866,0.0609114,-0.1651
0.92105,-0.477305,0.279687,0.921186,-0.420707,0.11162,-0.473989,0.566698,1.37981,0.0350886,-0.00440235,0.719431,0.000136197,0.0565978,-0.168067
0.92105,-0.477305,0.279687,0.921143,-0.420749,0.111566,-0.474026,0.566704,1.37983,0.0348069,-0.00438615,0.719345,9.26256e-05,0.0565558,-0.168121
0.921152,-0.47702,0.279586,0.921134,-0.420713,0.111569,-0.47399,0.56672,1.37983,0.0347885,-0.00457055,0.719308,-1.77622e-05,0.0563068,-0.168018
0.921152,-0.47702,0.279586,0.921131,-0.420676,0.111663,-0.474014,0.566786,1.37991,0.0352133,-0.00427607,0.719373,-2.04444e-05,0.0563439,-0.167924
0.91878,-0.475714,0.275083,0.921116,-0.420692,0.111597,-0.474169,0.566923,1.38011,0.035738,-0.00515269,0.719329,0.00233638,0.0550213,-0.163486
0.918949,-0.476611,0.282736,0.921151,-0.420744,0.111581,-0.473998,0.566777,1.37991,0.0351512,-0.00437486,0.719432,0.00220287,0.0558673,-0.171155
0.923593,-0.479314,0.271394,0.921179,-0.420641,0.111648,-0.474015,0.5667,1.37981,0.0350952,-0.0042665,0.719444,-0.00241464,0.0586737,-0.159746
0.923593,-0.479314,0.271394,0.921108,-0.420697,0.111615,-0.474019,0.566759,1.3799,0.0351729,-0.0041772,0.71929,-0.00248492,0.0586177,-0.159779
0.923593,-0.479314,0.271394,0.92112,-0.420693,0.111631,-0.47419,0.566899,1.38014,0.0358582,-0.00508021,0.719452,-0.002473,0.0586212,-0.159763
0.925421,-0.481855,0.27711,0.92115,-0.420752,0.111604,-0.474196,0.566941,1.38024,0.0363497,-0.00500806,0.719457,-0.00427067,0.0611027,-0.165506
0.925421,-0.481855,0.27711,0.921123,-0.419968,0.111884,-0.474212,0.566891,1.38022,0.0362544,-0.0049615,0.719457,-0.00429797,0.0618871,-0.165226
0.914178,-0.474112,0.285747,0.921091,-0.420438,0.11176,-0.474173,0.566893,1.3802,0.0362373,-0.00497295,0.719515,0.00691313,0.053674,-0.173986
0.914178,-0.474112,0.285747,0.92113,-0.420715,0.111558,-0.474216,0.566918,1.38021,0.0362952,-0.00501788,0.71939,0.00695199,0.053397,-0.174189
0.914178,-0.474112,0.285747,0.921175,-0.420727,0.11157,-0.474232,0.566985,1.38029,0.0360713,-0.00608389,0.718617,0.00699717,0.0533847,-0.174177
0.914178,-0.474112,0.285747,0.921207,-0.420525,0.111725,-0.474281,0.566816,1.38013,0.0361092,-0.00459454,0.719839,0.00702977,0.0535863,-0.174021
0.914343,-0.481068,0.275924,0.92099,-0.420659,0.111294,-0.473987,0.567531,1.37946,0.0281503,-0.00577668,0.724604,0.00664634,0.0604093,-0.16463
0.915611,-0.474501,0.287504,0.921151,-0.42074,0.111589,-0.472008,0.570403,1.37804,0.0145485,-0.0108998,0.728627,0.00553972,0.0537611,-0.175915
0.921246,-0.515581,0.304763,0.921152,-0.42074,0.111526,-0.471644,0.570367,1.37782,0.0133216,-0.00876443,0.722328,-9.40561e-05,0.0948411,-0.193236
0.904512,-0.569907,0.30929,0.921116,-0.420654,0.111619,-0.484491,0.565424,1.38507,-0.0311421,-0.00640779,0.682207,0.0166044,0.149253,-0.197672
0.999762,-0.447791,0.214407,0.921101,-0.420694,0.111601,-0.549389,0.531289,1.4346,-0.00732543,-0.0349161,0.657093,-0.0786611,0.0270969,-0.102806
1.09869,-0.454563,0.348569,0.921154,-0.420705,0.111561,-0.662212,0.457695,1.4541,0.0352443,0.0248684,0.609684,-0.17754,0.0338585,-0.237008
-0.560059,0.384559,1.40939,0.920879,-0.420598,0.110991,-0.753527,0.379013,1.45118,0.0624082,0.0474716,0.585391,1.48094,-0.805157,-1.2984
1.03528,-0.295151,0.318836,0.920845,-0.420657,0.110951,-0.798507,0.258848,1.43544,0.0306442,0.0911655,0.598023,-0.11444,-0.125506,-0.207885
0.924458,-0.268621,0.228502,0.921008,-0.420394,0.111117,-0.768823,0.169506,1.42914,0.038714,0.0549809,0.615411,-0.00345027,-0.151773,-0.117385
