vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.70336,0.0348668,-0.438742,0,0,0,0,0,0,0,0,0,-1.70336,-0.0348668,0.438742,1654429709
0.500348,-0.212288,0.967062,0.509034,-0.186538,0.851576,-1.20811,-0.203499,1.37809,0.00257958,-0.0160106,0.0248662,0.00868589,0.0257503,-0.115486,1654429709
0.500265,-0.21256,0.966638,0.508515,-0.187765,0.852058,-1.20809,-0.203481,1.37809,0.0027557,-0.0157686,0.0249918,0.00825083,0.0247947,-0.114579,1654429709
0.505181,-0.210367,0.974892,0.509518,-0.187807,0.850867,-1.20836,-0.203601,1.37836,-6.63164e-05,-0.018549,0.024315,0.00433743,0.0225597,-0.124025,1654429710
0.50746,-0.212448,0.965384,0.508629,-0.186933,0.851045,-1.20808,-0.203496,1.37805,0.00271587,-0.0160265,0.0249116,0.00116831,0.025515,-0.114339,1654429710
0.503102,-0.210181,0.975215,0.509908,-0.187302,0.851387,-1.20837,-0.203583,1.37839,-7.91631e-05,-0.0184518,0.0242236,0.00680679,0.0228795,-0.123828,1654429710
0.502155,-0.212233,0.969935,0.508302,-0.187016,0.851312,-1.20812,-0.203474,1.37813,0.00249311,-0.0155689,0.02485,0.0061475,0.0252167,-0.118623,1654429711
0.504324,-0.212618,0.969874,0.508344,-0.186987,0.851212,-1.20808,-0.203478,1.37808,0.00288203,-0.0158459,0.0249679,0.00401938,0.0256309,-0.118662,1654429711
0.504217,-0.212077,0.965379,0.506999,-0.185227,0.851322,-1.20811,-0.203491,1.3781,0.00252878,-0.0155783,0.0247546,0.0027824,0.0268502,-0.114057,1654429711
0.507312,-0.212082,0.964939,0.507598,-0.185522,0.852386,-1.20811,-0.203469,1.37812,0.00237999,-0.015725,0.0248016,0.000285625,0.0265591,-0.112553,1654429712
0.502326,-0.212394,0.970533,0.50849,-0.186984,0.851128,-1.2081,-0.203489,1.37808,0.00258665,-0.0159462,0.0249088,0.00616407,0.0254097,-0.119406,1654429712
0.50012,-0.212264,0.970522,0.507099,-0.185822,0.851984,-1.20815,-0.203481,1.37815,0.00241508,-0.0156223,0.0248876,0.00697893,0.0264417,-0.118538,1654429713
0.502247,-0.212349,0.965974,0.507567,-0.185517,0.852419,-1.20808,-0.203483,1.37809,0.00263698,-0.015654,0.0248943,0.00532043,0.0268323,-0.113554,1654429713
0.504434,-0.212593,0.966314,0.50895,-0.186602,0.851663,-1.20811,-0.203499,1.37812,0.0028891,-0.016116,0.0249559,0.00451607,0.0259907,-0.114652,1654429713
0.504318,-0.212454,0.969871,0.509036,-0.186551,0.85154,-1.20809,-0.2035,1.37808,0.00291207,-0.0158439,0.0248516,0.00471801,0.0259029,-0.118331,1654429714
