vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.70336,0.0348668,-0.438742,0,0,0,0,0,0,0,0,0,-1.70336,-0.0348668,0.438742,1654429147
0.502117,-0.212134,0.965684,0.508712,-0.187494,0.852529,-1.20814,-0.203514,1.3781,0.0019822,-0.0154624,0.0249193,0.0065949,0.0246392,-0.113155,1654429147
0.502136,-0.212412,0.969982,0.509285,-0.18724,0.852176,-1.20816,-0.203473,1.37805,0.00227843,-0.015636,0.0250093,0.00714868,0.025172,-0.117805,1654429148
0.499634,-0.219262,0.961886,0.507422,-0.185639,0.852416,-1.20855,-0.203668,1.37851,0.00808558,-0.0107407,0.0274568,0.00778747,0.0336233,-0.10947,1654429148
0.502096,-0.212193,0.969675,0.508926,-0.187266,0.852429,-1.20813,-0.203467,1.37804,0.002309,-0.0154646,0.024878,0.00683033,0.0249266,-0.117246,1654429148
0.502309,-0.216413,0.966296,0.50874,-0.187498,0.85252,-1.20803,-0.203531,1.37794,0.00271203,-0.0159224,0.0248372,0.00643051,0.0289155,-0.113777,1654429149
0.504353,-0.2121,0.965882,0.5076,-0.18646,0.853034,-1.20811,-0.203537,1.37805,0.00223304,-0.0158956,0.0248151,0.00324631,0.0256404,-0.112848,1654429149
0.502177,-0.212467,0.970256,0.509157,-0.18727,0.852257,-1.20818,-0.203495,1.3781,0.00235907,-0.0157699,0.0250066,0.0069797,0.0251963,-0.117999,1654429149
0.500015,-0.212313,0.965899,0.509198,-0.187226,0.852221,-1.20817,-0.203486,1.37806,0.00215468,-0.0153383,0.0250017,0.00918257,0.025087,-0.113678,1654429150
0.504221,-0.212317,0.969561,0.509035,-0.187482,0.852318,-1.20812,-0.203544,1.37804,0.00229239,-0.0156714,0.0249045,0.00481445,0.0248358,-0.117243,1654429150
0.504134,-0.212531,0.969344,0.508954,-0.18749,0.852324,-1.20815,-0.203481,1.37806,0.0024723,-0.01554,0.0250212,0.00482041,0.0250419,-0.11702,1654429151
0.506431,-0.212153,0.969644,0.508835,-0.187276,0.852442,-1.20808,-0.203552,1.378,0.00248912,-0.0160254,0.0247472,0.00240397,0.0248764,-0.117202,1654429151
0.499377,-0.219255,0.961307,0.509311,-0.187237,0.852117,-1.20865,-0.203605,1.37859,0.00775276,-0.0103503,0.0275767,0.00993377,0.032018,-0.10919,1654429151
0.50227,-0.212156,0.966036,0.508773,-0.187461,0.852471,-1.20809,-0.203522,1.37802,0.0023912,-0.0157265,0.0248213,0.00650287,0.0246952,-0.113565,1654429152
0.5022,-0.212322,0.965873,0.508685,-0.187432,0.85251,-1.20813,-0.203469,1.37801,0.00242878,-0.0156368,0.0249405,0.00648469,0.0248906,-0.113362,1654429152
0.502238,-0.212163,0.96995,0.51039,-0.188157,0.851881,-1.20807,-0.203526,1.37799,0.00263064,-0.0156608,0.0247428,0.00815153,0.0240057,-0.118069,1654429152
0.4997,-0.218971,0.962043,0.510273,-0.188264,0.851956,-1.20854,-0.203696,1.37847,0.00805057,-0.0108552,0.027278,0.010573,0.0307065,-0.110088,1654429153
0.504239,-0.211839,0.965444,0.508538,-0.186602,0.851796,-1.20811,-0.203537,1.37807,0.00214031,-0.0156243,0.0246882,0.00429893,0.0252365,-0.113648,1654429153
0.50163,-0.219966,0.961622,0.508399,-0.187032,0.851105,-1.20862,-0.203627,1.37856,0.00844153,-0.010846,0.0277922,0.00676942,0.0329342,-0.110518,1654429154
0.506325,-0.212451,0.969177,0.506858,-0.18611,0.85204,-1.20807,-0.203535,1.37801,0.0025294,-0.0157477,0.0249227,0.000533164,0.0263412,-0.117137,1654429154
0.502071,-0.212111,0.965665,0.508527,-0.187825,0.851998,-1.20818,-0.203484,1.3781,0.00202588,-0.0154537,0.0249127,0.00645524,0.0242865,-0.113667,1654429154
0.499615,-0.219434,0.961766,0.509017,-0.187473,0.852289,-1.20855,-0.203677,1.37849,0.00832144,-0.0106881,0.0274926,0.00940198,0.0319616,-0.109478,1654429155
0.50224,-0.21235,0.970184,0.509026,-0.187501,0.852264,-1.20811,-0.203562,1.37803,0.00238747,-0.015767,0.0248924,0.00678623,0.0248485,-0.117919,1654429155
0.502263,-0.212239,0.966204,0.510195,-0.187504,0.851112,-1.20814,-0.203491,1.37803,0.00233255,-0.0158178,0.0249026,0.00793153,0.0247357,-0.115092,1654429155
0.502254,-0.212406,0.970212,0.508714,-0.18681,0.851619,-1.20811,-0.203509,1.37801,0.00251457,-0.0157982,0.0249232,0.00646043,0.025596,-0.118593,1654429156
0.502173,-0.212451,0.969959,0.508672,-0.186854,0.851755,-1.20813,-0.203476,1.37802,0.00244759,-0.0156461,0.0249872,0.00649863,0.0255972,-0.118205,1654429156
0.502304,-0.212257,0.966191,0.508838,-0.186883,0.851594,-1.20809,-0.203539,1.37803,0.00239729,-0.0158093,0.0248682,0.00653428,0.0253738,-0.114597,1654429157
0.504361,-0.212354,0.965796,0.508946,-0.18727,0.852387,-1.20809,-0.203547,1.378,0.00250455,-0.0158771,0.024888,0.00458503,0.0250837,-0.113409,1654429157
0.501553,-0.219312,0.961363,0.508725,-0.187468,0.852476,-1.20863,-0.203608,1.37858,0.00784623,-0.0106745,0.0275733,0.00717258,0.0318441,-0.108886,1654429157
0.507307,-0.212037,0.964692,0.509032,-0.187281,0.852334,-1.20808,-0.203524,1.37801,0.00230771,-0.0156417,0.0247627,0.00172532,0.0247564,-0.112359,1654429158
0.502199,-0.212227,0.969957,0.508819,-0.187269,0.852468,-1.20811,-0.203487,1.37799,0.00228588,-0.0156606,0.024891,0.00661939,0.0249582,-0.11749,1654429158
0.502342,-0.212216,0.966291,0.508774,-0.187484,0.852513,-1.20808,-0.203527,1.37803,0.00253959,-0.0158743,0.0248144,0.00643206,0.0247313,-0.113779,1654429158
0.502221,-0.212488,0.965622,0.50763,-0.186156,0.853157,-1.20805,-0.203522,1.37797,0.00277071,-0.0155195,0.0249191,0.00540835,0.0263317,-0.112465,1654429159
0.503071,-0.210628,0.974847,0.508968,-0.187502,0.852316,-1.20834,-0.20356,1.37826,9.13806e-06,-0.0183137,0.0244768,0.00589782,0.023126,-0.12253,1654429159
0.5022,-0.21211,0.97017,0.508658,-0.187491,0.852509,-1.20814,-0.203537,1.37806,0.0021578,-0.0157372,0.0248255,0.00645781,0.0246196,-0.117661,1654429160
0.50233,-0.212557,0.966281,0.507736,-0.186188,0.85308,-1.2081,-0.2035,1.37798,0.00263834,-0.0158948,0.0250037,0.00540572,0.0263685,-0.113201,1654429160
0.504201,-0.212431,0.965443,0.508956,-0.187514,0.852293,-1.20815,-0.203491,1.37804,0.00256256,-0.0156496,0.024952,0.00475544,0.0249162,-0.113149,1654429160
0.504362,-0.212464,0.965744,0.508316,-0.187714,0.852086,-1.20808,-0.203545,1.37799,0.00254908,-0.0158519,0.0249428,0.00395417,0.0247504,-0.113658,1654429161
0.5023,-0.212433,0.970143,0.508732,-0.186644,0.85168,-1.20806,-0.20352,1.37796,0.00258305,-0.0157888,0.0249157,0.00643224,0.025789,-0.118463,1654429161
0.500035,-0.212108,0.965946,0.508974,-0.186688,0.851503,-1.20816,-0.203495,1.37805,0.00199665,-0.0153692,0.0249161,0.00893879,0.0254194,-0.114443,1654429162
0.502253,-0.212223,0.970142,0.508678,-0.186811,0.851699,-1.2081,-0.203534,1.37801,0.00245023,-0.0157584,0.0248183,0.00642514,0.0254115,-0.118443,1654429163
0.504378,-0.212109,0.965977,0.50839,-0.187169,0.851203,-1.20811,-0.203572,1.37802,0.00229711,-0.0159699,0.0247833,0.00401157,0.0249401,-0.114773,1654429163
0.504412,-0.212284,0.970127,0.508332,-0.187795,0.85214,-1.20807,-0.20353,1.37801,0.00237283,-0.0160247,0.0248705,0.00391972,0.0244893,-0.117987,1654429164
0.504206,-0.212587,0.969524,0.508988,-0.187233,0.852331,-1.20813,-0.203484,1.37803,0.00257331,-0.0156609,0.0250259,0.00478154,0.0253547,-0.117193,1654429164
