vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
2.71304,-0.637093,-0.447929,0,0,0,0,0,0,0,0,0,-2.71304,0.637093,0.447929,1654436529
0.543906,-0.25358,1.00604,0.521068,-0.201557,0.893927,-2.20717,0.302063,1.39632,0.00297058,-0.0210438,-0.0311418,-0.0228373,0.0520232,-0.112112,1654436529
0.535447,-0.252837,1.00158,0.520357,-0.201705,0.893733,-2.20717,0.302039,1.39635,0.00316983,-0.0211682,-0.0310654,-0.0150906,0.0511321,-0.107845,1654436529
0.535467,-0.254083,1.00263,0.521086,-0.201623,0.89389,-2.20708,0.301931,1.39629,0.00366876,-0.0214608,-0.0307315,-0.0143811,0.0524597,-0.108741,1654436530
0.530159,-0.252911,1.00367,0.520798,-0.201926,0.89378,-2.2071,0.301941,1.3963,0.00358921,-0.0215933,-0.0307244,-0.00936151,0.0509851,-0.109895,1654436530
0.533246,-0.251853,1.00846,0.520781,-0.201906,0.893763,-2.20716,0.302048,1.39634,0.00329555,-0.0213216,-0.0309968,-0.0124654,0.0499467,-0.114696,1654436531
0.535437,-0.253117,1.00177,0.521045,-0.201597,0.89392,-2.20716,0.302031,1.39633,0.00319788,-0.0212381,-0.0309704,-0.0143918,0.0515201,-0.107846,1654436531
0.538462,-0.252198,1.0058,0.520595,-0.201407,0.8938,-2.20718,0.302104,1.3963,0.00275574,-0.0207528,-0.0311813,-0.0178674,0.050791,-0.112003,1654436531
0.538483,-0.251981,1.00569,0.521068,-0.201622,0.893944,-2.20719,0.302096,1.3963,0.00264439,-0.020738,-0.0312452,-0.0174149,0.0503592,-0.111747,1654436532
0.535506,-0.252442,1.00139,0.520787,-0.201946,0.893775,-2.20717,0.302046,1.39633,0.00293339,-0.021162,-0.0311679,-0.0147191,0.0504955,-0.107611,1654436532
0.538421,-0.252354,1.00573,0.521056,-0.201633,0.893892,-2.20718,0.30206,1.3963,0.00267923,-0.0207405,-0.0311279,-0.0173652,0.0507207,-0.111836,1654436532
0.533145,-0.25137,1.00724,0.520801,-0.201924,0.893775,-2.20719,0.302069,1.39632,0.00288632,-0.0209796,-0.0311003,-0.0123435,0.0494459,-0.113468,1654436533
0.538436,-0.252628,1.00627,0.520794,-0.201924,0.893746,-2.20719,0.302066,1.39632,0.00289745,-0.0208831,-0.031061,-0.0176418,0.0507044,-0.112526,1654436533
