vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0,0,0,-0.421606,-0.492776,0.202499,0.0374445,-0.00476238,0.120029,0,0,0,1655217240
0,0,0,0.597017,1.57799,0.267852,-0.421615,-0.492616,0.202702,0.0382144,-0.00643366,0.119025,0.597017,1.57799,0.267852,1655217240
0,0,0,0.597398,1.57804,0.267671,-0.421584,-0.492622,0.20272,0.038057,-0.00617688,0.119298,0.597398,1.57804,0.267671,1655217241
0,0,0,0.597024,1.57796,0.267865,-0.421568,-0.492623,0.202649,0.0382127,-0.00596891,0.119222,0.597024,1.57796,0.267865,1655217241
0,0,0,0.597,1.57796,0.267844,-0.421627,-0.492771,0.20248,0.0371492,-0.004203,0.12006,0.597,1.57796,0.267844,1655217241
0,0,0,0.597014,1.57797,0.267867,-0.421659,-0.492783,0.202504,0.0371375,-0.00478735,0.119855,0.597014,1.57797,0.267867,1655217242
0,0,0,0.597037,1.57798,0.26787,-0.42158,-0.492784,0.202501,0.0368828,-0.0045172,0.120168,0.597037,1.57798,0.26787,1655217242
0,0,0,0.59702,1.57795,0.267856,-0.421663,-0.49276,0.20247,0.0372839,-0.00490033,0.120008,0.59702,1.57795,0.267856,1655217243
0,0,0,0.596824,1.57779,0.267663,-0.421639,-0.49277,0.202479,0.037117,-0.00459721,0.120265,0.596824,1.57779,0.267663,1655217243
0,0,0,0.597059,1.57794,0.267885,-0.42156,-0.492617,0.202652,0.0382083,-0.00649635,0.119414,0.597059,1.57794,0.267885,1655217243
0,0,0,0.59682,1.57777,0.26769,-0.421651,-0.49273,0.202459,0.0374027,-0.00483785,0.120289,0.59682,1.57777,0.26769,1655217244
0,0,0,0.597159,1.57805,0.267819,-0.421759,-0.49278,0.20236,0.0382374,-0.0060031,0.119382,0.597159,1.57805,0.267819,1655217244
0,0,0,0.596808,1.5778,0.267677,-0.421489,-0.492824,0.202434,0.0368181,-0.00452458,0.120156,0.596808,1.5778,0.267677,1655217244
0,0,0,0.597025,1.57791,0.267856,-0.421654,-0.492733,0.202493,0.0370718,-0.00485327,0.120042,0.597025,1.57791,0.267856,1655217245
0,0,0,0.597021,1.57795,0.267851,-0.421657,-0.492759,0.20244,0.0371978,-0.00492096,0.120364,0.597021,1.57795,0.267851,1655217245
0,0,0,0.597024,1.57794,0.267867,-0.421615,-0.492789,0.202482,0.0371965,-0.00509054,0.120004,0.597024,1.57794,0.267867,1655217246
0,0,0,0.597013,1.57795,0.267858,-0.421625,-0.492763,0.202459,0.0375013,-0.00488494,0.120331,0.597013,1.57795,0.267858,1655217246
0,0,0,0.59706,1.57797,0.26785,-0.421616,-0.492761,0.202472,0.0370978,-0.00449522,0.12053,0.59706,1.57797,0.26785,1655217246
0,0,0,0.59703,1.57795,0.26786,-0.421575,-0.492822,0.202411,0.0372414,-0.00516308,0.119989,0.59703,1.57795,0.26786,1655217247
0,0,0,0.597045,1.57795,0.267854,-0.421637,-0.492784,0.202478,0.037225,-0.00498123,0.120001,0.597045,1.57795,0.267854,1655217247
0,0,0,0.59706,1.57791,0.26783,-0.421506,-0.492349,0.202678,0.0377189,-0.00775676,0.11786,0.59706,1.57791,0.26783,1655217248
0,0,0,0.597025,1.57795,0.267837,-0.421661,-0.492718,0.202456,0.0370759,-0.0050854,0.12013,0.597025,1.57795,0.267837,1655217248
0,0,0,0.597022,1.57796,0.267827,-0.42169,-0.492741,0.202441,0.0373618,-0.0048427,0.120319,0.597022,1.57796,0.267827,1655217248
0,0,0,0.597056,1.57795,0.267862,-0.421782,-0.492799,0.202331,0.0386103,-0.00620789,0.119282,0.597056,1.57795,0.267862,1655217249
0,0,0,0.597004,1.57793,0.267831,-0.421653,-0.492748,0.202457,0.0374763,-0.00524702,0.120248,0.597004,1.57793,0.267831,1655217249
0,0,0,0.59704,1.57795,0.267852,-0.421768,-0.492784,0.20234,0.0386373,-0.00668656,0.119349,0.59704,1.57795,0.267852,1655217249
0,0,0,0.597038,1.57797,0.267863,-0.422121,-0.492399,0.203079,0.0274612,0.0074149,0.124483,0.597038,1.57797,0.267863,1655217250
0,0,0,0.597052,1.57797,0.267894,-0.421843,-0.492758,0.203063,0.0293134,-0.00051951,0.121626,0.597052,1.57797,0.267894,1655217250
0,0,0,0.59713,1.57804,0.267832,-0.421823,-0.492775,0.203062,0.0295099,-0.000433469,0.121577,0.59713,1.57804,0.267832,1655217250
0,0,0,0.597005,1.57794,0.267865,-0.42243,-0.49257,0.203923,0.0238921,-0.00462877,0.119693,0.597005,1.57794,0.267865,1655217251
0,0,0,0.597033,1.57794,0.267821,-0.422021,-0.492903,0.203453,0.0266137,-0.00126709,0.12177,0.597033,1.57794,0.267821,1655217251
0,0,0,0.597036,1.57794,0.267884,-0.422093,-0.492923,0.203295,0.0284653,-0.00406445,0.12489,0.597036,1.57794,0.267884,1655217252
0,0,0,0.597006,1.57793,0.267832,-0.424657,-0.495037,0.205041,0.0208348,-0.0264306,0.123123,0.597006,1.57793,0.267832,1655217252
0,0,0,0.597003,1.57794,0.267851,-0.426243,-0.495856,0.206978,0.0113978,-0.0353682,0.124091,0.597003,1.57794,0.267851,1655217253
0,0,0,0.597027,1.57795,0.267859,-0.427584,-0.497032,0.207492,0.0117554,-0.0398118,0.126328,0.597027,1.57795,0.267859,1655217253
0,0,0,0.597016,1.57795,0.267838,-0.429203,-0.499067,0.212123,-0.00883498,-0.0583792,0.123299,0.597016,1.57795,0.267838,1655217254
0,0,0,0.597039,1.57796,0.267848,-0.433487,-0.503153,0.220319,-0.00287389,-0.0650388,0.115723,0.597039,1.57796,0.267848,1655217254
0,0,0,0.597012,1.57798,0.267839,-0.449126,-0.520939,0.276833,0.0187466,-0.00858484,0.0857781,0.597012,1.57798,0.267839,1655217254
0,0,0,0.597376,1.57803,0.267649,-0.444651,-0.53319,0.366407,0.0227703,-0.0270012,0.0743254,0.597376,1.57803,0.267649,1655217255
0,0,0,0.597008,1.57795,0.26785,-0.420493,-0.550879,0.544528,0.0439485,-0.0255004,0.0854849,0.597008,1.57795,0.26785,1655217255
