vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655217335
0,0,0,0.594897,1.58125,0.269096,-0.253484,-0.477321,0.197042,-0.0215417,0.0646012,-1.14604,0.594897,1.58125,0.269096,1655217335
0,0,0,0.594873,1.58127,0.26906,-0.25351,-0.47733,0.197041,-0.0213554,0.0645775,-1.14609,0.594873,1.58127,0.26906,1655217335
0,0,0,0.59453,1.58147,0.269322,-0.253509,-0.47733,0.197106,-0.0215256,0.0642871,-1.14619,0.59453,1.58147,0.269322,1655217336
0,0,0,0.594863,1.58126,0.26907,-0.253513,-0.477308,0.19707,-0.0216204,0.0647267,-1.14625,0.594863,1.58126,0.26907,1655217336
0,0,0,0.594869,1.58127,0.269057,-0.253503,-0.477323,0.197041,-0.0215852,0.0643213,-1.146,0.594869,1.58127,0.269057,1655217336
0,0,0,0.594835,1.58125,0.269061,-0.253602,-0.477117,0.196672,-0.0246375,0.0601944,-1.1441,0.594835,1.58125,0.269061,1655217337
0,0,0,0.59484,1.58124,0.269012,-0.253585,-0.477116,0.196644,-0.0252607,0.05977,-1.14415,0.59484,1.58124,0.269012,1655217337
0,0,0,0.594918,1.58125,0.269095,-0.25351,-0.477279,0.197072,-0.0215782,0.0644666,-1.14609,0.594918,1.58125,0.269095,1655217337
0,0,0,0.594867,1.58125,0.269055,-0.253594,-0.47712,0.19667,-0.0244288,0.0599757,-1.14397,0.594867,1.58125,0.269055,1655217338
0,0,0,0.594688,1.58115,0.268788,-0.253495,-0.477359,0.197057,-0.0214049,0.0643925,-1.14617,0.594688,1.58115,0.268788,1655217338
0,0,0,0.594884,1.58126,0.269088,-0.253588,-0.477142,0.196646,-0.0245141,0.0598687,-1.14406,0.594884,1.58126,0.269088,1655217338
0,0,0,0.594709,1.58116,0.268795,-0.253491,-0.477294,0.197104,-0.0215305,0.0644515,-1.1463,0.594709,1.58116,0.268795,1655217339
0,0,0,0.594565,1.58146,0.269373,-0.253563,-0.47716,0.196673,-0.0245946,0.0597484,-1.14412,0.594565,1.58146,0.269373,1655217339
0,0,0,0.594868,1.58123,0.269041,-0.253559,-0.477128,0.196674,-0.024517,0.0597791,-1.14425,0.594868,1.58123,0.269041,1655217339
0,0,0,0.594851,1.58124,0.269033,-0.253854,-0.477635,0.197364,-0.027636,0.0684355,-1.14394,0.594851,1.58124,0.269033,1655217340
0,0,0,0.594884,1.58127,0.269065,-0.254003,-0.477285,0.197369,-0.0301439,0.0708554,-1.14048,0.594884,1.58127,0.269065,1655217340
0,0,0,0.595416,1.58141,0.268941,-0.25357,-0.477351,0.197494,-0.0282029,0.0665366,-1.1463,0.595416,1.58141,0.268941,1655217340
0,0,0,0.594862,1.58122,0.269048,-0.253521,-0.477501,0.197376,-0.0282802,0.067075,-1.14526,0.594862,1.58122,0.269048,1655217341
0,0,0,0.59488,1.58126,0.269131,-0.255449,-0.477637,0.19877,-0.0470551,0.065212,-1.15187,0.59488,1.58126,0.269131,1655217341
0,0,0,0.594708,1.58109,0.2688,-0.254178,-0.477301,0.197623,-0.0279434,0.0665171,-1.14217,0.594708,1.58109,0.2688,1655217341
0,0,0,0.594883,1.58126,0.269064,-0.254631,-0.477473,0.197607,-0.0354857,0.0553266,-1.14143,0.594883,1.58126,0.269064,1655217342
0,0,0,0.594873,1.58124,0.269068,-0.255799,-0.478358,0.198802,-0.0312698,0.0555614,-1.14708,0.594873,1.58124,0.269068,1655217342
0,0,0,0.59491,1.58125,0.269058,-0.257167,-0.47779,0.198975,-0.0325237,0.0341608,-1.14857,0.59491,1.58125,0.269058,1655217343
0,0,0,0.594686,1.58115,0.2688,-0.260759,-0.476775,0.199802,-0.0355489,0.00964404,-1.14888,0.594686,1.58115,0.2688,1655217343
0,0,0,0.595443,1.5814,0.268927,-0.265744,-0.476731,0.202991,-0.0359286,-0.0404225,-1.14984,0.595443,1.5814,0.268927,1655217343
0,0,0,0.594869,1.58124,0.269059,-0.271677,-0.47735,0.207971,-0.0301532,-0.082057,-1.15322,0.594869,1.58124,0.269059,1655217344
0,0,0,0.594926,1.58141,0.269042,-0.283567,-0.477008,0.215454,-0.0222772,-0.118362,-1.15755,0.594926,1.58141,0.269042,1655217344
0,0,0,0.595504,1.58158,0.268952,-0.335619,-0.465406,0.250983,-0.032053,-0.050701,-1.18321,0.595504,1.58158,0.268952,1655217344
0,0,0,0.59554,1.58159,0.268952,-0.392546,-0.452242,0.305618,-0.0391611,-0.0215645,-1.18101,0.59554,1.58159,0.268952,1655217345
0,0,0,0.594535,1.58175,0.269448,-0.449091,-0.438862,0.402072,-0.030358,-0.0307837,-1.18515,0.594535,1.58175,0.269448,1655217345
0.617884,1.56501,0.225956,0.594771,1.58164,0.269416,-0.491719,-0.413754,0.602902,-0.0383032,-0.0278441,-1.18061,-0.0231128,0.0166266,0.0434605,1655217346
0.612888,1.59462,0.264747,0.595009,1.58155,0.269547,-0.505323,-0.388965,0.902749,-0.0316317,-0.0297078,-1.17259,-0.0178784,-0.0130761,0.00480005,1655217346
0.598877,1.59616,0.19282,0.595541,1.5811,0.269019,-0.496616,-0.356179,1.10937,-0.0406703,-0.0184379,-1.16842,-0.00333673,-0.0150667,0.0761992,1655217347
0.626482,1.62814,0.22432,0.595616,1.58103,0.268997,-0.482872,-0.329611,1.26184,-0.039607,-0.0238859,-1.16204,-0.0308658,-0.0471114,0.0446768,1655217347
0.626482,1.62814,0.22432,0.596221,1.58067,0.269225,-0.471367,-0.313484,1.35623,-0.0418115,-0.0249023,-1.16213,-0.0302614,-0.0474774,0.0449052,1655217348
0.626482,1.62814,0.22432,0.59627,1.5806,0.269244,-0.458568,-0.308372,1.42016,3.12662,-0.0408797,-0.374787,-0.0302123,-0.0475447,0.0449239,1655217348
0.626482,1.62814,0.22432,0.596437,1.58036,0.268527,-0.450984,-0.304303,1.45567,3.116,-0.0354189,-0.373954,-0.0300447,-0.0477799,0.0442073,1655217349
0.626482,1.62814,0.22432,0.596433,1.5804,0.2685,-0.450331,-0.298823,1.4713,-0.0460867,-0.0107035,-1.16038,-0.0300491,-0.0477445,0.0441803,1655217349
0.62351,1.50376,0.118084,0.596391,1.5804,0.268346,-0.443707,-0.275008,1.42583,-0.0592486,0.0231635,-0.628281,-0.0271191,0.0766352,0.150262,1655217350
0.651961,1.63058,0.311479,0.596369,1.58027,0.268283,-0.392063,-0.261239,1.39339,0.000224415,-0.0419124,-0.672418,-0.0555915,-0.0503074,-0.0431959,1655217350
