vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
-0.079517,0.83305,0.241935,0.140806,0.743312,0.328704,-0.898669,0.272381,1.09998,-0.00994793,0.0321792,-0.00504525,0.220323,-0.0897379,0.0867692,-1.03947,-0.470931,0.771275,1656955521
-0.0227812,0.810094,0.281344,0.140866,0.743321,0.328638,-1.31212,0.549535,1.07415,-0.0235095,0.0658808,-0.0101253,0.163647,-0.0667729,0.0472942,-1.45299,-0.193785,0.745512,1656955521
-0.0674476,0.844651,0.280945,0.140435,0.743192,0.328474,-1.55719,0.715218,1.05799,-0.0220803,0.0652299,-0.00928232,0.207882,-0.101458,0.0475297,-1.69762,-0.0279742,0.729512,1656955522
0.0716806,0.75981,0.30057,0.140784,0.743285,0.328664,-1.65806,0.787094,1.04892,-0.0228648,0.0578869,-0.00764188,0.0691029,-0.0165251,0.0280939,-1.79884,0.0438095,0.720256,1656955522
0.0873649,0.744177,0.28961,0.140838,0.743264,0.328658,-1.71278,0.827299,1.04284,-0.0140824,0.0580548,-0.007613,0.0534734,-0.000913262,0.0390474,-1.85362,0.0840356,0.714184,1656955522
0.1184,0.732699,0.304593,0.140796,0.743267,0.328672,-1.73882,0.849127,1.03815,-0.0182506,0.0463481,-0.00578394,0.0223963,0.0105679,0.024079,-1.87961,0.10586,0.709475,1656955522
0.12752,0.723155,0.297252,0.140836,0.743262,0.328669,-1.75004,0.859821,1.03465,-0.00810402,0.0392126,-0.00704609,0.0133159,0.0201073,0.0314166,-1.89087,0.116559,0.705977,1656955523
0.147599,0.713758,0.303923,0.140822,0.743316,0.328675,-1.74554,0.860808,1.03056,-0.00136608,0.0303918,-0.00882541,-0.00677606,0.0295579,0.0247521,-1.88636,0.117493,0.701887,1656955523
0.154317,0.71034,0.294707,0.140747,0.743286,0.328627,-1.71829,0.848129,1.02938,0.00231569,0.0198953,-0.00715793,-0.0135697,0.0329463,0.03392,-1.85903,0.104843,0.700758,1656955523
0.0695803,0.758196,0.290455,0.140715,0.743287,0.328654,-1.6992,0.83895,1.03058,0.00230323,0.0112281,-0.0055941,0.0711344,-0.0149094,0.038199,-1.83991,0.0956627,0.701923,1656955523
0.0937069,0.745118,0.294364,0.140814,0.743274,0.328653,-1.67943,0.8276,1.03373,0.0109423,0.0106866,-0.00452101,0.0471067,-0.00184387,0.0342893,-1.82025,0.0843259,0.705081,1656955524
0.110918,0.734111,0.29748,0.140832,0.743274,0.328673,-1.66281,0.81723,1.03745,0.0126391,0.00612922,-0.00288569,0.0299135,0.00916338,0.0311929,-1.80364,0.0739557,0.708774,1656955524
0.133104,0.71998,0.300222,0.140888,0.743301,0.32865,-1.65073,0.808962,1.04092,0.0145038,0.00283423,-0.00281778,0.00778402,0.0233211,0.0284277,-1.79161,0.0656607,0.712265,1656955524
0.140483,0.714602,0.299208,0.140861,0.743242,0.328636,-1.64167,0.802396,1.04406,0.0139749,0.00567205,-0.0022641,0.000377327,0.02864,0.029428,-1.78253,0.0591535,0.715429,1656955524
0.146039,0.710219,0.299559,0.140916,0.743266,0.328674,-1.63637,0.797311,1.04744,0.0201092,0.00620028,-0.00274335,-0.00512296,0.0330472,0.0291154,-1.77729,0.0540453,0.71877,1656955525
0.148475,0.708016,0.299365,0.14086,0.743287,0.328642,-1.63452,0.795766,1.05128,0.0166161,0.00304113,-0.00443945,-0.00761472,0.0352713,0.0292776,-1.77538,0.0524789,0.722639,1656955525
0.149611,0.708278,0.298865,0.140441,0.743132,0.328485,-1.63645,0.796615,1.05514,0.00557796,0.00757188,-0.00773007,-0.00916968,0.0348532,0.0296205,-1.77689,0.0534838,0.726656,1656955525
0.147734,0.708538,0.297711,0.140851,0.743288,0.328649,-1.64147,0.798378,1.05878,0.0103864,0.0114956,-0.00586883,-0.00688307,0.0347496,0.0309378,-1.78232,0.0550902,0.730127,1656955525
0.145539,0.709531,0.296962,0.14079,0.743255,0.328656,-1.648,0.801178,1.06177,0.00330641,0.0124322,-0.00535798,-0.0047489,0.0337235,0.0316945,-1.78879,0.057923,0.733117,1656955525
0.143152,0.710988,0.294901,0.140807,0.743293,0.328668,-1.65429,0.804169,1.06406,0.00369432,0.0140727,-0.00594635,-0.00234486,0.0323047,0.0337678,-1.7951,0.0608765,0.735396,1656955526
0.140181,0.713046,0.29522,0.140825,0.743259,0.328647,-1.66064,0.806754,1.06605,0.00376886,0.0129346,-0.00503185,0.000644207,0.0302125,0.0334268,-1.80146,0.0634947,0.737405,1656955526
0.138466,0.714867,0.293802,0.140832,0.743278,0.328645,-1.66833,0.80961,1.0682,0.00535836,0.0143995,-0.00141454,0.00236639,0.0284116,0.0348432,-1.80917,0.0663317,0.739555,1656955526
0.13561,0.716971,0.293181,0.140808,0.743269,0.328645,-1.67388,0.812505,1.0688,0.000172143,0.0152548,-0.00315497,0.00519793,0.0262982,0.0354638,-1.81469,0.0692365,0.740156,1656955526
0.133553,0.717661,0.292481,0.140775,0.743232,0.32865,-1.68035,0.814753,1.07001,0.00960001,0.0219332,-0.000967655,0.00722118,0.0255712,0.0361691,-1.82112,0.0715202,0.741357,1656955526
0.132246,0.718935,0.292741,0.140889,0.743248,0.32862,-1.68548,0.817013,1.07005,0.00608639,0.0160995,0.00191802,0.0086427,0.0243136,0.0358797,-1.82637,0.0737644,0.741429,1656955527
0.130985,0.719494,0.292006,0.140793,0.743255,0.328643,-1.68921,0.818758,1.06708,0.00720848,0.0134023,-0.000594583,0.00980777,0.0237619,0.036637,-1.83,0.0755024,0.738432,1656955527
0.129898,0.718297,0.290717,0.140888,0.743293,0.328642,-1.69391,0.81936,1.06595,0.010417,0.0189839,0.00113063,0.01099,0.0249963,0.0379249,-1.8348,0.0760669,0.737307,1656955527
0.12977,0.718307,0.290645,0.140828,0.743278,0.328632,-1.69684,0.820721,1.06476,0.00632266,0.0182394,0.000785648,0.0110582,0.0249717,0.0379865,-1.83767,0.0774428,0.736129,1656955527
0.131,0.718155,0.291876,0.140827,0.743282,0.32867,-1.69749,0.821328,1.06342,0.0044117,0.0126401,0.00112896,0.00982755,0.025127,0.0367939,-1.83832,0.0780465,0.734747,1656955528
0.131884,0.717677,0.291846,0.140874,0.743276,0.328589,-1.69613,0.820401,1.06287,0.00283167,0.0133067,0.000478982,0.00898989,0.0255991,0.0367426,-1.83701,0.0771252,0.734286,1656955528
0.133635,0.717496,0.29329,0.140814,0.743285,0.328615,-1.69436,0.818681,1.06286,0.000855128,0.0107682,0.00311269,0.00717911,0.0257885,0.0353248,-1.83518,0.0753964,0.734246,1656955528
0.134295,0.716107,0.292072,0.140788,0.743253,0.328633,-1.69215,0.815108,1.06333,0.0102455,0.0128538,0.00711972,0.00649336,0.0271456,0.0365614,-1.83294,0.0718549,0.734697,1656955528
0.135874,0.714817,0.291174,0.140753,0.74326,0.328628,-1.68976,0.811561,1.0627,0.0106255,0.0114464,0.00678277,0.00487828,0.0284429,0.0374545,-1.83052,0.0683005,0.734072,1656955528
0.136051,0.714344,0.291143,0.140784,0.743264,0.328587,-1.68823,0.808008,1.06324,0.0121713,0.0181797,0.00734205,0.00473362,0.0289195,0.0374441,-1.82902,0.0647438,0.73465,1656955529
0.136862,0.713865,0.291085,0.140856,0.743225,0.328628,-1.68607,0.805257,1.06385,0.0158727,0.0161598,0.00444636,0.00399357,0.0293604,0.0375432,-1.82693,0.0620314,0.735219,1656955529
0.138304,0.713585,0.290866,0.140838,0.74329,0.328635,-1.68318,0.804061,1.06493,0.0130312,0.0151552,0.00601666,0.00253406,0.0297059,0.037769,-1.82402,0.0607701,0.736293,1656955529
0.139502,0.713214,0.290381,0.140831,0.743269,0.328649,-1.68009,0.803086,1.06546,0.0141377,0.0169139,0.0063308,0.00132865,0.0300555,0.0382681,-1.82092,0.0598171,0.736807,1656955529
0.140735,0.713343,0.289366,0.140819,0.743271,0.328618,-1.67678,0.802968,1.06654,0.0118703,0.0148402,0.00336496,8.37147e-05,0.029928,0.0392519,-1.8176,0.0596965,0.737924,1656955529
0.140094,0.713543,0.288429,0.140807,0.743248,0.328648,-1.67348,0.80362,1.06765,0.0107763,0.0131978,0.000298011,0.000713408,0.0297046,0.0402191,-1.81429,0.0603716,0.739003,1656955530
0.139631,0.713837,0.287295,0.140838,0.743229,0.328627,-1.67084,0.804804,1.06914,0.00992701,0.014879,-0.0020185,0.00120707,0.029392,0.0413321,-1.81168,0.0615746,0.740513,1656955530
0.139472,0.713319,0.286099,0.140903,0.743259,0.328627,-1.66827,0.806436,1.07017,0.0110207,0.0129698,-0.00362373,0.00143112,0.02994,0.042528,-1.80917,0.0631776,0.741539,1656955530
0.138996,0.715081,0.286399,0.14082,0.743263,0.328612,-1.66595,0.808332,1.07092,0.00680312,0.0136386,-0.00346693,0.00182422,0.028182,0.0422135,-1.80677,0.0650691,0.74231,1656955530
0.138661,0.716352,0.287845,0.140838,0.74326,0.328638,-1.66342,0.809344,1.06994,0.00313878,0.00586317,-0.00744468,0.00217648,0.0269081,0.0407925,-1.80426,0.0660843,0.741306,1656955531
0.140464,0.717707,0.288485,0.140774,0.743264,0.328665,-1.66225,0.808827,1.06921,0.00487757,0.00804219,-0.00874353,0.000309348,0.0255566,0.0401797,-1.80303,0.0655639,0.740546,1656955531
0.14124,0.718995,0.288357,0.140874,0.743253,0.328639,-1.66159,0.807537,1.06803,0.00156624,0.00853782,-0.00959279,-0.000366345,0.0242577,0.0402813,-1.80247,0.0642839,0.739389,1656955531
0.141372,0.718681,0.288222,0.140843,0.743237,0.328607,-1.66116,0.801891,1.06607,0.00390147,0.00894683,-0.00968396,-0.000528798,0.0245556,0.0403855,-1.802,0.0586544,0.737463,1656955532
