vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.90615,0.107445,-1.16087,0,0,0,0,0,0,0,0,0,-1.90615,-0.107445,1.16087,1655205784
-0.246251,2.5351,0.25236,-0.247041,2.48999,0.286873,-0.216438,0.603697,1.37696,-0.0345339,-0.0167597,-1.50929,-0.000789419,-0.0451033,0.0345136,1655205785
-0.246589,2.53792,0.246614,-0.247093,2.48995,0.286883,-0.216446,0.603685,1.37697,-0.0345765,-0.0167319,-1.50941,-0.00050427,-0.0479772,0.0402694,1655205785
-0.246073,2.52236,0.24327,-0.247096,2.48994,0.286855,-0.216919,0.603708,1.37658,-0.0362426,-0.0115226,-1.50788,-0.00102317,-0.0324161,0.0435855,1655205785
-0.245733,2.53286,0.250699,-0.247074,2.48997,0.286857,-0.216449,0.603697,1.37696,-0.0345824,-0.0166141,-1.50909,-0.00134052,-0.0428858,0.0361575,1655205786
-0.248676,2.53415,0.242125,-0.247142,2.48997,0.28687,-0.216762,0.603811,1.37668,-0.0378009,-0.0128985,-1.50831,0.00153412,-0.0441852,0.0447444,1655205786
-0.246499,2.53913,0.248162,-0.247154,2.48997,0.286883,-0.216457,0.603689,1.37695,-0.0344439,-0.0167441,-1.50941,-0.000655159,-0.0491571,0.0387214,1655205786
-0.246587,2.53044,0.250345,-0.24704,2.48994,0.28687,-0.216455,0.603703,1.37698,-0.0346086,-0.016649,-1.50928,-0.000453308,-0.040493,0.036525,1655205787
-0.244061,2.5318,0.246515,-0.247073,2.48998,0.286864,-0.216603,0.603591,1.37684,-0.0330584,-0.0149649,-1.50894,-0.00301203,-0.0418212,0.0403491,1655205787
-0.24839,2.5295,0.242938,-0.247116,2.48997,0.286878,-0.216723,0.603822,1.3767,-0.0378463,-0.0132198,-1.50843,0.00127406,-0.0395315,0.0439401,1655205788
-0.246203,2.53256,0.250685,-0.247811,2.48937,0.286313,-0.216446,0.603715,1.37698,-0.0345787,-0.016982,-1.50936,-0.00160742,-0.0431964,0.0356287,1655205788
-0.245402,2.54111,0.248541,-0.247802,2.48936,0.286348,-0.216427,0.603703,1.37695,-0.0344941,-0.0169914,-1.50918,-0.00240007,-0.0517468,0.0378073,1655205788
-0.247646,2.52773,0.241249,-0.249165,2.48689,0.288133,-0.216888,0.6037,1.37657,-0.0365614,-0.0115162,-1.50794,-0.00151852,-0.040839,0.0468841,1655205789
-0.244331,2.53771,0.243803,-0.24855,2.48712,0.288373,-0.216598,0.603574,1.37684,-0.0328487,-0.0151449,-1.50916,-0.00421937,-0.05059,0.0445694,1655205789
-0.248579,2.5342,0.24053,-0.248564,2.48715,0.288384,-0.216737,0.603826,1.37671,-0.0376123,-0.012925,-1.50827,1.47074e-05,-0.0470538,0.0478533,1655205789
-0.2456,2.53761,0.249759,-0.248553,2.48711,0.288323,-0.216439,0.603717,1.37695,-0.0347046,-0.0168601,-1.50904,-0.00295217,-0.0504949,0.0385634,1655205790
-0.246754,2.53968,0.248147,-0.249127,2.48687,0.288101,-0.216438,0.603717,1.37698,-0.0346209,-0.0168306,-1.50924,-0.00237295,-0.0528128,0.0399546,1655205790
-0.247321,2.53099,0.246013,-0.249973,2.48759,0.285687,-0.216421,0.603668,1.37695,-0.0347902,-0.0169092,-1.50945,-0.00265224,-0.0433986,0.0396747,1655205791
-0.245606,2.53113,0.251276,-0.249971,2.4876,0.285768,-0.216412,0.603698,1.37695,-0.0347081,-0.016731,-1.50923,-0.00436457,-0.0435224,0.0344924,1655205791
-0.244421,2.5368,0.246785,-0.250499,2.48701,0.285603,-0.216601,0.603581,1.37685,-0.0329656,-0.0151807,-1.50899,-0.00607793,-0.0497909,0.0388185,1655205791
-0.245857,2.53464,0.251396,-0.249876,2.48754,0.285728,-0.216427,0.603717,1.37697,-0.0347148,-0.0168416,-1.50907,-0.00401826,-0.0471001,0.0343322,1655205792
-0.244239,2.53756,0.243081,-0.250313,2.48705,0.285598,-0.216582,0.603581,1.37682,-0.0330028,-0.0152947,-1.50891,-0.00607346,-0.0505085,0.0425167,1655205792
-0.247873,2.53104,0.24295,-0.249171,2.48797,0.286902,-0.21675,0.603804,1.37668,-0.0378325,-0.0130962,-1.50816,-0.00129829,-0.0430613,0.0439518,1655205792
-0.243828,2.53482,0.246014,-0.249242,2.48797,0.28688,-0.2166,0.603594,1.37683,-0.0331448,-0.0151811,-1.50911,-0.00541387,-0.0468512,0.0408661,1655205793
-0.247593,2.53912,0.245786,-0.247736,2.49141,0.285656,-0.216589,0.604485,1.37607,-0.0362462,-0.015876,-1.50924,-0.000142783,-0.047708,0.0398698,1655205793
-0.248481,2.53846,0.250644,-0.247762,2.49142,0.285644,-0.216573,0.604498,1.37608,-0.0362572,-0.0159676,-1.5094,0.000719219,-0.0470395,0.035,1655205794
-0.247079,2.53595,0.247978,-0.247726,2.49143,0.285686,-0.216579,0.604516,1.37606,-0.035973,-0.0158475,-1.50926,-0.000647351,-0.0445247,0.0377087,1655205794
-0.247284,2.53335,0.250136,-0.247725,2.49141,0.285664,-0.216595,0.604487,1.37607,-0.0361443,-0.0159609,-1.5093,-0.000441104,-0.0419357,0.0355274,1655205794
-0.248071,2.53394,0.250706,-0.247745,2.49142,0.285626,-0.216592,0.604513,1.37608,-0.0359575,-0.0160502,-1.50933,0.000326157,-0.042522,0.0349207,1655205795
-0.244791,2.53182,0.24581,-0.247732,2.49141,0.28564,-0.216696,0.604321,1.37594,-0.034808,-0.0147383,-1.50882,-0.0029407,-0.0404103,0.0398299,1655205795
-0.248519,2.52934,0.238746,-0.247762,2.49142,0.285618,-0.217004,0.604436,1.37567,-0.0386499,-0.0110542,-1.50775,0.000756502,-0.0379169,0.0468725,1655205795
-0.249001,2.5295,0.23638,-0.247794,2.49141,0.28562,-0.216999,0.604464,1.37566,-0.0385414,-0.0109004,-1.50774,0.00120704,-0.0380888,0.0492392,1655205796
-0.250102,2.54194,0.238535,-0.247702,2.49141,0.285649,-0.216887,0.604645,1.3758,-0.039566,-0.0120863,-1.50831,0.00240012,-0.0505297,0.0471136,1655205796
-0.246296,2.53079,0.244544,-0.24774,2.49139,0.285648,-0.21669,0.604352,1.37596,-0.0349955,-0.0148437,-1.50879,-0.00144374,-0.039397,0.0411037,1655205797
-0.251455,2.5366,0.239342,-0.247754,2.49141,0.28562,-0.216864,0.604603,1.37575,-0.0397429,-0.0122526,-1.50857,0.0037016,-0.0451832,0.0462773,1655205797
-0.248311,2.53489,0.248449,-0.247748,2.49142,0.28564,-0.216583,0.604496,1.37607,-0.0361401,-0.015872,-1.50936,0.000563398,-0.0434663,0.0371916,1655205797
-0.245043,2.52886,0.247603,-0.247779,2.4914,0.285636,-0.216718,0.604333,1.37596,-0.0349435,-0.0147854,-1.5088,-0.00273636,-0.0374668,0.038033,1655205798
-0.247405,2.5364,0.247843,-0.247748,2.49141,0.28564,-0.216579,0.604501,1.37607,-0.0362166,-0.0160986,-1.50931,-0.000343665,-0.0449901,0.0377963,1655205798
-0.248134,2.53594,0.232921,-0.247756,2.49141,0.285618,-0.216991,0.604467,1.37567,-0.0385159,-0.0109493,-1.50764,0.000378057,-0.044528,0.0526964,1655205798
-0.250378,2.53229,0.240701,-0.24777,2.4914,0.28565,-0.216873,0.604599,1.37577,-0.0396248,-0.0122499,-1.50855,0.00260819,-0.0408897,0.0449488,1655205799
