vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.18031,-0.0255664,-1.13261,0,0,0,0,0,0,0,0,0,-1.18031,0.0255664,1.13261,1655205589
-0.25438,2.46793,0.261028,-0.252017,2.48915,0.284941,-0.1778,1.28534,1.37963,-0.0327583,-0.00799652,-1.62615,0.00236243,0.0212266,0.023913,1655205589
-0.25438,2.46793,0.261028,-0.251504,2.48968,0.284931,-0.177829,1.28537,1.37964,-0.0326906,-0.00791037,-1.62569,0.00287572,0.0217524,0.023903,1655205590
-0.25438,2.46793,0.261028,-0.25205,2.48915,0.28493,-0.177805,1.28536,1.37964,-0.0328728,-0.00820178,-1.62582,0.00232953,0.0212207,0.0239022,1655205590
-0.25438,2.46793,0.261028,-0.252083,2.48914,0.285028,-0.177805,1.2854,1.37964,-0.0328581,-0.0079965,-1.62565,0.00229698,0.0212138,0.024,1655205590
-0.25438,2.46793,0.261028,-0.252147,2.48915,0.284915,-0.177812,1.28538,1.37964,-0.0327981,-0.00803561,-1.62573,0.00223309,0.021224,0.0238869,1655205591
-0.252811,2.46882,0.259611,-0.252069,2.48914,0.284982,-0.177813,1.28536,1.37963,-0.0325884,-0.00802097,-1.62568,0.000742257,0.0203269,0.0253713,1655205591
-0.252225,2.4729,0.25876,-0.252426,2.48881,0.284924,-0.177801,1.28536,1.37963,-0.0325416,-0.00793604,-1.62586,-0.000201285,0.0159159,0.0261641,1655205591
-0.253493,2.47622,0.254482,-0.253704,2.4881,0.285308,-0.177797,1.28536,1.37965,-0.0326804,-0.00789378,-1.62583,-0.000210822,0.0118735,0.0308258,1655205592
-0.252499,2.47478,0.256248,-0.253047,2.4889,0.284515,-0.177808,1.28532,1.37963,-0.0325602,-0.00796502,-1.62592,-0.000547707,0.0141277,0.0282671,1655205592
-0.252499,2.47478,0.256248,-0.252459,2.48882,0.284858,-0.177818,1.28534,1.37964,-0.0326469,-0.00801388,-1.62599,4.05014e-05,0.0140445,0.0286106,1655205592
-0.252499,2.47478,0.256248,-0.252501,2.48881,0.284867,-0.177823,1.28538,1.37963,-0.032546,-0.00789964,-1.62586,-1.87755e-06,0.01403,0.0286194,1655205593
-0.253118,2.47286,0.256492,-0.252314,2.48883,0.285014,-0.177809,1.28534,1.37963,-0.0327352,-0.00779813,-1.62608,0.000803143,0.0159659,0.0285224,1655205593
-0.252461,2.47413,0.25744,-0.2524,2.48882,0.284936,-0.177812,1.28539,1.37964,-0.0328065,-0.00800986,-1.62591,6.09159e-05,0.0146873,0.0274951,1655205594
-0.253384,2.47417,0.255031,-0.252374,2.48878,0.284928,-0.177806,1.2854,1.37963,-0.0328707,-0.00808164,-1.62567,0.00101003,0.014605,0.0298965,1655205594
-0.252515,2.47011,0.262744,-0.25204,2.48914,0.28491,-0.177809,1.28538,1.37963,-0.0326674,-0.00813821,-1.62611,0.000475317,0.0190315,0.0221665,1655205594
-0.252635,2.47415,0.259738,-0.252437,2.48878,0.284872,-0.177814,1.28537,1.37963,-0.0326025,-0.00799413,-1.62586,0.000197381,0.0146241,0.0251341,1655205595
-0.252715,2.4734,0.259143,-0.252061,2.48914,0.285,-0.177809,1.28539,1.37963,-0.0327419,-0.0079811,-1.62592,0.00065437,0.0157344,0.0258571,1655205595
-0.2532,2.47383,0.256069,-0.252431,2.48883,0.284889,-0.177813,1.28538,1.37963,-0.0327643,-0.00807395,-1.62585,0.000768989,0.0149996,0.0288197,1655205596
-0.2532,2.47383,0.256069,-0.252058,2.48915,0.28495,-0.177828,1.28537,1.37965,-0.0327318,-0.00794798,-1.62596,0.00114226,0.0153213,0.028881,1655205596
-0.2532,2.47383,0.256069,-0.253701,2.4881,0.285373,-0.177793,1.28536,1.37965,-0.032884,-0.00822447,-1.62608,-0.000501156,0.0142744,0.0293037,1655205596
-0.254414,2.4751,0.257923,-0.253145,2.48854,0.28519,-0.177817,1.28539,1.37963,-0.0327758,-0.00797869,-1.62588,0.00126868,0.0134482,0.0272678,1655205597
-0.252885,2.47338,0.259205,-0.252527,2.4888,0.284874,-0.1778,1.28537,1.3796,-0.0329105,-0.0079955,-1.626,0.000358224,0.0154185,0.025669,1655205597
-0.252655,2.47367,0.258261,-0.252097,2.48916,0.284953,-0.177831,1.28537,1.37963,-0.0325728,-0.00787323,-1.62589,0.000557989,0.0154874,0.0266919,1655205597
-0.252655,2.47367,0.258261,-0.254448,2.48835,0.285022,-0.177816,1.28538,1.37964,-0.032667,-0.00798841,-1.62574,-0.00179312,0.0146818,0.0267611,1655205598
-0.252512,2.47542,0.255118,-0.252403,2.48881,0.284945,-0.177834,1.28539,1.37964,-0.0322353,-0.00788917,-1.62561,0.000108689,0.0133862,0.0298267,1655205598
-0.252512,2.47542,0.255118,-0.252463,2.4888,0.284881,-0.177815,1.28538,1.37964,-0.0326448,-0.00793817,-1.62579,4.90248e-05,0.0133784,0.0297624,1655205599
-0.252906,2.47445,0.259203,-0.252075,2.48911,0.285068,-0.177807,1.28538,1.37964,-0.032561,-0.00800243,-1.62601,0.000831187,0.0146635,0.0258649,1655205599
-0.253253,2.47586,0.256643,-0.252003,2.48913,0.284955,-0.177808,1.28536,1.37964,-0.0326577,-0.0080539,-1.62584,0.00125024,0.0132694,0.0283125,1655205599
-0.253253,2.47586,0.256643,-0.253134,2.48854,0.285142,-0.177831,1.28537,1.37964,-0.0326558,-0.00787491,-1.62591,0.00011909,0.0126772,0.0284991,1655205600
