vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
1.25598,0.390913,-0.834072,0,0,0,0,0,0,0,0,0,-1.25598,-0.390913,0.834072,1655206330
1.25345,0.389425,-0.829698,0,0,0,0,0,0,0,0,0,-1.25345,-0.389425,0.829698,1655206330
1.25469,0.390166,-0.82898,0,0,0,0,0,0,0,0,0,-1.25469,-0.390166,0.82898,1655206330
1.25907,0.391009,-0.830578,0,0,0,0,0,0,0,0,0,-1.25907,-0.391009,0.830578,1655206331
1.26124,0.392428,-0.836783,0,0,0,0,0,0,0,0,0,-1.26124,-0.392428,0.836783,1655206331
1.25999,0.392097,-0.834721,0,0,0,0,0,0,0,0,0,-1.25999,-0.392097,0.834721,1655206332
1.25948,0.391613,-0.83293,0,0,0,0,0,0,0,0,0,-1.25948,-0.391613,0.83293,1655206332
1.34276,0.522714,0.505749,1.35237,0.518598,0.531569,0.144726,1.02176,1.37047,0.0386284,0.014619,0.675342,0.00960469,-0.00411594,0.0258207,1655206332
1.345,0.521319,0.504493,1.35235,0.518559,0.531604,0.144634,1.02166,1.3704,0.0382094,0.0145071,0.675389,0.00735736,-0.00276047,0.0271109,1655206333
1.34339,0.523655,0.50513,1.35237,0.518567,0.531623,0.14462,1.02166,1.37039,0.0380494,0.0146596,0.675506,0.00898147,-0.00508773,0.0264932,1655206333
1.34438,0.522048,0.503095,1.35234,0.51852,0.531639,0.144634,1.02167,1.37042,0.0381361,0.0142817,0.675502,0.00795996,-0.00352728,0.0285439,1655206333
1.34447,0.522619,0.506168,1.35213,0.518434,0.531643,0.144766,1.02175,1.37047,0.038487,0.0146082,0.675466,0.00765944,-0.00418484,0.025475,1655206334
1.34412,0.523529,0.503197,1.35238,0.518523,0.531598,0.144636,1.02166,1.37042,0.0380699,0.0143941,0.67535,0.00826085,-0.00500667,0.0284017,1655206334
1.34441,0.522261,0.506879,1.35218,0.518465,0.531563,0.144624,1.02167,1.37039,0.0382337,0.0145604,0.675404,0.00777817,-0.0037961,0.0246834,1655206335
1.34384,0.52372,0.504189,1.35214,0.518518,0.531565,0.14463,1.02165,1.37039,0.0382818,0.0144453,0.675344,0.00829911,-0.0052017,0.027376,1655206335
1.3441,0.521859,0.503972,1.35216,0.518461,0.531618,0.14463,1.02165,1.3704,0.0381178,0.0145399,0.675496,0.00805414,-0.00339741,0.027647,1655206335
1.34409,0.522783,0.50483,1.35231,0.518533,0.531602,0.144636,1.02167,1.37041,0.0379267,0.0146006,0.675336,0.00821733,-0.00424904,0.0267717,1655206336
1.34449,0.521704,0.502146,1.35244,0.518622,0.531601,0.144639,1.02164,1.37041,0.0381907,0.0145373,0.675442,0.00795186,-0.00308156,0.0294551,1655206336
1.34489,0.521799,0.502998,1.35235,0.518522,0.531595,0.14465,1.02169,1.37043,0.0381045,0.0145479,0.675379,0.00746202,-0.00327736,0.0285972,1655206337
1.34339,0.522623,0.505289,1.35254,0.518658,0.531589,0.144646,1.02168,1.37043,0.0380896,0.0143596,0.675341,0.00914717,-0.00396526,0.0263,1655206337
1.34366,0.522756,0.504932,1.35256,0.518655,0.531582,0.144654,1.02168,1.37041,0.0380501,0.0144952,0.675381,0.00890374,-0.00410026,0.0266501,1655206337
1.3447,0.521389,0.506253,1.35219,0.518511,0.531588,0.144632,1.02165,1.37041,0.0382038,0.0144305,0.675379,0.00749063,-0.00287747,0.025335,1655206338
1.34568,0.522346,0.502085,1.35234,0.518578,0.531593,0.144616,1.02166,1.3704,0.038209,0.0144318,0.675331,0.00665545,-0.00376737,0.029508,1655206338
1.34302,0.522903,0.508232,1.35235,0.518548,0.531564,0.144644,1.02167,1.37041,0.0380654,0.0144105,0.675453,0.00932872,-0.00435489,0.0233318,1655206338
1.34685,0.522052,0.499933,1.35246,0.518636,0.531568,0.144641,1.02165,1.37041,0.0381376,0.014474,0.675395,0.00561023,-0.00341642,0.0316356,1655206339
1.34503,0.521521,0.503646,1.35219,0.518501,0.531621,0.144599,1.02164,1.3704,0.0382415,0.0146145,0.675392,0.00716221,-0.00301921,0.0279752,1655206339
1.3436,0.522536,0.501375,1.35249,0.518556,0.531582,0.144641,1.02164,1.37041,0.0382578,0.0145251,0.675378,0.0088948,-0.00398076,0.0302067,1655206340
1.34462,0.521747,0.501653,1.35242,0.518551,0.531574,0.144626,1.02165,1.37038,0.0380957,0.0146076,0.675463,0.00779366,-0.0031957,0.0299208,1655206340
1.34486,0.521509,0.503835,1.35239,0.518587,0.531561,0.144639,1.02167,1.3704,0.0383954,0.0146143,0.675349,0.00752592,-0.00292122,0.0277262,1655206340
1.34331,0.523796,0.504702,1.35242,0.518585,0.531574,0.144618,1.02164,1.37038,0.0380825,0.0145824,0.675346,0.00911033,-0.00521088,0.0268722,1655206341
1.34365,0.523499,0.507233,1.35241,0.51856,0.531609,0.144618,1.02167,1.37041,0.0381352,0.0146188,0.675295,0.00876391,-0.00493819,0.0243759,1655206341
1.34355,0.523096,0.502624,1.35242,0.518598,0.531564,0.144627,1.02164,1.37039,0.0381711,0.014511,0.675458,0.00887203,-0.00449789,0.02894,1655206341
1.34506,0.522664,0.501769,1.35253,0.518665,0.531573,0.14461,1.02165,1.3704,0.0382523,0.0145006,0.675377,0.007465,-0.00399888,0.0298045,1655206342
1.34481,0.523076,0.504011,1.35231,0.518472,0.53164,0.144647,1.02165,1.37041,0.038188,0.0144262,0.675429,0.00749731,-0.00460374,0.0276288,1655206342
1.3456,0.520547,0.505076,1.35234,0.518525,0.531608,0.144649,1.02164,1.3704,0.0381569,0.0143744,0.675402,0.0067457,-0.00202239,0.0265324,1655206343
1.34445,0.522103,0.501122,1.35244,0.518645,0.53151,0.144631,1.02165,1.37038,0.0380879,0.014571,0.675466,0.00799525,-0.00345778,0.0303879,1655206343
1.34556,0.521993,0.506084,1.35234,0.518618,0.531486,0.144607,1.02165,1.3704,0.0381351,0.0144874,0.675399,0.00677931,-0.00337499,0.0254021,1655206343
1.34088,0.522128,0.505078,1.35247,0.518635,0.5316,0.144617,1.02164,1.37041,0.0382156,0.0145361,0.67537,0.011591,-0.00349289,0.0265217,1655206344
1.3442,0.521464,0.506682,1.35235,0.518565,0.531612,0.144643,1.02166,1.3704,0.0381684,0.0144966,0.675529,0.00814712,-0.0028984,0.0249298,1655206344
1.34034,0.523105,0.506397,1.35232,0.518457,0.531584,0.14463,1.02165,1.37042,0.0382356,0.0143774,0.675415,0.0119809,-0.00464779,0.0251871,1655206345
1.34464,0.52244,0.503784,1.35249,0.518634,0.531575,0.14463,1.02164,1.37039,0.038121,0.0146778,0.675521,0.00784898,-0.00380528,0.027791,1655206345
1.34165,0.523361,0.503649,1.35235,0.518526,0.531582,0.144607,1.02163,1.3704,0.0382125,0.0146911,0.675446,0.0107042,-0.00483453,0.0279331,1655206345
1.3466,0.521518,0.504305,1.35232,0.518554,0.531533,0.144634,1.02166,1.37039,0.0380463,0.014567,0.6753,0.00572038,-0.00296432,0.0272274,1655206346
1.34423,0.522446,0.501449,1.35234,0.518508,0.531667,0.144626,1.02164,1.37041,0.0381423,0.0145171,0.675419,0.00810623,-0.00393814,0.0302173,1655206346
1.34577,0.521359,0.501925,1.35232,0.518501,0.531583,0.144639,1.02166,1.37042,0.0382964,0.0144152,0.67536,0.00654685,-0.00285745,0.029658,1655206346
1.345,0.521766,0.50478,1.35226,0.518456,0.531531,0.144599,1.02164,1.3704,0.0380464,0.0145728,0.675428,0.00726438,-0.00331062,0.0267512,1655206347
1.34389,0.521685,0.506552,1.35236,0.518535,0.531566,0.144614,1.02165,1.3704,0.0382787,0.0144281,0.675427,0.00847006,-0.00314999,0.0250143,1655206347
1.34479,0.521639,0.50331,1.35226,0.518548,0.531572,0.144649,1.02163,1.37039,0.0381279,0.0145107,0.675673,0.0074712,-0.00309068,0.0282618,1655206347
1.34606,0.522853,0.503537,1.35239,0.518555,0.531579,0.144663,1.02166,1.3704,0.0380952,0.0144046,0.675285,0.00633049,-0.00429869,0.0280414,1655206348
1.34273,0.522508,0.501868,1.35242,0.518566,0.53153,0.144704,1.02171,1.37044,0.0386104,0.0148145,0.675579,0.00968409,-0.00394142,0.0296623,1655206348
1.34348,0.522692,0.500546,1.35217,0.518511,0.531633,0.144618,1.02164,1.3704,0.0382467,0.0145793,0.675566,0.00869179,-0.00418061,0.0310865,1655206348
1.3436,0.522579,0.50243,1.3523,0.518512,0.531608,0.144624,1.02164,1.3704,0.0379977,0.0144728,0.675385,0.00869596,-0.00406671,0.029178,1655206349
1.34363,0.522085,0.502273,1.35244,0.5186,0.531514,0.144611,1.02166,1.3704,0.0382228,0.0144924,0.67533,0.0088141,-0.00348514,0.0292413,1655206349
1.34363,0.521801,0.502908,1.35246,0.518596,0.531575,0.144621,1.02163,1.3704,0.0381664,0.0144992,0.675431,0.0088309,-0.00320494,0.0286666,1655206350
1.3437,0.522276,0.504652,1.35222,0.518513,0.531594,0.144629,1.02166,1.37041,0.0381404,0.0143737,0.67548,0.00851786,-0.00376266,0.0269426,1655206350
1.34486,0.52215,0.505347,1.35221,0.518536,0.531609,0.144606,1.02164,1.3704,0.0381259,0.0146417,0.675353,0.00735235,-0.00361431,0.0262616,1655206350
1.34501,0.52298,0.505751,1.35221,0.518489,0.531614,0.144621,1.02162,1.37038,0.0383056,0.0145607,0.675502,0.00719917,-0.00449085,0.0258632,1655206351
1.34393,0.522263,0.504993,1.35241,0.518587,0.531558,0.144636,1.02165,1.37038,0.0380353,0.0145133,0.675425,0.00848019,-0.00367588,0.0265657,1655206351
1.34347,0.522447,0.501586,1.35233,0.518576,0.531553,0.14463,1.02163,1.3704,0.0380685,0.0146389,0.675473,0.00886154,-0.0038712,0.0299668,1655206351
1.34194,0.522002,0.508494,1.3524,0.518618,0.531548,0.144632,1.02166,1.37039,0.0382623,0.0145649,0.675309,0.0104561,-0.00338399,0.0230544,1655206352
1.34202,0.522772,0.505167,1.35225,0.518534,0.531575,0.144626,1.02164,1.3704,0.0382481,0.0146391,0.675585,0.0102308,-0.00423771,0.0264081,1655206352
1.3432,0.523081,0.506752,1.35229,0.518506,0.531569,0.144636,1.02163,1.37042,0.0381294,0.014608,0.675477,0.00909412,-0.00457525,0.0248174,1655206352
1.3426,0.522974,0.507032,1.3522,0.518465,0.531561,0.144626,1.02165,1.3704,0.0382691,0.0145698,0.675422,0.00959909,-0.00450897,0.0245288,1655206353
1.34392,0.522124,0.502068,1.35227,0.518522,0.531597,0.144613,1.02166,1.3704,0.0380297,0.0145519,0.6754,0.00835454,-0.00360173,0.0295288,1655206353
1.3451,0.522345,0.50457,1.35239,0.51856,0.53153,0.144666,1.02167,1.3704,0.0380383,0.0142641,0.675387,0.00729048,-0.00378561,0.0269602,1655206354
1.34243,0.522974,0.504195,1.35254,0.518676,0.531509,0.144644,1.02165,1.3704,0.0381826,0.0147304,0.675433,0.01011,-0.00429809,0.0273144,1655206354
1.34429,0.522125,0.504366,1.35231,0.51855,0.531537,0.144643,1.02165,1.3704,0.0383261,0.0144688,0.675245,0.00801218,-0.00357485,0.0271708,1655206354
1.34307,0.522454,0.499794,1.35251,0.518629,0.531547,0.144616,1.02166,1.37042,0.0380334,0.0144628,0.675505,0.00944459,-0.00382525,0.0317538,1655206355
1.34436,0.52308,0.5014,1.35229,0.518546,0.531542,0.144627,1.02164,1.3704,0.0382616,0.0146376,0.675424,0.0079236,-0.00453418,0.0301421,1655206355
1.34523,0.521358,0.503543,1.35209,0.518466,0.531538,0.144633,1.02166,1.3704,0.0381598,0.0145408,0.675397,0.00685883,-0.00289214,0.0279948,1655206355
1.34653,0.520094,0.506583,1.35241,0.518591,0.531583,0.144613,1.02163,1.37038,0.0382227,0.0147817,0.675514,0.00587845,-0.00150281,0.0249996,1655206356
1.34409,0.522379,0.503465,1.3522,0.518479,0.531605,0.144622,1.02164,1.3704,0.0381605,0.0145063,0.67549,0.00811172,-0.00389999,0.0281397,1655206356
1.34523,0.521672,0.503575,1.35243,0.518556,0.531526,0.144667,1.02165,1.3704,0.0382458,0.0143931,0.675357,0.0071919,-0.00311649,0.0279511,1655206356
1.34329,0.523746,0.504003,1.35223,0.518504,0.531554,0.144645,1.02164,1.37039,0.0382572,0.0145175,0.675288,0.00893486,-0.00524223,0.0275514,1655206357
1.34274,0.522557,0.501358,1.35232,0.518511,0.531583,0.144623,1.02165,1.37041,0.0382058,0.0145301,0.675451,0.00958586,-0.00404596,0.0302246,1655206357
1.34418,0.523188,0.500985,1.35231,0.518555,0.53156,0.144634,1.02166,1.3704,0.0382259,0.0145636,0.675405,0.00813019,-0.00463313,0.030575,1655206357
1.34415,0.521358,0.505082,1.35227,0.518526,0.531575,0.144621,1.02164,1.37042,0.038106,0.0146149,0.675449,0.00812864,-0.00283217,0.026493,1655206358
1.34287,0.522106,0.504978,1.35241,0.518533,0.531589,0.144643,1.02164,1.37042,0.0382911,0.0143298,0.675423,0.00953901,-0.003573,0.0266107,1655206358
1.34341,0.521537,0.503906,1.35237,0.518602,0.531537,0.144614,1.02164,1.37039,0.0383202,0.0145202,0.675515,0.00895524,-0.00293499,0.0276312,1655206358
1.34586,0.52025,0.503072,1.3522,0.518478,0.531531,0.144626,1.02164,1.3704,0.0383032,0.0146468,0.675424,0.0063349,-0.00177258,0.0284594,1655206359
1.34456,0.5226,0.502571,1.35236,0.518558,0.531536,0.144625,1.02165,1.37041,0.038198,0.0146214,0.675512,0.00780571,-0.00404185,0.0289646,1655206359
1.34195,0.52226,0.508871,1.35245,0.518584,0.531531,0.144612,1.02165,1.37041,0.0383262,0.0145489,0.675395,0.0105023,-0.00367618,0.02266,1655206360
1.34567,0.521906,0.504861,1.3523,0.518524,0.531581,0.144594,1.02163,1.37039,0.0381846,0.0146453,0.675572,0.00663459,-0.00338244,0.0267194,1655206360
