vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655215908
0,0,0,0.841929,0.81881,0.258913,-0.263411,-0.460641,0.200719,0.018249,-0.012346,0.0656144,0.841929,0.81881,0.258913,1655215908
0,0,0,0.841916,0.818788,0.258956,-0.263424,-0.460884,0.200891,0.0204614,-0.0102043,0.0643677,0.841916,0.818788,0.258956,1655215908
0,0,0,0.841914,0.81885,0.258854,-0.263447,-0.460832,0.200813,0.0206587,-0.0103937,0.0642906,0.841914,0.81885,0.258854,1655215909
0,0,0,0.84193,0.818777,0.258891,-0.263436,-0.460689,0.200719,0.0182305,-0.01231,0.0655166,0.84193,0.818777,0.258891,1655215909
0,0,0,0.841738,0.818942,0.25873,-0.263433,-0.460689,0.200743,0.0182789,-0.0124282,0.0653816,0.841738,0.818942,0.25873,1655215910
0,0,0,0.841906,0.818851,0.258843,-0.263447,-0.460639,0.200599,0.0182309,-0.0124312,0.0656856,0.841906,0.818851,0.258843,1655215910
0,0,0,0.843004,0.819115,0.258779,-0.263416,-0.460683,0.200711,0.0183372,-0.0123541,0.0654015,0.843004,0.819115,0.258779,1655215911
0,0,0,0.841923,0.818829,0.258898,-0.26343,-0.460667,0.200672,0.0182057,-0.0124552,0.0656407,0.841923,0.818829,0.258898,1655215911
0,0,0,0.841888,0.81878,0.258928,-0.263424,-0.460701,0.20074,0.0180741,-0.0121726,0.0653847,0.841888,0.81878,0.258928,1655215911
0,0,0,0.841917,0.81884,0.258906,-0.263441,-0.460627,0.200652,0.018263,-0.0126549,0.0656336,0.841917,0.81884,0.258906,1655215912
0,0,0,0.841888,0.818816,0.258875,-0.26343,-0.460634,0.200643,0.0182358,-0.0128433,0.0655993,0.841888,0.818816,0.258875,1655215912
0,0,0,0.841898,0.818788,0.258935,-0.263429,-0.4607,0.200729,0.0184047,-0.0121658,0.0655572,0.841898,0.818788,0.258935,1655215913
0,0,0,0.841916,0.81884,0.25889,-0.263421,-0.460671,0.200664,0.018294,-0.0123194,0.0657259,0.841916,0.81884,0.25889,1655215913
0,0,0,0.842585,0.818979,0.258812,-0.263429,-0.460688,0.200709,0.0182774,-0.0121796,0.0654589,0.842585,0.818979,0.258812,1655215913
0,0,0,0.842543,0.819002,0.258735,-0.263426,-0.460683,0.200641,0.0181752,-0.0125609,0.0654971,0.842543,0.819002,0.258735,1655215914
0,0,0,0.841912,0.818794,0.258937,-0.263448,-0.460683,0.200673,0.0181491,-0.0123949,0.0655829,0.841912,0.818794,0.258937,1655215914
0,0,0,0.841907,0.818802,0.258903,-0.263445,-0.46068,0.200647,0.0182063,-0.0126217,0.0654293,0.841907,0.818802,0.258903,1655215914
0,0,0,0.841915,0.818821,0.258939,-0.263429,-0.460673,0.200648,0.0184948,-0.0122983,0.0656043,0.841915,0.818821,0.258939,1655215915
0,0,0,0.841906,0.81878,0.25892,-0.26342,-0.460703,0.20073,0.0182163,-0.0124261,0.0652512,0.841906,0.81878,0.25892,1655215915
0,0,0,0.841894,0.818821,0.258876,-0.263435,-0.460684,0.200668,0.0184193,-0.012552,0.0655586,0.841894,0.818821,0.258876,1655215915
0,0,0,0.841897,0.818852,0.258883,-0.263424,-0.460637,0.200624,0.0182924,-0.0127894,0.0656905,0.841897,0.818852,0.258883,1655215916
0,0,0,0.841885,0.818838,0.258821,-0.263442,-0.460625,0.200619,0.0182555,-0.0123315,0.0655733,0.841885,0.818838,0.258821,1655215916
