vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,t
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654438958
0,0,0,0.565749,0.309726,0.122768,-0.752444,0.167839,0.136674,0.0038288,-0.0140337,0.00281754,0.565749,0.309726,0.122768,1654438958
0,0,0,0.565786,0.309777,0.122753,-0.752422,0.167878,0.136716,0.00410212,-0.0139071,0.00296024,0.565786,0.309777,0.122753,1654438959
0,0,0,0.565739,0.309807,0.122767,-0.752412,0.167863,0.136715,0.00414749,-0.0137457,0.00275533,0.565739,0.309807,0.122767,1654438959
0,0,0,0.565754,0.309788,0.122862,-0.752427,0.167813,0.136682,0.00429355,-0.0136546,0.00273739,0.565754,0.309788,0.122862,1654438960
0,0,0,0.56571,0.30976,0.122827,-0.752431,0.167825,0.136669,0.00425694,-0.0137515,0.0029222,0.56571,0.30976,0.122827,1654438960
0,0,0,0.565743,0.309786,0.12282,-0.752425,0.167836,0.136699,0.00405489,-0.013755,0.00260563,0.565743,0.309786,0.12282,1654438960
0,0,0,0.565738,0.309792,0.122809,-0.752415,0.167854,0.136688,0.00401622,-0.0138738,0.00289156,0.565738,0.309792,0.122809,1654438961
0,0,0,0.565682,0.309807,0.122822,-0.752429,0.16785,0.136668,0.00417875,-0.0138336,0.00294283,0.565682,0.309807,0.122822,1654438961
0,0,0,0.565701,0.309771,0.122829,-0.752418,0.167826,0.136672,0.00455993,-0.0139259,0.00267664,0.565701,0.309771,0.122829,1654438962
0,0,0,0.56576,0.309791,0.122806,-0.752411,0.167828,0.136693,0.00414375,-0.0136665,0.00279602,0.56576,0.309791,0.122806,1654438962
0,0,0,0.565782,0.30975,0.122765,-0.752428,0.167835,0.136698,0.00400794,-0.0139073,0.002896,0.565782,0.30975,0.122765,1654438962
0,0,0,0.565723,0.309759,0.122834,-0.752409,0.167821,0.136701,0.00456036,-0.013439,0.00271616,0.565723,0.309759,0.122834,1654438963
0,0,0,0.5658,0.309786,0.122784,-0.752394,0.167858,0.13669,0.00404669,-0.0137977,0.00290257,0.5658,0.309786,0.122784,1654438963
0,0,0,0.564081,0.310623,0.123685,-0.752269,0.167874,0.13655,0.00526922,-0.012662,0.003156,0.564081,0.310623,0.123685,1654438964
0,0,0,0.565654,0.309772,0.122842,-0.752408,0.167833,0.136684,0.00401511,-0.0137884,0.00283341,0.565654,0.309772,0.122842,1654438964
0,0,0,0.565708,0.309829,0.122869,-0.752412,0.16783,0.13668,0.00415587,-0.0137559,0.00269684,0.565708,0.309829,0.122869,1654438964
0,0,0,0.565696,0.309769,0.122834,-0.752438,0.167847,0.136682,0.00385751,-0.0137419,0.0027487,0.565696,0.309769,0.122834,1654438965
0,0,0,0.565701,0.309786,0.122824,-0.752425,0.16783,0.136662,0.00432538,-0.0137634,0.00267586,0.565701,0.309786,0.122824,1654438965
0,0,0,0.565711,0.309789,0.122827,-0.752392,0.167834,0.136736,0.00425596,-0.0136751,0.0027063,0.565711,0.309789,0.122827,1654438966
0,0,0,0.565703,0.309812,0.122815,-0.752266,0.167873,0.136566,0.00531561,-0.0125182,0.00286962,0.565703,0.309812,0.122815,1654438966
0,0,0,0.565733,0.309789,0.122792,-0.752433,0.167826,0.136677,0.00435288,-0.0134273,0.00294245,0.565733,0.309789,0.122792,1654438967
0,0,0,0.565718,0.309759,0.122802,-0.752417,0.167813,0.136708,0.00448965,-0.0135383,0.00279024,0.565718,0.309759,0.122802,1654438967
0,0,0,0.565789,0.309782,0.122837,-0.752399,0.167821,0.136724,0.00446372,-0.0135157,0.00273587,0.565789,0.309782,0.122837,1654438968
0,0,0,0.565757,0.309779,0.122814,-0.752437,0.167807,0.136688,0.00429106,-0.0136523,0.0027927,0.565757,0.309779,0.122814,1654438968
0,0,0,0.565693,0.309758,0.122789,-0.752433,0.167808,0.136684,0.00437974,-0.0134847,0.00275691,0.565693,0.309758,0.122789,1654438968
0,0,0,0.565699,0.30975,0.122825,-0.752255,0.167873,0.136587,0.00523325,-0.0124205,0.00290813,0.565699,0.30975,0.122825,1654438969
0,0,0,0.565685,0.309755,0.122826,-0.752425,0.167839,0.136686,0.00448888,-0.0137374,0.00275903,0.565685,0.309755,0.122826,1654438969
0,0,0,0.565753,0.309765,0.12278,-0.752428,0.167823,0.136722,0.00443172,-0.0135565,0.00287051,0.565753,0.309765,0.12278,1654438970
0,0,0,0.56573,0.309762,0.122771,-0.752381,0.167787,0.136689,0.00434733,-0.0136999,0.00277998,0.56573,0.309762,0.122771,1654438970
0,0,0,0.565781,0.309757,0.122782,-0.752431,0.167817,0.136695,0.00351095,-0.0136952,0.00282652,0.565781,0.309757,0.122782,1654438970
0,0,0,0.565768,0.309713,0.122739,-0.752421,0.167788,0.136676,0.0041309,-0.0136597,0.00263761,0.565768,0.309713,0.122739,1654438971
0,0,0,0.565718,0.309794,0.122816,-0.752443,0.167832,0.136682,0.00444169,-0.0137504,0.00286185,0.565718,0.309794,0.122816,1654438971
0,0,0,0.565685,0.309757,0.122828,-0.752422,0.167827,0.13664,0.00387343,-0.0139689,0.00287169,0.565685,0.309757,0.122828,1654438971
0,0,0,0.565793,0.309721,0.122764,-0.752288,0.167848,0.13659,0.00531034,-0.0124527,0.00286004,0.565793,0.309721,0.122764,1654438972
0,0,0,0.565733,0.30972,0.122804,-0.752412,0.16779,0.136681,0.00399879,-0.0135918,0.00280313,0.565733,0.30972,0.122804,1654438972
0,0,0,0.56578,0.309779,0.122804,-0.752436,0.167854,0.136682,0.00385214,-0.0139454,0.00274825,0.56578,0.309779,0.122804,1654438972
0,0,0,0.565665,0.309747,0.122807,-0.752439,0.16781,0.136678,0.00404788,-0.013683,0.00292624,0.565665,0.309747,0.122807,1654438973
0,0,0,0.565757,0.30978,0.122756,-0.752416,0.16782,0.136677,0.00385854,-0.0139505,0.0028749,0.565757,0.30978,0.122756,1654438973
0,0,0,0.565727,0.309779,0.122797,-0.752431,0.167803,0.136678,0.00394176,-0.0139657,0.00295019,0.565727,0.309779,0.122797,1654438974
0,0,0,0.565784,0.309715,0.122785,-0.752409,0.167802,0.136696,0.00394498,-0.0137727,0.0027167,0.565784,0.309715,0.122785,1654438974
0,0,0,0.565723,0.309792,0.12286,-0.752417,0.167799,0.136664,0.0041752,-0.0139433,0.00273125,0.565723,0.309792,0.12286,1654438974
0,0,0,0.565853,0.30976,0.122765,-0.752419,0.167796,0.136718,0.00460683,-0.0134162,0.0027745,0.565853,0.30976,0.122765,1654438975
0,0,0,0.565772,0.309771,0.122808,-0.752412,0.167797,0.136702,0.00417437,-0.0135883,0.00270149,0.565772,0.309771,0.122808,1654438975
0,0,0,0.565728,0.309719,0.122802,-0.752407,0.167804,0.136709,0.00434621,-0.0134703,0.00273724,0.565728,0.309719,0.122802,1654438975
0,0,0,0.565752,0.309753,0.122805,-0.752447,0.167823,0.136683,0.00393257,-0.0137021,0.0028829,0.565752,0.309753,0.122805,1654438976
0,0,0,0.564128,0.310549,0.123673,-0.752405,0.167776,0.13669,0.00437931,-0.0135308,0.00266858,0.564128,0.310549,0.123673,1654438976
0,0,0,0.565735,0.309749,0.12281,-0.752449,0.16782,0.136662,0.00419384,-0.0136058,0.00279043,0.565735,0.309749,0.12281,1654438977
0,0,0,0.565778,0.309734,0.12277,-0.752402,0.167795,0.136717,0.00467628,-0.0135068,0.00263874,0.565778,0.309734,0.12277,1654438977
