vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
-0.117196,-0.122742,0.337845,0,0,0,0,0,0,0,0,0,0.117196,0.122742,-0.337845,0,0,0,1656244630
0.0251056,-0.108175,0.189525,-1.65159,1.28663,0.286433,-1.56707,-0.0456583,1.38773,-0.0195027,-0.00763578,-1.56783,-1.6767,1.3948,0.0969082,0.0845263,-1.33228,1.10129,1656244631
-0.123842,0.0309727,0.181858,-1.65166,1.2867,0.286446,-1.56681,-0.0457029,1.3873,-0.0190811,-0.00413148,-1.56777,-1.52782,1.25573,0.104587,0.0848536,-1.33241,1.10085,1656244632
-0.272967,0.169778,0.17301,-1.65176,1.28673,0.286518,-1.56699,-0.0455844,1.38758,-0.0225596,-0.00678575,-1.56915,-1.3788,1.11695,0.113508,0.0847769,-1.33231,1.10106,1656244632
-0.422521,0.309105,0.165791,-1.65164,1.28665,0.286446,-1.56685,-0.0454506,1.38769,-0.0206362,-0.0052023,-1.56843,-1.22911,0.977548,0.120655,0.0847833,-1.3321,1.10124,1656244632
-0.572023,0.448506,0.155876,-1.65097,1.28859,0.285346,-1.56694,-0.0456347,1.38755,-0.0220959,-0.00664425,-1.56903,-1.07895,0.840085,0.12947,0.0840324,-1.33423,1.10221,1656244633
-0.721685,0.587586,0.148943,-1.65099,1.2889,0.285289,-1.56694,-0.0455872,1.38755,-0.022496,-0.00684155,-1.56939,-0.929309,0.701312,0.136346,0.084058,-1.33449,1.10226,1656244633
-0.870838,0.726977,0.140509,-1.65171,1.28671,0.286496,-1.56693,-0.0455995,1.38754,-0.0220482,-0.00645093,-1.56895,-0.78087,0.559731,0.145987,0.0847797,-1.33231,1.10105,1656244633
-1.01987,0.866165,0.131953,-1.65006,1.28827,0.284722,-1.56691,-0.0455998,1.38754,-0.0221737,-0.00688642,-1.56925,-0.630185,0.422105,0.152769,0.0831516,-1.33387,1.10281,1656244634
-1.16978,1.00537,0.123796,-1.651,1.28884,0.285359,-1.56696,-0.045613,1.38757,-0.0223011,-0.00681077,-1.56898,-0.481213,0.283466,0.161563,0.0840398,-1.33445,1.10221,1656244634
-1.31979,1.14474,0.116468,-1.65164,1.28691,0.286354,-1.56697,-0.0456127,1.38758,-0.0222404,-0.00705792,-1.56909,-0.331852,0.142173,0.169886,0.0846723,-1.33253,1.10123,1656244634
-1.61198,1.26922,0.257219,-1.65164,1.28681,0.286377,-1.56693,-0.0456328,1.38753,-0.0222998,-0.00682693,-1.56911,-0.039658,0.0175847,0.0291573,0.084712,-1.33244,1.10116,1656244635
-1.6125,1.26945,0.255638,-1.65166,1.28663,0.28648,-1.56692,-0.0456109,1.38755,-0.0218124,-0.00661819,-1.56901,-0.0391628,0.0171859,0.0308418,0.084738,-1.33224,1.10107,1656244635
-1.61306,1.26995,0.255872,-1.65008,1.28799,0.284854,-1.56695,-0.0456138,1.38755,-0.0221386,-0.00660613,-1.56899,-0.0370202,0.0180395,0.0289819,0.0831351,-1.33361,1.1027,1656244636
-1.61313,1.26981,0.255224,-1.65171,1.28678,0.286447,-1.56696,-0.0456321,1.38754,-0.0216617,-0.00668302,-1.56877,-0.0385782,0.0169783,0.0312225,0.0847481,-1.33242,1.1011,1656244636
-1.61341,1.27003,0.255652,-1.65165,1.28663,0.286467,-1.56697,-0.0456007,1.38758,-0.0222876,-0.0066864,-1.56904,-0.0382365,0.0165936,0.0308145,0.0846803,-1.33223,1.10112,1656244636
-1.61364,1.2701,0.25606,-1.65172,1.28679,0.286479,-1.56696,-0.0456757,1.38754,-0.022025,-0.00675471,-1.56905,-0.038082,0.0166891,0.030419,0.0847609,-1.33246,1.10106,1656244637
-1.61356,1.26979,0.256546,-1.65084,1.28624,0.285949,-1.56696,-0.0456676,1.38749,-0.0219885,-0.00634067,-1.56893,-0.0372812,0.0164417,0.0294026,0.0838845,-1.3319,1.10154,1656244637
-1.61354,1.26996,0.256545,-1.65105,1.28881,0.285383,-1.56692,-0.045652,1.38754,-0.0223153,-0.00681755,-1.56914,-0.0375183,0.0188496,0.0288377,0.0841366,-1.33446,1.10215,1656244637
-1.61356,1.27008,0.25657,-1.6507,1.28613,0.285886,-1.56703,-0.0456446,1.38771,-0.0196895,-0.0074053,-1.56804,-0.0371341,0.0160435,0.0293164,0.0836675,-1.33177,1.10182,1656244638
-1.61319,1.26993,0.257299,-1.65154,1.28689,0.28636,-1.56681,-0.0454426,1.38766,-0.0206243,-0.00540992,-1.56851,-0.0383519,0.0169559,0.0290619,0.0847335,-1.33233,1.1013,1656244638
-1.61294,1.27004,0.257079,-1.65081,1.28628,0.285949,-1.56696,-0.045616,1.38757,-0.0223412,-0.00706921,-1.56905,-0.0378677,0.0162386,0.0288702,0.0838481,-1.3319,1.10162,1656244639
-1.61283,1.2699,0.257804,-1.65161,1.28689,0.286329,-1.56691,-0.0456208,1.38755,-0.0222048,-0.00666635,-1.56903,-0.0387776,0.0169964,0.0285249,0.0847023,-1.33251,1.10122,1656244639
-1.61276,1.26953,0.258374,-1.65172,1.28675,0.286473,-1.56705,-0.0457027,1.38771,-0.0197166,-0.00764466,-1.56781,-0.0389527,0.0172158,0.0280985,0.084669,-1.33245,1.10124,1656244639
-1.61224,1.26981,0.258977,-1.65177,1.28682,0.286494,-1.56678,-0.045687,1.38748,-0.0220561,-0.00653342,-1.56903,-0.039534,0.0170087,0.0275167,0.0849917,-1.33251,1.10099,1656244640
-1.6122,1.26989,0.260211,-1.65075,1.28618,0.285892,-1.56683,-0.0456971,1.38748,-0.0216975,-0.00649178,-1.56893,-0.0385535,0.0162888,0.0256815,0.0839205,-1.33188,1.10159,1656244640
-1.61206,1.27002,0.259727,-1.65159,1.28669,0.286453,-1.56687,-0.045771,1.38747,-0.0222719,-0.006762,-1.56916,-0.0395339,0.0166657,0.0267264,0.0847236,-1.33246,1.10102,1656244640
-1.61209,1.27012,0.260056,-1.65162,1.28684,0.286425,-1.5669,-0.0463613,1.38736,-0.0174364,-0.00694616,-1.56823,-0.0395268,0.0167161,0.0263692,0.0847213,-1.3332,1.10094,1656244641
-1.61147,1.27024,0.261431,-1.65164,1.28676,0.286388,-1.56731,-0.0459651,1.38766,-0.0201193,-0.00799237,-1.56747,-0.0401642,0.0165223,0.0249575,0.084323,-1.33273,1.10127,1656244641
-1.61107,1.27018,0.260858,-1.65005,1.28825,0.284792,-1.56825,-0.0440784,1.38709,-0.0418876,0.00924852,-1.57601,-0.0389807,0.0180656,0.0239343,0.0818019,-1.33233,1.1023,1656244641
-1.61518,1.26868,0.26028,-1.65166,1.2867,0.286439,-1.56915,-0.0447579,1.38783,-0.0262358,-0.00138102,-1.56535,-0.0364808,0.0180171,0.0261597,0.0825043,-1.33146,1.10139,1656244642
-1.61626,1.26805,0.261059,-1.65173,1.28666,0.286481,-1.57107,-0.0441649,1.3873,-0.0157228,-0.00203771,-1.55876,-0.0354719,0.0186093,0.0254213,0.0806632,-1.33082,1.10082,1656244642
-1.61518,1.26775,0.262351,-1.6508,1.28618,0.285984,-1.5729,-0.0434539,1.38753,-0.0180059,-0.00479815,-1.55998,-0.035621,0.018425,0.0236325,0.0779026,-1.32963,1.10155,1656244643
-1.61522,1.26772,0.26339,-1.65172,1.28678,0.286507,-1.5746,-0.0435148,1.38722,-0.0352806,0.00558096,-1.5596,-0.0364994,0.0190557,0.0231165,0.077127,-1.33029,1.10071,1656244643
