vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
0.0296803,-0.117284,0.204055,0,0,0,0,0,0,0,0,0,-0.0296803,0.117284,-0.204055,0,0,0,1656244462
0.029826,-0.117183,0.201143,-0.11664,-0.0758063,0.343861,-1.46694,-0.0785911,1.38701,-0.0313936,0.00415676,0.032061,-0.146466,0.0413768,0.142718,-1.3503,-0.00278488,1.04315,1656244462
0.0290381,-0.116614,0.201393,-0.116722,-0.075823,0.343847,-1.46706,-0.0784969,1.38713,-0.0327654,0.00607731,0.0316988,-0.14576,0.040791,0.142454,-1.35034,-0.00267393,1.04328,1656244463
0.0293164,-0.116774,0.200938,-0.117057,-0.0756143,0.343915,-1.4669,-0.0785435,1.38702,-0.0309628,0.00521409,0.0326207,-0.146373,0.0411599,0.142977,-1.34984,-0.00292926,1.0431,1656244463
0.0294296,-0.116593,0.202103,-0.116976,-0.0756269,0.343879,-1.46704,-0.0784823,1.38716,-0.0324261,0.00638842,0.0321048,-0.146405,0.0409661,0.141776,-1.35006,-0.00285541,1.04328,1656244463
0.0294079,-0.116321,0.200995,-0.116694,-0.0758306,0.343845,-1.46707,-0.0784947,1.38716,-0.0321614,0.006871,0.0320692,-0.146102,0.0404902,0.14285,-1.35038,-0.00266412,1.04332,1656244464
0.0287829,-0.115807,0.201584,-0.116655,-0.0757971,0.343871,-1.46705,-0.0784999,1.38713,-0.0326768,0.00631817,0.0318359,-0.145438,0.0400095,0.142287,-1.3504,-0.00270282,1.04326,1656244464
0.0283792,-0.115392,0.20121,-0.116349,-0.0767663,0.344088,-1.46707,-0.0784818,1.38715,-0.0328171,0.0062321,0.0319253,-0.144728,0.038626,0.142878,-1.35072,-0.00171544,1.04306,1656244465
0.0286294,-0.11552,0.199199,-0.116508,-0.0765539,0.344118,-1.46692,-0.0785596,1.38702,-0.030882,0.00471088,0.0325231,-0.145137,0.0389659,0.144918,-1.35041,-0.00200572,1.0429,1656244465
0.0285695,-0.115195,0.19956,-0.11653,-0.0759277,0.343832,-1.46704,-0.0784882,1.38711,-0.0324399,0.00674116,0.0319296,-0.145099,0.0392671,0.144272,-1.35051,-0.00256054,1.04327,1656244465
-0.118153,-0.123847,0.336461,-0.1167,-0.0758379,0.343856,-1.46694,-0.0784487,1.38705,-0.0339279,0.00513208,0.0314272,0.00145302,0.0480094,0.00739452,-1.35024,-0.00261073,1.04319,1656244466
-0.118525,-0.123828,0.33775,-0.11667,-0.075851,0.343823,-1.46707,-0.0784927,1.38714,-0.0327237,0.00621316,0.0319224,0.00185425,0.0479769,0.00607261,-1.3504,-0.00264167,1.04332,1656244466
-0.11856,-0.123914,0.337695,-0.116939,-0.0756363,0.343866,-1.46706,-0.0784826,1.38716,-0.0326103,0.00643931,0.0320142,0.0016211,0.0482776,0.00617176,-1.35012,-0.00284635,1.04329,1656244466
-0.118816,-0.123799,0.335985,-0.116672,-0.0758176,0.343839,-1.46691,-0.0785909,1.38697,-0.0312589,0.00457326,0.0322897,0.00214398,0.0479809,0.00785369,-1.35024,-0.00277322,1.04313,1656244467
-0.118783,-0.123797,0.335223,-0.116807,-0.0758167,0.343867,-1.46705,-0.0784687,1.38714,-0.0325435,0.00626521,0.0319556,0.00197616,0.0479799,0.0086433,-1.35025,-0.00265203,1.04327,1656244467
-0.118897,-0.123896,0.335137,-0.116728,-0.0758239,0.343848,-1.46709,-0.078515,1.38716,-0.0321631,0.00678538,0.0320934,0.00216866,0.0480725,0.00871137,-1.35036,-0.00269113,1.04331,1656244468
-0.118587,-0.12389,0.33386,-0.11675,-0.0758203,0.343883,-1.46706,-0.0784951,1.38713,-0.0326808,0.00639369,0.0317795,0.00183701,0.04807,0.0100232,-1.35031,-0.0026748,1.04325,1656244468
-0.118178,-0.123984,0.333311,-0.116614,-0.0758593,0.343841,-1.46707,-0.0784555,1.38717,-0.0328904,0.00631446,0.0320306,0.00156415,0.0481248,0.0105298,-1.35045,-0.00259618,1.04333,1656244468
-0.118451,-0.123279,0.336288,-0.1167,-0.075854,0.343856,-1.46706,-0.078866,1.38731,-0.0336731,0.00636709,0.0296315,0.0017508,0.0474248,0.00756797,-1.35036,-0.00301192,1.04345,1656244469
-0.118226,-0.122795,0.333553,-0.116903,-0.0756551,0.343837,-1.46719,-0.0787322,1.38747,-0.0348748,0.00862619,0.0296226,0.00132369,0.04714,0.0102844,-1.35029,-0.00307713,1.04363,1656244469
-0.1188,-0.122566,0.331841,-0.116689,-0.0758366,0.343861,-1.46717,-0.0787636,1.38746,-0.0349255,0.00836014,0.0294466,0.00211141,0.0467294,0.0120202,-1.35049,-0.00292703,1.0436,1656244469
-0.118642,-0.122156,0.331374,-0.116695,-0.0758165,0.343842,-1.46706,-0.0788613,1.38733,-0.0335071,0.0067828,0.0298242,0.0019467,0.0463393,0.0124682,-1.35037,-0.00304482,1.04349,1656244470
-0.117865,-0.121958,0.331072,-0.116672,-0.0758463,0.343848,-1.46707,-0.0788454,1.38733,-0.0332872,0.00677781,0.0300366,0.00119318,0.0461114,0.0127754,-1.3504,-0.00299913,1.04348,1656244470
-0.118252,-0.121098,0.333838,-0.11655,-0.0765637,0.344113,-1.46694,-0.0788097,1.38722,-0.0345891,0.00571235,0.0292329,0.00170273,0.0445346,0.0102746,-1.35039,-0.00224597,1.04311,1656244471
-0.118702,-0.12097,0.33426,-0.116639,-0.0758488,0.343865,-1.46704,-0.0784953,1.38713,-0.0328617,0.00629094,0.0319361,0.00206297,0.0451209,0.00960544,-1.3504,-0.00264654,1.04326,1656244471
-0.118913,-0.120757,0.334295,-0.116638,-0.075889,0.343838,-1.46706,-0.0784737,1.38714,-0.0326642,0.00645781,0.0320027,0.00227489,0.0448683,0.00954294,-1.35042,-0.0025847,1.0433,1656244472
-0.119081,-0.120942,0.335374,-0.116666,-0.0758785,0.343822,-1.46711,-0.0785471,1.38717,-0.0320964,0.0070409,0.0319824,0.00241446,0.0450631,0.00844792,-1.35045,-0.00266862,1.04334,1656244472
-0.118807,-0.120969,0.335646,-0.116674,-0.0758796,0.343819,-1.46706,-0.0784857,1.38712,-0.0326777,0.00621956,0.0318551,0.00213272,0.0450894,0.00817311,-1.35038,-0.00260611,1.0433,1656244472
-0.119045,-0.121305,0.336089,-0.116663,-0.0758225,0.343843,-1.46707,-0.0784613,1.38717,-0.0328032,0.00651391,0.0320856,0.002382,0.045483,0.00775471,-1.3504,-0.00263882,1.04333,1656244473
-0.119311,-0.121902,0.337825,-0.116925,-0.0756798,0.343855,-1.46703,-0.0785316,1.3871,-0.0324911,0.00633962,0.0319982,0.00238608,0.0462225,0.0060297,-1.35011,-0.00285182,1.04325,1656244473
-0.119192,-0.122383,0.340019,-0.116732,-0.0758076,0.343879,-1.46705,-0.0784779,1.38713,-0.0326121,0.0064555,0.0320341,0.00246033,0.0465757,0.00385985,-1.35032,-0.00267025,1.04325,1656244473
-0.11884,-0.122474,0.340419,-0.116917,-0.0756552,0.343824,-1.46694,-0.0784387,1.38701,-0.0338065,0.00510398,0.0314499,0.00192346,0.0468191,0.00340453,-1.35002,-0.00278345,1.04319,1656244474
-0.118853,-0.12271,0.339318,-0.116685,-0.0757991,0.343832,-1.46704,-0.078476,1.38715,-0.0327025,0.00642269,0.0319166,0.0021675,0.0469107,0.0045141,-1.35035,-0.0026769,1.04332,1656244474
-0.118273,-0.123393,0.336141,-0.116489,-0.0765863,0.344094,-1.46709,-0.0785419,1.38715,-0.0325563,0.00646415,0.0316434,0.00178471,0.0468071,0.00795317,-1.3506,-0.00195562,1.04306,1656244475
-0.1182,-0.123493,0.335003,-0.116658,-0.0758394,0.343846,-1.46703,-0.0785061,1.38708,-0.0325487,0.00655904,0.031872,0.0015419,0.0476538,0.00884354,-1.35037,-0.00266669,1.04324,1656244475
-0.118009,-0.124027,0.335318,-0.116665,-0.07584,0.343872,-1.46677,-0.0785464,1.38684,-0.0294298,0.00683322,0.0330307,0.0013437,0.0481869,0.00855395,-1.3501,-0.00270642,1.04297,1656244475
-0.118284,-0.124082,0.336046,-0.116849,-0.0756914,0.343845,-1.46688,-0.0785821,1.38698,-0.0308838,0.00486536,0.0323557,0.00143448,0.0483904,0.00779855,-1.35003,-0.00289069,1.04314,1656244476
-0.118703,-0.124095,0.336435,-0.116812,-0.0764292,0.344099,-1.46707,-0.0784689,1.38714,-0.0325905,0.00642471,0.0320556,0.00189076,0.0476655,0.00766397,-1.35026,-0.00203965,1.04304,1656244476
-0.118535,-0.124051,0.335519,-0.116697,-0.0758201,0.343839,-1.46708,-0.0785198,1.38732,-0.033317,0.00613434,0.0320005,0.00183796,0.0482313,0.00832021,-1.35038,-0.00269961,1.04348,1656244476
-0.117737,-0.12371,0.336392,-0.116556,-0.0759495,0.343856,-1.46676,-0.0783998,1.38677,-0.0350638,0.00100928,0.0321256,0.00118058,0.0477601,0.00746372,-1.3502,-0.00245025,1.04291,1656244477
-0.117824,-0.12367,0.335344,-0.116564,-0.0765852,0.344078,-1.4671,-0.0785204,1.38715,-0.0323672,0.00665986,0.0319809,0.0012603,0.0470852,0.00873357,-1.35054,-0.00193517,1.04307,1656244477
-0.118094,-0.123817,0.335965,-0.116911,-0.075647,0.343826,-1.46705,-0.0784852,1.38713,-0.0327054,0.00658922,0.0319717,0.00118282,0.0481697,0.00786161,-1.35014,-0.00283825,1.0433,1656244478
-0.118494,-0.123821,0.336879,-0.116931,-0.0756691,0.343849,-1.46704,-0.0784952,1.38711,-0.0325998,0.00648314,0.0318935,0.00156291,0.048152,0.00697017,-1.35011,-0.00282606,1.04326,1656244478
-0.119294,-0.123741,0.339586,-0.116531,-0.0759397,0.343832,-1.46706,-0.0785009,1.38714,-0.0323317,0.00686304,0.0319336,0.00276276,0.0478015,0.00424689,-1.35053,-0.00256122,1.0433,1656244478
-0.118954,-0.123883,0.341229,-0.116645,-0.0758563,0.343844,-1.46692,-0.0785735,1.387,-0.0314555,0.00501884,0.0323736,0.00230903,0.0480265,0.00261465,-1.35027,-0.00271725,1.04316,1656244479
-0.119182,-0.123418,0.34152,-0.116531,-0.0759621,0.343823,-1.46707,-0.0784962,1.38717,-0.0327464,0.00605087,0.0318676,0.00265121,0.0474555,0.00230268,-1.35054,-0.00253402,1.04335,1656244479
-0.118805,-0.123424,0.338365,-0.116717,-0.0758159,0.343864,-1.46692,-0.078607,1.38697,-0.031115,0.00446274,0.0321991,0.00208788,0.0476076,0.00549862,-1.3502,-0.00279108,1.0431,1656244479
-0.118631,-0.123467,0.339083,-0.116643,-0.0758123,0.343844,-1.46694,-0.0785809,1.38702,-0.0316691,0.00441835,0.032032,0.00198819,0.0476545,0.0047608,-1.3503,-0.00276865,1.04318,1656244480
-0.119053,-0.123607,0.338683,-0.11674,-0.0758259,0.343866,-1.46703,-0.0785114,1.3871,-0.0322393,0.00665839,0.0320724,0.00231292,0.0477807,0.00518262,-1.35029,-0.00268552,1.04324,1656244480
-0.119845,-0.123772,0.338812,-0.11655,-0.0759185,0.343861,-1.46708,-0.07848,1.38718,-0.0328657,0.00599251,0.0318763,0.00329491,0.0478534,0.00504878,-1.35053,-0.00256156,1.04332,1656244480
-0.119804,-0.123935,0.339765,-0.116753,-0.0758156,0.343834,-1.46692,-0.0786158,1.38699,-0.0313493,0.00439285,0.0320446,0.00305116,0.0481197,0.00406864,-1.35016,-0.00280024,1.04316,1656244481
-0.119681,-0.124129,0.339984,-0.116516,-0.075971,0.343851,-1.46692,-0.0785776,1.38699,-0.031228,0.00518628,0.0323251,0.00316569,0.0481577,0.00386661,-1.35041,-0.00260658,1.04314,1656244481
-0.119585,-0.124028,0.339405,-0.116703,-0.0758112,0.343829,-1.46706,-0.0784529,1.38717,-0.0327468,0.00625591,0.031951,0.00288227,0.0482168,0.00442469,-1.35036,-0.00264173,1.04334,1656244481
-0.118828,-0.124115,0.337879,-0.116349,-0.0767188,0.344108,-1.46706,-0.078475,1.38715,-0.0326942,0.00634176,0.0320091,0.00247861,0.0473964,0.00622877,-1.35071,-0.00175619,1.04304,1656244482
-0.118981,-0.123992,0.336843,-0.116668,-0.0758446,0.343844,-1.46706,-0.0784878,1.38713,-0.0327401,0.00608657,0.0317472,0.00231348,0.0481476,0.00700074,-1.3504,-0.00264322,1.04328,1656244482
-0.118592,-0.124141,0.33744,-0.116515,-0.0759414,0.343838,-1.46691,-0.0785678,1.38702,-0.0311555,0.00490155,0.0323573,0.0020771,0.0481991,0.00639832,-1.35039,-0.00262641,1.04318,1656244483
-0.118242,-0.124128,0.33983,-0.116794,-0.0758346,0.343864,-1.46691,-0.0785863,1.38699,-0.0311578,0.0048983,0.0323085,0.00144821,0.0482935,0.00403443,-1.35012,-0.00275161,1.04313,1656244483
-0.118697,-0.124159,0.34025,-0.116808,-0.0758069,0.343901,-1.46692,-0.0785983,1.38698,-0.0310068,0.00492049,0.0322746,0.00188942,0.0483523,0.00365138,-1.35011,-0.00279137,1.04308,1656244483
-0.117893,-0.124134,0.339644,-0.116739,-0.0758041,0.343813,-1.46706,-0.0785032,1.38715,-0.0327465,0.00611361,0.0318493,0.0011544,0.0483295,0.00416914,-1.35033,-0.00269914,1.04334,1656244484
-0.117289,-0.124478,0.338112,-0.116535,-0.0759662,0.343812,-1.46692,-0.0785685,1.38702,-0.0311224,0.0049659,0.0324229,0.000753805,0.0485119,0.00569993,-1.35039,-0.00260227,1.04321,1656244484
-0.117366,-0.124381,0.336855,-0.116698,-0.0758445,0.343823,-1.46709,-0.078504,1.38716,-0.0322141,0.00665275,0.0321131,0.000668123,0.0485365,0.0069682,-1.35039,-0.00265951,1.04333,1656244484
-0.117629,-0.12421,0.336463,-0.116876,-0.0756819,0.343832,-1.46706,-0.0785046,1.38713,-0.0328422,0.00614339,0.0317796,0.000753172,0.0485276,0.00736859,-1.35019,-0.00282267,1.04329,1656244485
-0.117448,-0.124461,0.337815,-0.116699,-0.0758544,0.343831,-1.46694,-0.0785959,1.387,-0.0312149,0.00484046,0.0321584,0.000748493,0.0486062,0.00601637,-1.35024,-0.00274154,1.04317,1656244485
-0.118033,-0.124411,0.33903,-0.116706,-0.0758133,0.343839,-1.4671,-0.0784977,1.38717,-0.0326206,0.00674396,0.0319797,0.00132737,0.048598,0.00480855,-1.35039,-0.0026844,1.04333,1656244485
-0.118225,-0.124458,0.338166,-0.116722,-0.0758034,0.343852,-1.46701,-0.0784956,1.38709,-0.032391,0.00678127,0.0321612,0.00150304,0.0486548,0.0056859,-1.35029,-0.00269219,1.04324,1656244486
-0.118136,-0.124316,0.338337,-0.116743,-0.0758204,0.343879,-1.46705,-0.0785231,1.38713,-0.0327638,0.00600511,0.0318335,0.00139268,0.0484956,0.00554222,-1.3503,-0.00270271,1.04325,1656244486
-0.118858,-0.124066,0.337262,-0.116677,-0.0758214,0.343864,-1.46702,-0.078424,1.38704,-0.0334341,0.00725862,0.0318639,0.00218114,0.048245,0.00660172,-1.35034,-0.00260258,1.04318,1656244487
-0.118489,-0.123889,0.335824,-0.116937,-0.0756756,0.343846,-1.46708,-0.0784911,1.38714,-0.0327606,0.0063194,0.031885,0.00155237,0.0482129,0.00802222,-1.35014,-0.00281542,1.04329,1656244487
-0.118749,-0.124277,0.336287,-0.116704,-0.0758401,0.343875,-1.4666,-0.0786516,1.38664,-0.0297268,0.00428577,0.0331204,0.00204498,0.0484365,0.00758767,-1.3499,-0.00281146,1.04276,1656244487
-0.119259,-0.123988,0.337517,-0.116894,-0.0756627,0.343813,-1.46707,-0.078485,1.38714,-0.0325178,0.00648304,0.0319731,0.00236463,0.0483251,0.00629595,-1.35018,-0.00282232,1.04332,1656244488
-0.119213,-0.12399,0.338833,-0.11689,-0.0756996,0.343853,-1.46707,-0.0785122,1.38714,-0.0327788,0.00614953,0.0319736,0.00232285,0.0482904,0.00502017,-1.35018,-0.00281261,1.04329,1656244488
-0.119116,-0.12423,0.33892,-0.116748,-0.0757621,0.343824,-1.46692,-0.0785936,1.38696,-0.0312588,0.00509539,0.0322887,0.00236838,0.0484681,0.00490403,-1.35017,-0.00283151,1.04314,1656244488
-0.119638,-0.124416,0.338302,-0.116461,-0.0759136,0.343828,-1.46687,-0.0786142,1.38688,-0.0299952,0.00736577,0.0333345,0.00317694,0.0485021,0.00552547,-1.35041,-0.00270059,1.04306,1656244489
-0.119009,-0.124476,0.337394,-0.116746,-0.0757651,0.343849,-1.46703,-0.0785039,1.38712,-0.0324578,0.00614366,0.031942,0.00226362,0.0487112,0.00645527,-1.35028,-0.00273879,1.04327,1656244489
-0.11858,-0.124407,0.337754,-0.116657,-0.0758388,0.343805,-1.46708,-0.0785002,1.38714,-0.0327586,0.00628956,0.0317811,0.00192246,0.0485682,0.00605121,-1.35042,-0.0026614,1.04334,1656244490
-0.118631,-0.124624,0.337942,-0.116508,-0.0759766,0.343836,-1.46692,-0.0785872,1.38699,-0.0312974,0.00477526,0.0321163,0.00212226,0.0486472,0.00589383,-1.35041,-0.00261057,1.04315,1656244490
-0.118382,-0.124665,0.336669,-0.116881,-0.075692,0.343817,-1.46705,-0.0784901,1.38714,-0.0325968,0.0066674,0.0319969,0.00150122,0.0489727,0.00714821,-1.35017,-0.00279812,1.04333,1656244490
-0.118294,-0.124707,0.337249,-0.116654,-0.0758475,0.343824,-1.46706,-0.0785094,1.38711,-0.0325837,0.00631905,0.0318576,0.00163927,0.0488597,0.00657535,-1.3504,-0.002662,1.04329,1656244491
-0.119297,-0.124295,0.338497,-0.116565,-0.0759406,0.343826,-1.46704,-0.0784749,1.38713,-0.0321828,0.00677681,0.0323156,0.0027316,0.0483548,0.00532898,-1.35048,-0.00253426,1.0433,1656244491
-0.119483,-0.124382,0.337264,-0.117005,-0.0756639,0.343849,-1.46705,-0.0784884,1.38712,-0.0325019,0.00658788,0.0319924,0.00247838,0.0487176,0.00658491,-1.35005,-0.00282449,1.04327,1656244491
-0.11904,-0.124583,0.336566,-0.116639,-0.0758254,0.343864,-1.46694,-0.0786009,1.38699,-0.0313824,0.00471659,0.0319928,0.00240042,0.048758,0.00729871,-1.3503,-0.00277548,1.04312,1656244492
-0.119404,-0.1251,0.338073,-0.116667,-0.0757747,0.343827,-1.46682,-0.0788973,1.38762,-0.0278639,0.00275772,0.0330847,0.002737,0.049325,0.00575468,-1.35015,-0.00312258,1.04379,1656244492
-0.118868,-0.125483,0.337206,-0.116802,-0.0764145,0.344097,-1.46677,-0.0789197,1.38756,-0.0275367,0.00335397,0.0331732,0.0020659,0.0490685,0.00689107,-1.34997,-0.00250518,1.04346,1656244492
-0.118457,-0.12636,0.336144,-0.116745,-0.0757766,0.34382,-1.4667,-0.0789786,1.38745,-0.026368,0.00167251,0.0334417,0.00171219,0.0505835,0.00767586,-1.34995,-0.00320195,1.04363,1656244493
-0.118182,-0.127211,0.336813,-0.11687,-0.0757011,0.343813,-1.46683,-0.0789089,1.38759,-0.0273525,0.00362999,0.0333375,0.00131229,0.0515098,0.00699919,-1.34996,-0.00320779,1.04378,1656244493
-0.11766,-0.127762,0.335799,-0.116796,-0.0757742,0.343867,-1.46681,-0.0789172,1.38762,-0.0279822,0.00283508,0.0329585,0.000864513,0.051988,0.00806773,-1.35002,-0.00314301,1.04375,1656244494
-0.117103,-0.128514,0.337618,-0.116896,-0.0756672,0.343853,-1.46659,-0.0789615,1.3874,-0.0276435,0.000375302,0.0329809,0.000206985,0.052847,0.00623554,-1.3497,-0.00329432,1.04354,1656244494
-0.116793,-0.129344,0.338792,-0.116817,-0.0764068,0.344117,-1.4667,-0.0790095,1.38746,-0.02658,0.00116467,0.0332546,-2.44379e-05,0.0529376,0.00532481,-1.34988,-0.00260276,1.04335,1656244494
-0.116015,-0.129492,0.337776,-0.11673,-0.0757466,0.343855,-1.46691,-0.0785995,1.38695,-0.031011,0.00474976,0.0322228,-0.000714548,0.0537454,0.00607869,-1.35018,-0.00285295,1.0431,1656244495
-0.115889,-0.129508,0.335377,-0.116786,-0.076406,0.344105,-1.46704,-0.0785108,1.38709,-0.0324421,0.00678595,0.0319738,-0.00089661,0.0531021,0.00872812,-1.35026,-0.0021048,1.04298,1656244495
-0.116263,-0.129205,0.333727,-0.116321,-0.0767489,0.344076,-1.46705,-0.0784903,1.38715,-0.0327634,0.00636444,0.0320482,-5.83306e-05,0.0524563,0.0103492,-1.35073,-0.00174142,1.04307,1656244495
-0.115786,-0.128667,0.332299,-0.116928,-0.0756938,0.343837,-1.46688,-0.0786227,1.38695,-0.030907,0.00479421,0.0322598,-0.00114135,0.0529733,0.0115378,-1.34995,-0.00292891,1.04312,1656244496
-0.116054,-0.128029,0.331316,-0.11686,-0.0764054,0.344122,-1.46703,-0.0784821,1.38713,-0.0323718,0.00662298,0.0322767,-0.000805378,0.051624,0.0128064,-1.35017,-0.00207665,1.04301,1656244496
-0.116975,-0.127142,0.333359,-0.116694,-0.0758413,0.343825,-1.46705,-0.0785116,1.38711,-0.0323151,0.00684691,0.0320099,0.000281453,0.0513012,0.0104657,-1.35036,-0.00267034,1.04329,1656244496
-0.117372,-0.126525,0.333211,-0.115543,-0.0764786,0.343695,-1.46692,-0.078596,1.387,-0.0310649,0.00494174,0.0322438,0.00182895,0.050046,0.0104843,-1.35138,-0.00211744,1.0433,1656244497
-0.118403,-0.126104,0.33431,-0.116715,-0.075799,0.343864,-1.46694,-0.0786122,1.38689,-0.0299883,0.00913006,0.0333012,0.00168797,0.0503049,0.00955442,-1.35023,-0.00281317,1.04302,1656244497
-0.118836,-0.125389,0.333383,-0.116707,-0.0758312,0.343828,-1.46706,-0.0784879,1.38714,-0.0326439,0.00642063,0.0318336,0.0021292,0.049558,0.0104454,-1.35036,-0.00265665,1.04331,1656244497
-0.118829,-0.124765,0.332301,-0.116967,-0.0756303,0.343864,-1.46692,-0.0785897,1.38699,-0.0313455,0.00482939,0.0322226,0.00186243,0.0491343,0.0115628,-1.34995,-0.00295938,1.04312,1656244498
-0.118816,-0.12494,0.330082,-0.116685,-0.0758237,0.3438,-1.46694,-0.0785922,1.387,-0.0311506,0.00493706,0.0324237,0.00213104,0.0491163,0.0137181,-1.35025,-0.00276851,1.0432,1656244498
-0.118628,-0.12489,0.332444,-0.116575,-0.0759417,0.343833,-1.46705,-0.0784979,1.38714,-0.0325091,0.00649102,0.0320902,0.00205304,0.0489487,0.0113888,-1.35048,-0.00255614,1.04331,1656244499
-0.118537,-0.125052,0.333454,-0.116785,-0.0757622,0.343835,-1.46708,-0.0784975,1.38716,-0.0322915,0.00673648,0.0321017,0.00175188,0.0492902,0.0103811,-1.35029,-0.0027353,1.04333,1656244499
-0.118716,-0.125237,0.332429,-0.116735,-0.0758264,0.343854,-1.46692,-0.0785657,1.38699,-0.0309453,0.00537216,0.0325204,0.00198025,0.0494111,0.0114255,-1.35018,-0.00273937,1.04313,1656244499
-0.118404,-0.125134,0.333206,-0.116659,-0.0758447,0.34383,-1.46705,-0.0785065,1.38711,-0.0325298,0.00658049,0.03187,0.00174553,0.0492895,0.0106243,-1.3504,-0.00266177,1.04328,1656244500
-0.117924,-0.125027,0.331914,-0.116523,-0.075948,0.343814,-1.46705,-0.0784912,1.38715,-0.0328391,0.00627687,0.0317636,0.00140101,0.0490789,0.0118999,-1.35053,-0.00254317,1.04333,1656244500
-0.11772,-0.124977,0.332128,-0.1157,-0.0763157,0.343721,-1.46689,-0.0785877,1.38696,-0.0310838,0.00460969,0.0322209,0.00201998,0.0486617,0.0115932,-1.35119,-0.00227199,1.04324,1656244500
-0.117104,-0.124926,0.330566,-0.116455,-0.0765384,0.344093,-1.46692,-0.0786021,1.38699,-0.0313955,0.00446884,0.0320244,0.000648238,0.0483872,0.013527,-1.35046,-0.00206377,1.0429,1656244501
-0.116918,-0.124923,0.329172,-0.116551,-0.07593,0.343847,-1.46703,-0.0784671,1.38715,-0.0325976,0.00656844,0.0320033,0.000366904,0.0489929,0.0146754,-1.35048,-0.00253705,1.0433,1656244501
-0.117692,-0.124685,0.328649,-0.116561,-0.0759331,0.343834,-1.46707,-0.0784866,1.38714,-0.0323699,0.00670159,0.0321196,0.00113121,0.0487521,0.015185,-1.35051,-0.00255355,1.04331,1656244501
-0.11811,-0.124141,0.331267,-0.116698,-0.0758602,0.343832,-1.46695,-0.0784366,1.38706,-0.0338301,0.00518845,0.0315188,0.00141179,0.0482805,0.0125651,-1.35025,-0.00257633,1.04322,1656244502
-0.118345,-0.124065,0.332758,-0.116633,-0.0758296,0.343877,-1.46702,-0.0784953,1.38711,-0.0324737,0.00650648,0.0319049,0.00171167,0.0482353,0.0111188,-1.35038,-0.0026657,1.04324,1656244502
-0.118368,-0.124015,0.332255,-0.116921,-0.075674,0.343853,-1.46705,-0.0784756,1.38714,-0.0327881,0.00636484,0.0318415,0.00144723,0.0483405,0.0115984,-1.35013,-0.00280157,1.04329,1656244503
-0.118412,-0.123898,0.332642,-0.11657,-0.0759169,0.343833,-1.46692,-0.0785759,1.38698,-0.0310446,0.00515961,0.0324649,0.00184192,0.0479806,0.0111913,-1.35035,-0.00265896,1.04315,1656244503
-0.118416,-0.123972,0.331412,-0.116754,-0.0757645,0.343816,-1.46693,-0.0785868,1.38699,-0.0314039,0.00495158,0.0322619,0.00166222,0.0482071,0.0124039,-1.35018,-0.00282238,1.04317,1656244503
-0.118945,-0.12399,0.332768,-0.116684,-0.0757823,0.343821,-1.46703,-0.0784916,1.38711,-0.0324473,0.00678254,0.0321474,0.00226093,0.0482075,0.0110531,-1.35034,-0.00270934,1.04329,1656244504
-0.119175,-0.123745,0.332831,-0.116928,-0.0756635,0.343844,-1.46706,-0.0784661,1.38715,-0.0330322,0.00603892,0.0317665,0.00224745,0.048081,0.0110129,-1.35013,-0.0028026,1.04331,1656244504
-0.119036,-0.123416,0.332738,-0.116564,-0.0759431,0.343818,-1.46703,-0.0784702,1.38712,-0.0330161,0.006343,0.0318303,0.00247268,0.0474731,0.0110793,-1.35047,-0.00252714,1.0433,1656244504
-0.119143,-0.123321,0.334343,-0.116901,-0.0756744,0.343841,-1.46706,-0.0785091,1.38715,-0.032762,0.00606321,0.0318242,0.00224162,0.047647,0.0094986,-1.35016,-0.00283475,1.04331,1656244505
