vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
-1.60559,1.2681,0.277695,0,0,0,0,0,0,0,0,0,1.60559,-1.2681,-0.277695,0,0,0,1656244919
-1.31547,1.14118,0.139316,-1.65166,1.28685,0.286541,-1.6097,-0.0308694,1.38818,-0.0181019,-0.00368505,-1.55286,-0.336187,0.145675,0.147225,0.041957,-1.31772,1.10164,1656244920
-1.31527,1.14122,0.138803,-1.65098,1.28866,0.285429,-1.60973,-0.0308753,1.38817,-0.0180756,-0.00370779,-1.55291,-0.335707,0.147435,0.146626,0.0412523,-1.31953,1.10275,1656244921
-1.31526,1.14133,0.138935,-1.65076,1.28606,0.286037,-1.60972,-0.0308859,1.38815,-0.0179667,-0.00364937,-1.5529,-0.3355,0.144732,0.147102,0.0410424,-1.31694,1.10212,1656244921
-1.31541,1.14125,0.139423,-1.65165,1.28675,0.286535,-1.60972,-0.0308844,1.38817,-0.0181022,-0.00384298,-1.55282,-0.336241,0.145497,0.147112,0.0419317,-1.31764,1.10164,1656244922
-1.3155,1.14107,0.13939,-1.64993,1.28835,0.284752,-1.60972,-0.0308819,1.38819,-0.0179747,-0.0036515,-1.55277,-0.334431,0.14728,0.145361,0.040207,-1.31923,1.10344,1656244922
-1.31555,1.14109,0.139171,-1.65095,1.28871,0.285438,-1.6097,-0.0308856,1.3882,-0.0180156,-0.00386032,-1.55287,-0.3354,0.147629,0.146267,0.0412436,-1.3196,1.10276,1656244922
-1.31578,1.14158,0.139023,-1.65071,1.28606,0.286044,-1.6097,-0.0308737,1.38817,-0.0180648,-0.00370692,-1.55286,-0.334929,0.144486,0.147021,0.0410091,-1.31694,1.10213,1656244923
-1.31583,1.1416,0.138438,-1.65074,1.28632,0.286025,-1.60972,-0.0308698,1.3882,-0.0181062,-0.00381555,-1.55289,-0.33491,0.144729,0.147587,0.0410156,-1.31719,1.10218,1656244923
-1.31594,1.14148,0.139575,-1.65073,1.28605,0.28609,-1.60971,-0.030876,1.38816,-0.017867,-0.00353763,-1.55276,-0.334786,0.144571,0.146515,0.041018,-1.31693,1.10207,1656244923
-1.316,1.14167,0.139442,-1.65079,1.28619,0.286033,-1.6097,-0.0308684,1.38819,-0.0180519,-0.00376975,-1.55297,-0.33479,0.144519,0.146591,0.0410868,-1.31706,1.10216,1656244924
-1.60609,1.26863,0.278943,-1.65157,1.28674,0.286496,-1.60972,-0.0308687,1.3882,-0.018176,-0.0037477,-1.55281,-0.0454775,0.0181071,0.00755334,0.0418476,-1.31761,1.10171,1656244924
-1.60601,1.26866,0.279217,-1.65076,1.28623,0.285975,-1.60971,-0.0308974,1.38819,-0.018002,-0.00375866,-1.55281,-0.0447413,0.0175664,0.00675741,0.0410428,-1.31712,1.10222,1656244924
-1.606,1.26889,0.279116,-1.65071,1.28607,0.286047,-1.60969,-0.0308946,1.38816,-0.0180767,-0.0037588,-1.55297,-0.0447084,0.0171846,0.00693041,0.0410151,-1.31696,1.10211,1656244925
-1.60596,1.26903,0.278719,-1.65092,1.28869,0.285426,-1.60973,-0.0308766,1.38818,-0.0183845,-0.00389036,-1.55295,-0.0449595,0.0196648,0.0067071,0.0411826,-1.31957,1.10275,1656244925
-1.60595,1.26932,0.278652,-1.65075,1.28606,0.286057,-1.60974,-0.0308571,1.38819,-0.0182138,-0.0038412,-1.55305,-0.044798,0.0167459,0.00740486,0.0410125,-1.31692,1.10214,1656244926
-1.60607,1.26925,0.278689,-1.65003,1.28843,0.284771,-1.60971,-0.0308712,1.38818,-0.0183596,-0.00408031,-1.55298,-0.0439526,0.0191774,0.00608158,0.0403129,-1.3193,1.10341,1656244926
-1.60611,1.26903,0.278894,-1.65076,1.28635,0.286005,-1.60972,-0.0308785,1.3882,-0.018281,-0.00401876,-1.55293,-0.0446525,0.0173105,0.00711027,0.0410402,-1.31722,1.1022,1656244926
-1.60605,1.26879,0.279309,-1.65073,1.28637,0.285955,-1.60972,-0.0308724,1.38817,-0.0181472,-0.00348439,-1.55289,-0.0446792,0.0175846,0.00664613,0.0410136,-1.31724,1.10222,1656244927
-1.60606,1.26893,0.278392,-1.65078,1.28634,0.286002,-1.6095,-0.0308473,1.38797,-0.0169841,-0.00292823,-1.55257,-0.0447243,0.0174025,0.00761047,0.0412828,-1.31718,1.10197,1656244927
-1.60595,1.26892,0.277577,-1.65072,1.28611,0.286017,-1.60942,-0.0309027,1.38797,-0.0161139,-0.00245275,-1.553,-0.0447755,0.0171951,0.00843975,0.0413048,-1.31701,1.10195,1656244927
-1.60571,1.26865,0.276842,-1.65001,1.28814,0.284895,-1.60972,-0.0308793,1.38816,-0.0178623,-0.00361497,-1.55268,-0.044301,0.0194862,0.00805306,0.040292,-1.31902,1.10327,1656244928
-1.60576,1.26879,0.276448,-1.65078,1.28618,0.286045,-1.60969,-0.0308838,1.38817,-0.0178813,-0.00364501,-1.55281,-0.0450188,0.0173918,0.00959703,0.0410855,-1.31706,1.10212,1656244928
-1.60572,1.26869,0.2761,-1.65002,1.28808,0.284867,-1.60974,-0.0308674,1.38817,-0.0179847,-0.00372885,-1.55278,-0.0442973,0.019383,0.00876614,0.0402818,-1.31894,1.10331,1656244928
-1.60576,1.26851,0.277041,-1.64969,1.29115,0.28365,-1.60973,-0.0308696,1.38817,-0.0181084,-0.00373307,-1.55292,-0.0439256,0.0226328,0.00660866,0.0399617,-1.32202,1.10452,1656244929
-1.60581,1.26837,0.277306,-1.64914,1.2928,0.28282,-1.60973,-0.0308898,1.38819,-0.0179221,-0.00392206,-1.55283,-0.0433354,0.0244327,0.00551412,0.0394112,-1.32369,1.10537,1656244929
-1.60566,1.26861,0.277056,-1.64911,1.29294,0.282791,-1.60973,-0.0308774,1.3882,-0.018236,-0.00392754,-1.55289,-0.0434457,0.0243202,0.00573429,0.0393772,-1.32381,1.10541,1656244930
-1.60552,1.26879,0.276406,-1.64913,1.29289,0.282814,-1.60972,-0.0308858,1.38817,-0.0180291,-0.00387306,-1.55277,-0.0436083,0.0240945,0.00640813,0.0394132,-1.32377,1.10535,1656244930
-1.60541,1.26886,0.276328,-1.64912,1.29265,0.282882,-1.6097,-0.0308885,1.38816,-0.0177771,-0.00372246,-1.55285,-0.0437088,0.0237905,0.00655392,0.0394175,-1.32354,1.10528,1656244930
