vision_x,vision_y,vision_z,mocap_x,mocap_y,mocap_z,quad_x,quad_y,quad_z,quad_roll,quad_pitch,quad_yaw,error_x,error_y,error_z,trans_x,trans_y,trans_z,t
2.45214,0.0020517,-1.05586,0,0,0,0,0,0,0,0,0,-2.45214,-0.0020517,1.05586,0,0,0,1656247161
1.00067,-0.153885,0.267996,0.958502,-0.156558,0.328761,-1.43274,-0.162604,1.38336,-0.00604445,0.0198655,-0.000622405,-0.0421727,-0.00267234,0.0607646,-2.39124,-0.00604618,1.05459,1656247162
1.00913,-0.150836,0.258129,0.95845,-0.156606,0.328749,-1.43274,-0.162595,1.38336,-0.00603719,0.0199262,-0.000465489,-0.0506821,-0.0057701,0.0706195,-2.39119,-0.00598897,1.05461,1656247162
1.00996,-0.15114,0.259667,0.958461,-0.156576,0.328798,-1.43272,-0.162594,1.38336,-0.0061598,0.0199631,-0.000306119,-0.051503,-0.00543647,0.0691303,-2.39118,-0.00601797,1.05457,1656247163
1.00657,-0.150331,0.265739,0.958438,-0.156597,0.328764,-1.43273,-0.162603,1.38334,-0.00607286,0.0200144,-0.000415241,-0.0481302,-0.00626576,0.0630244,-2.39117,-0.00600623,1.05458,1656247163
1.02001,-0.149366,0.260974,0.958474,-0.156595,0.32872,-1.43273,-0.162601,1.38336,-0.00607143,0.0199292,-0.00050331,-0.0615359,-0.00722834,0.0677454,-2.3912,-0.0060066,1.05464,1656247163
1.00474,-0.151495,0.261461,0.958485,-0.156571,0.328786,-1.43268,-0.162609,1.38335,-0.00634962,0.0197432,-0.000415733,-0.046254,-0.00507639,0.067325,-2.39117,-0.00603738,1.05456,1656247164
1.0028,-0.153135,0.26039,0.958519,-0.156571,0.328779,-1.43259,-0.162729,1.38327,-0.00637853,0.0200306,0.000164074,-0.0442841,-0.0034356,0.0683895,-2.39111,-0.00615811,1.05449,1656247164
1.01402,-0.151069,0.257943,0.958532,-0.156582,0.328722,-1.43272,-0.162626,1.38334,-0.00607098,0.0198189,-0.00027542,-0.0554885,-0.00551304,0.070779,-2.39125,-0.00604321,1.05462,1656247164
1.15287,-0.135935,0.129671,0.958523,-0.156581,0.32876,-1.43261,-0.162695,1.38324,-0.00673274,0.0207922,-0.000300652,-0.194347,-0.0206458,0.19909,-2.39113,-0.00611426,1.05448,1656247165
1.00924,-0.151206,0.260506,0.958487,-0.156572,0.328775,-1.43271,-0.162609,1.38333,-0.00607722,0.0199005,-0.000494651,-0.0507495,-0.00536607,0.0682691,-2.3912,-0.00603679,1.05456,1656247165
1.00952,-0.151074,0.26032,0.958486,-0.156606,0.328755,-1.43263,-0.162705,1.38332,-0.00594928,0.020006,-5.76846e-05,-0.0510315,-0.00553258,0.0684346,-2.39112,-0.00609848,1.05457,1656247166
1.01033,-0.151036,0.26006,0.958505,-0.156615,0.328709,-1.43272,-0.162602,1.38336,-0.00614666,0.0199302,-0.000477345,-0.0518285,-0.00557935,0.068649,-2.39123,-0.00598717,1.05465,1656247166
1.01014,-0.151029,0.259638,0.958491,-0.156577,0.328791,-1.43271,-0.16259,1.38334,-0.00640809,0.0198819,-0.000371113,-0.0516518,-0.00554731,0.0691533,-2.3912,-0.00601302,1.05455,1656247166
1.00908,-0.151239,0.261224,0.958519,-0.156558,0.328785,-1.43269,-0.162586,1.38334,-0.00625791,0.0196195,-0.000497318,-0.0505659,-0.00531952,0.0675608,-2.39121,-0.00602795,1.05456,1656247167
1.00784,-0.151278,0.261348,0.958436,-0.156581,0.328756,-1.4326,-0.162671,1.38327,-0.00641842,0.0202786,-0.000428904,-0.0494003,-0.00530304,0.0674075,-2.39104,-0.00609054,1.05452,1656247167
1.00855,-0.151162,0.261698,0.958493,-0.156611,0.328761,-1.43273,-0.16259,1.38334,-0.00610483,0.0202101,-0.000636253,-0.0500566,-0.00544964,0.0670627,-2.39123,-0.00597808,1.05458,1656247167
1.00921,-0.150997,0.261928,0.958426,-0.156593,0.328746,-1.43266,-0.162671,1.38326,-0.00635679,0.0205276,-0.000392826,-0.0507825,-0.00559598,0.0668178,-2.39108,-0.00607888,1.05452,1656247168
1.00912,-0.150976,0.260611,0.958464,-0.156603,0.328753,-1.43272,-0.162609,1.38336,-0.00597085,0.0199439,-0.000389749,-0.0506532,-0.00562695,0.068142,-2.39119,-0.00600672,1.05461,1656247168
1.00904,-0.151018,0.260418,0.95858,-0.156549,0.328763,-1.43258,-0.162686,1.38321,-0.00698103,0.0203085,-0.000363981,-0.0504557,-0.0055314,0.0683444,-2.39116,-0.00613739,1.05445,1656247168
1.00885,-0.150989,0.261464,0.958412,-0.156616,0.328732,-1.43264,-0.162721,1.38328,-0.0061373,0.020549,2.17554e-05,-0.0504425,-0.00562724,0.0672677,-2.39106,-0.00610466,1.05455,1656247169
1.00901,-0.150781,0.261855,0.958485,-0.156573,0.328766,-1.43272,-0.1626,1.38336,-0.00600643,0.0199566,-0.000511027,-0.0505286,-0.00579253,0.0669111,-2.39121,-0.00602703,1.05459,1656247169
1.0081,-0.150799,0.262266,0.958487,-0.156583,0.328738,-1.43265,-0.162661,1.38325,-0.00661844,0.0205028,-0.000692737,-0.0496107,-0.00578396,0.0664716,-2.39114,-0.00607847,1.05451,1656247169
1.0092,-0.150744,0.262912,0.95847,-0.156611,0.328725,-1.43271,-0.162624,1.38335,-0.00579257,0.0200382,-0.000323415,-0.05073,-0.005867,0.0658134,-2.39118,-0.00601265,1.05462,1656247170
1.00955,-0.150891,0.260786,0.958445,-0.156633,0.328746,-1.4327,-0.162635,1.38335,-0.00599798,0.019967,-0.00012208,-0.0511068,-0.00574206,0.0679595,-2.39114,-0.00600186,1.0546,1656247170
1.00966,-0.151109,0.261534,0.958481,-0.156598,0.328775,-1.43273,-0.162604,1.38335,-0.00614664,0.0200069,-0.000315371,-0.0511749,-0.00548899,0.0672415,-2.39121,-0.00600605,1.05458,1656247170
1.00923,-0.151076,0.261169,0.958446,-0.156589,0.328758,-1.43274,-0.162594,1.38337,-0.00585633,0.0201004,-0.000655442,-0.0507881,-0.00551313,0.0675896,-2.39118,-0.00600472,1.05461,1656247171
1.00896,-0.150932,0.261298,0.958468,-0.156588,0.328775,-1.43273,-0.16259,1.38335,-0.00627868,0.0197506,-0.000772059,-0.0504881,-0.00565639,0.0674776,-2.3912,-0.00600228,1.05458,1656247171
1.00851,-0.151135,0.26284,0.958464,-0.156605,0.328785,-1.43271,-0.162616,1.38336,-0.00598604,0.019997,-0.000287071,-0.0500472,-0.00546992,0.0659449,-2.39117,-0.00601093,1.05458,1656247171
1.0089,-0.150957,0.262339,0.958487,-0.156599,0.328779,-1.43271,-0.162602,1.38336,-0.0060724,0.0199669,-0.00048515,-0.0504165,-0.00564164,0.0664399,-2.39119,-0.00600314,1.05458,1656247172
1.009,-0.15085,0.262563,0.958444,-0.156575,0.328762,-1.43269,-0.162627,1.38334,-0.00627394,0.0195177,-0.000518031,-0.0505593,-0.00572538,0.0661989,-2.39113,-0.00605115,1.05458,1656247172
1.00937,-0.150637,0.263215,0.958467,-0.156614,0.328786,-1.43268,-0.162613,1.38337,-0.00605,0.019801,-0.000510163,-0.0509006,-0.00597781,0.065571,-2.39115,-0.00599812,1.05458,1656247172
1.00863,-0.150757,0.263412,0.958507,-0.156582,0.328798,-1.43269,-0.162631,1.38335,-0.00603615,0.0198565,-0.000379264,-0.0501226,-0.00582507,0.0653861,-2.39119,-0.00604962,1.05455,1656247173
1.00769,-0.150757,0.263181,0.958544,-0.156561,0.328806,-1.43267,-0.162631,1.38332,-0.00638197,0.0195075,-0.000333276,-0.0491454,-0.00580408,0.0656248,-2.39121,-0.00606947,1.05451,1656247173
1.00866,-0.1506,0.262769,0.958439,-0.156612,0.328727,-1.4326,-0.162747,1.38323,-0.00661831,0.0207771,-0.0003482,-0.0502186,-0.00601156,0.0659577,-2.39104,-0.00613463,1.0545,1656247173
1.00917,-0.150432,0.262357,0.958515,-0.156581,0.328782,-1.43255,-0.162746,1.38321,-0.0069195,0.0204723,-0.000276515,-0.0506535,-0.00614901,0.0664251,-2.39106,-0.00616457,1.05443,1656247174
1.00992,-0.150452,0.262243,0.958511,-0.156631,0.328751,-1.43256,-0.162714,1.38325,-0.0065437,0.0206288,-0.000401416,-0.0514132,-0.00617878,0.0665084,-2.39107,-0.00608295,1.0545,1656247174
1.01105,-0.150332,0.261251,0.958493,-0.156557,0.328776,-1.43257,-0.1627,1.38322,-0.00681548,0.0204528,-0.000578386,-0.0525536,-0.00622572,0.0675245,-2.39106,-0.00614223,1.05444,1656247175
1.01122,-0.150222,0.260986,0.958474,-0.156528,0.328625,-1.43265,-0.162695,1.38334,-0.00587878,0.0200126,-0.000128654,-0.0527439,-0.00630519,0.0676392,-2.39112,-0.00616784,1.05472,1656247175
1.0121,-0.150352,0.261308,0.958615,-0.156677,0.328594,-1.43262,-0.162589,1.38332,-0.00654721,0.0194772,-0.000482046,-0.0534896,-0.00632456,0.0672866,-2.39124,-0.00591178,1.05473,1656247175
1.01183,-0.149974,0.262845,0.958387,-0.156882,0.328482,-1.43244,-0.162536,1.3831,-0.00891304,0.0171322,-0.0010206,-0.0534474,-0.00690787,0.0656368,-2.39083,-0.00565374,1.05462,1656247176
1.01206,-0.150091,0.262916,0.95856,-0.156655,0.328605,-1.43265,-0.162619,1.38332,-0.00628603,0.0198975,-0.000412771,-0.0534953,-0.00656401,0.0656885,-2.39121,-0.00596456,1.05472,1656247176
1.01324,-0.149862,0.264315,0.961214,-0.155679,0.327916,-1.43263,-0.162627,1.38334,-0.00618158,0.0198726,-0.000243807,-0.0520219,-0.00581698,0.0636005,-2.39385,-0.0069479,1.05542,1656247177
